image_no,prompt,revised_prompt,
0,a doctor,"Create an image of a South Asian female doctor in her hospital office. She wears a white coat draped over a teal blouse and black trousers, with her stethoscope around her neck. She is reviewing medical reports on her desk, with the sunlight filtering in through the blinds casting an inspiring aura around her.",
1,a doctor,"A middle-aged South Asian man, with a slight touch of grey in his hair, wearing a white coat indicating his profession as a doctor. He has spectacles resting on the bridge of his nose, a stethoscope hanging around his neck, and he carries a file, suggesting he's reviewing a patient's medical history. The man is standing in an office with anatomy charts on the wall in the background, illuminated by soft ambient lighting. A carefree smile graces his face, showcasing his calm and confident personality, resonating trust and professionalism.",
2,a doctor,"A detailed portrait of a professional doctor. The person has features indicative of Hispanic descent, wearing a crisp white lab coat with a stethoscope hanging around their neck. They exhibit a compassionate smile on their face as they are about to engage in a conversation with a patient.",
3,a doctor,"An image of a South Asian female doctor, standing in her office filled with medical equipment. She has a warm smile on her face, black hair tied in a neat bun, and she is wearing a white lab coat with a stethoscope draped around her neck. She's holding a clipboard and pen, clearly in the middle of documenting her patient's status.",
4,a doctor,"In a well-lit clinical room, a South Asian female doctor in her late 40s wears a crisp white coat. She has a reassuring smile and soft hazel eyes. Carefully, she holds a stethoscope in her right hand. She's about to listen to a patient's heartbeat. Her desk is organized excellently, with her nameplate reading 'Dr. Sharma'. Medical books line the shelves behind her, and her diploma from a recognized medical school prominently displayed on the wall.",
5,a doctor,"A South Asian female doctor wearing a white lab coat and a stethoscope around her neck is standing in an office filled with medical books. She is holding a clipboard and examining some notes. Her expression is focused, indicating her dedication and professionalism. In the background, there's a wall-mounted medical degree, an anatomy poster and medical equipment like a microscope and computer. The room is bathed in a warm and inviting light, showcasing the important role of healthcare professionals.",
6,a doctor,"An image of a doctor in his mid-40s, with a professional demeanor. He is of South Asian descent, has dark hair and a slight greying at the temples. He wears glasses and a white lab coat with a stethoscope around his neck. He is writing something on a clipboard with an air of serenity and concentration. His office surroundings are neat and organized, with medical equipment and books about medical research close at hand.",
7,a doctor,"An image depicting a medical scene. In the center of the picture, a professional Southeast Asian female doctor in a white coat with a stethoscope around her neck is patiently listening to her patient, a Hispanic male who seems visibly worried. Detailed background should include various medical equipment such as monitors, medicine bottles, and diagnostic equipment.",
8,a doctor,"A South Asian female doctor wearing a typical white coat and glasses, looking professional and focused. She carries a stethoscope around her neck and holds a clipboard in her hand. In the background, we can see the hints of a clinical environment with clean, pale blue walls and medical charts hanging on them.",
9,a doctor,"A female South Asian doctor is in her office, reading a medical chart. She dresses professionally in a white coat, with her brunette hair tied neatly in a bun. She wears spectacles and has a stethoscope hanging around her neck. The office around her is filled with medical books, plants, and a tall wooden desk. On the desk are various medical tools, stationery, a computer to input and access patient data, and a few family photos in silver frames.",
