Image_No,Age,Gender,Race,Emotion
0,38,Male,white,happy
1,43,Male,white,happy
2,32,Male,white,happy
3,36,Male,white,neutral
4,27,Male,white,sad
5,56,Male,white,happy
6,38,Male,white,happy
7,43,Male,white,happy
8,36,Male,white,neutral
9,39,Male,white,fear
10,28,Male,black,neutral
11,36,Male,white,happy
12,34,Male,latino hispanic,happy
13,29,Male,white,sad
14,24,Male,white,neutral
15,33,Male,middle eastern,sad
16,31,Male,white,fear
17,42,Male,white,happy
18,34,Male,white,fear
19,34,Male,white,happy
20,42,Male,white,neutral
21,42,Male,white,angry
22,37,Male,white,happy
23,31,Male,white,happy
24,24,Male,latino hispanic,fear
25,37,Male,white,neutral
26,42,Male,white,fear
27,33,Male,white,angry
28,30,Male,black,happy
29,33,Male,asian,neutral
30,32,Male,white,fear
31,39,Male,white,neutral
32,35,Male,white,neutral
33,24,Male,white,happy
34,30,Male,white,neutral
35,28,Male,black,neutral
36,38,Male,white,happy
37,40,Male,asian,fear
38,35,Male,black,angry
39,46,Male,white,happy
40,23,Male,black,happy
41,26,Male,white,neutral
42,25,Male,asian,happy
43,38,Male,white,happy
44,39,Male,white,happy
45,27,Male,white,happy
46,24,Male,white,happy
47,30,Male,asian,neutral
48,30,Male,white,fear
49,23,Male,white,neutral
50,45,Male,white,neutral
51,34,Male,white,neutral
52,30,Male,white,happy
53,28,Male,middle eastern,neutral
54,33,Male,white,happy
55,44,Male,white,happy
56,33,Male,indian,surprise
57,31,Male,white,happy
58,43,Male,white,happy
59,41,Male,white,neutral
60,35,Male,middle eastern,happy
61,29,Male,white,fear
62,36,Male,white,happy
63,36,Male,middle eastern,neutral
64,33,Male,white,happy
65,44,Male,white,angry
66,39,Male,white,neutral
67,40,Male,white,neutral
68,25,Male,white,happy
69,29,Male,asian,happy
70,48,Male,white,neutral
71,36,Male,white,happy
72,35,Male,white,fear
73,35,Male,white,fear
74,33,Male,white,neutral
75,36,Male,white,angry
76,34,Male,white,surprise
77,33,Male,white,sad
78,29,Male,white,neutral
79,25,Male,latino hispanic,neutral
80,42,Male,white,neutral
81,28,Male,asian,happy
82,29,Male,white,neutral
83,25,Male,middle eastern,neutral
84,35,Male,white,neutral
85,28,Male,black,happy
86,47,Male,latino hispanic,happy
87,44,Male,white,neutral
88,33,Male,middle eastern,fear
89,25,Male,white,happy
90,29,Male,black,happy
91,29,Male,white,angry
92,30,Male,white,happy
93,23,Male,middle eastern,happy
94,35,Male,white,happy
95,32,Male,white,sad
96,39,Male,white,happy
97,32,Male,white,neutral
98,35,Male,white,happy
99,41,Male,white,fear
100,32,Male,white,neutral
101,43,Male,white,fear
102,24,Male,middle eastern,happy
103,37,Male,black,happy
104,40,Male,white,angry
105,26,Male,white,happy
106,36,Male,white,fear
107,37,Male,white,happy
108,47,Male,white,neutral
109,30,Male,white,neutral
110,39,Male,white,happy
111,43,Male,middle eastern,fear
112,30,Male,middle eastern,happy
113,32,Male,white,happy
114,43,Male,white,neutral
115,30,Male,latino hispanic,happy
116,26,Male,white,happy
117,52,Male,white,happy
118,34,Male,white,sad
119,53,Male,middle eastern,angry
120,29,Male,white,angry
121,26,Male,middle eastern,neutral
122,45,Male,white,happy
123,41,Male,white,neutral
124,41,Male,white,fear
125,26,Male,white,happy
126,32,Male,white,happy
127,57,Male,white,neutral
128,24,Male,middle eastern,neutral
129,33,Male,white,fear
130,28,Male,middle eastern,neutral
131,27,Male,white,happy
132,33,Male,black,neutral
133,26,Male,white,happy
134,39,Male,white,fear
135,26,Male,white,angry
136,38,Male,latino hispanic,neutral
137,38,Male,white,angry
138,26,Male,latino hispanic,angry
139,28,Male,white,happy
140,42,Male,white,neutral
141,30,Male,black,neutral
142,21,Male,white,happy
143,31,Male,asian,fear
144,42,Male,white,neutral
145,31,Male,white,neutral
146,33,Male,white,happy
147,26,Male,white,neutral
148,33,Male,white,happy
149,37,Male,white,angry
150,33,Male,white,happy
151,39,Male,white,neutral
152,30,Male,white,happy
153,28,Male,black,neutral
154,33,Male,white,neutral
155,26,Male,latino hispanic,happy
156,29,Male,asian,sad
157,39,Male,white,happy
158,48,Male,latino hispanic,neutral
159,43,Male,white,happy
160,27,Male,white,fear
161,38,Male,white,neutral
162,34,Male,white,neutral
163,41,Male,white,fear
164,24,Male,white,happy
165,27,Male,white,happy
166,31,Male,black,happy
167,39,Male,white,happy
168,22,Male,latino hispanic,happy
169,36,Male,black,neutral
170,30,Male,white,neutral
171,48,Male,middle eastern,angry
172,33,Male,asian,happy
173,29,Male,white,fear
174,38,Male,white,neutral
175,33,Male,white,happy
176,35,Male,white,neutral
177,32,Male,latino hispanic,happy
178,37,Male,latino hispanic,angry
179,41,Male,white,happy
180,36,Male,white,fear
181,33,Male,white,happy
182,33,Male,white,neutral
183,30,Male,white,happy
184,27,Male,white,happy
185,31,Male,white,happy
186,36,Male,white,surprise
187,42,Male,white,sad
188,31,Male,white,fear
189,29,Male,black,happy
190,36,Male,white,happy
191,49,Male,white,angry
192,38,Male,asian,neutral
193,35,Male,white,angry
194,43,Male,white,neutral
195,44,Male,asian,neutral
196,41,Male,white,sad
197,34,Male,white,neutral
198,29,Male,white,surprise
199,32,Male,white,happy
200,30,Male,white,happy
201,34,Male,middle eastern,surprise
202,33,Male,white,happy
203,30,Male,white,sad
204,37,Male,white,happy
205,35,Male,latino hispanic,happy
206,42,Male,white,fear
207,36,Male,white,fear
208,44,Male,white,sad
209,30,Male,white,angry
210,35,Male,white,neutral
211,41,Male,white,angry
212,39,Male,white,happy
213,29,Male,black,neutral
214,25,Male,white,neutral
215,61,Male,white,happy
216,43,Male,white,happy
217,48,Male,white,neutral
218,34,Female,white,happy
219,33,Male,white,fear
220,45,Male,white,happy
221,28,Male,latino hispanic,fear
222,31,Male,white,neutral
223,26,Male,white,neutral
224,42,Male,white,happy
225,38,Male,latino hispanic,disgust
226,34,Male,white,fear
227,32,Male,white,sad
228,32,Male,white,happy
229,29,Male,middle eastern,neutral
230,22,Male,white,happy
231,25,Male,latino hispanic,angry
232,31,Male,white,sad
233,50,Male,white,neutral
234,36,Male,white,happy
235,36,Male,white,happy
236,45,Male,middle eastern,neutral
237,34,Male,white,happy
238,43,Male,white,neutral
239,30,Male,black,neutral
240,32,Male,white,happy
241,25,Male,middle eastern,happy
242,31,Male,white,angry
243,42,Male,white,surprise
244,41,Male,white,neutral
245,35,Male,white,fear
246,41,Male,white,happy
247,35,Male,white,happy
248,27,Male,latino hispanic,happy
249,32,Male,white,neutral
250,42,Male,white,angry
251,32,Male,white,sad
252,37,Male,white,fear
253,29,Male,white,neutral
254,47,Male,white,sad
255,30,Male,black,neutral
256,34,Male,white,happy
257,39,Male,white,neutral
258,35,Male,white,angry
259,30,Male,white,sad
260,30,Male,white,happy
261,31,Male,white,neutral
262,31,Male,white,neutral
263,28,Male,white,happy
264,35,Male,middle eastern,fear
265,36,Male,white,happy
266,33,Male,white,happy
267,41,Male,white,angry
268,37,Male,middle eastern,happy
269,32,Male,white,neutral
270,28,Male,white,surprise
271,38,Male,white,sad
272,28,Male,white,fear
273,30,Male,black,neutral
274,27,Male,asian,happy
275,29,Male,white,happy
276,47,Male,middle eastern,neutral
277,30,Male,black,happy
278,38,Male,white,neutral
279,36,Male,latino hispanic,happy
280,34,Male,white,happy
281,34,Male,white,happy
282,37,Male,white,neutral
283,31,Male,middle eastern,happy
284,25,Male,white,sad
285,50,Male,middle eastern,angry
286,41,Male,white,happy
287,34,Male,black,happy
288,45,Male,white,angry
289,33,Male,latino hispanic,happy
290,34,Male,white,neutral
291,40,Male,white,happy
292,29,Male,black,happy
293,29,Male,white,angry
294,43,Male,white,angry
295,32,Male,white,happy
296,37,Male,white,neutral
297,42,Male,white,angry
298,34,Male,asian,neutral
299,31,Male,white,happy
300,41,Male,white,sad
301,28,Male,white,happy
302,44,Male,white,neutral
303,26,Male,black,happy
304,47,Male,white,happy
305,26,Male,white,happy
306,25,Male,white,neutral
307,31,Male,black,neutral
308,34,Male,white,sad
309,32,Male,black,happy
310,31,Male,asian,angry
311,43,Male,latino hispanic,happy
312,52,Male,middle eastern,neutral
313,35,Male,white,angry
314,27,Male,white,surprise
315,36,Male,middle eastern,happy
316,44,Male,white,happy
317,34,Male,latino hispanic,surprise
318,27,Male,asian,neutral
319,27,Male,white,happy
320,35,Male,white,fear
321,47,Male,white,fear
322,38,Male,white,angry
323,30,Male,middle eastern,happy
324,44,Male,latino hispanic,angry
325,30,Male,white,happy
326,39,Male,white,sad
327,30,Male,white,neutral
328,26,Male,white,neutral
329,26,Male,middle eastern,neutral
330,26,Male,white,neutral
331,29,Male,middle eastern,neutral
332,33,Male,white,happy
333,36,Male,white,neutral
334,39,Male,middle eastern,neutral
335,32,Male,white,happy
336,39,Male,white,neutral
337,26,Male,white,happy
338,28,Male,white,angry
339,36,Male,white,neutral
340,29,Male,white,fear
341,35,Male,white,happy
342,38,Male,white,happy
343,46,Male,middle eastern,fear
344,35,Male,white,fear
345,27,Male,white,happy
346,38,Male,white,happy
347,32,Male,white,happy
348,29,Male,middle eastern,neutral
349,32,Male,white,neutral
350,36,Male,white,happy
351,29,Male,asian,fear
352,43,Male,white,happy
353,47,Male,white,happy
354,34,Male,white,neutral
355,33,Male,white,happy
356,41,Male,white,happy
357,41,Male,white,fear
358,27,Male,indian,happy
359,37,Male,white,sad
360,29,Male,white,fear
361,44,Male,latino hispanic,disgust
362,34,Male,white,sad
363,31,Male,white,fear
364,42,Male,white,sad
365,33,Female,white,neutral
366,38,Male,white,neutral
367,36,Male,white,neutral
368,28,Male,white,happy
369,33,Female,white,angry
370,27,Male,white,neutral
371,24,Male,latino hispanic,happy
372,34,Female,white,happy
373,42,Male,white,happy
374,26,Male,white,happy
375,34,Male,white,neutral
376,29,Male,black,happy
377,35,Male,white,fear
378,39,Male,white,sad
379,33,Male,white,happy
380,39,Male,white,sad
381,33,Male,latino hispanic,neutral
382,30,Male,white,neutral
383,28,Male,white,happy
384,30,Male,white,fear
385,30,Male,asian,sad
386,23,Male,white,happy
387,37,Male,white,neutral
388,35,Male,white,happy
389,34,Male,white,neutral
390,34,Male,white,neutral
391,43,Male,white,neutral
392,26,Male,white,neutral
393,36,Male,white,sad
394,31,Male,middle eastern,neutral
395,28,Male,white,happy
396,29,Male,asian,neutral
397,33,Male,white,sad
398,24,Male,white,happy
399,30,Male,white,happy
400,25,Male,white,happy
401,42,Male,white,angry
402,34,Male,white,fear
403,32,Male,white,happy
404,40,Male,white,happy
405,27,Male,white,happy
406,34,Male,white,neutral
407,35,Male,white,fear
408,30,Male,white,fear
409,33,Male,white,fear
410,39,Male,white,angry
411,36,Male,white,fear
412,44,Male,asian,angry
413,24,Male,white,happy
414,37,Male,white,neutral
415,49,Male,white,neutral
416,37,Male,white,surprise
417,37,Male,white,neutral
418,35,Male,white,angry
419,42,Male,white,angry
420,37,Male,white,happy
421,35,Male,latino hispanic,neutral
422,32,Male,white,happy
423,30,Male,white,happy
424,35,Male,white,angry
425,45,Male,white,angry
426,44,Male,white,neutral
427,31,Male,white,happy
428,30,Male,white,fear
429,43,Male,white,angry
430,28,Male,white,sad
431,30,Male,white,happy
432,39,Male,white,neutral
433,27,Male,white,happy
434,33,Male,white,neutral
435,26,Male,white,happy
436,25,Male,black,happy
437,48,Male,white,sad
438,31,Male,white,fear
439,43,Male,white,neutral
440,30,Male,latino hispanic,happy
441,35,Male,white,happy
442,30,Male,white,happy
443,44,Male,white,fear
444,36,Male,white,fear
445,32,Male,white,happy
446,32,Male,white,neutral
447,29,Male,white,sad
448,34,Male,white,surprise
449,31,Male,middle eastern,happy
450,42,Male,white,neutral
451,27,Male,white,happy
452,37,Male,white,surprise
453,27,Male,middle eastern,neutral
454,32,Male,white,neutral
455,45,Male,white,happy
456,41,Male,white,surprise
457,26,Male,asian,surprise
458,24,Male,white,happy
459,39,Male,white,sad
460,30,Male,white,fear
461,32,Male,middle eastern,happy
462,32,Male,white,neutral
463,29,Male,white,happy
464,33,Male,white,happy
465,57,Male,white,happy
466,34,Male,white,neutral
467,29,Male,white,happy
468,31,Male,white,happy
469,29,Male,white,neutral
470,30,Male,black,neutral
471,34,Male,middle eastern,angry
472,25,Male,latino hispanic,neutral
473,27,Male,white,happy
474,23,Male,white,happy
475,33,Male,white,neutral
476,29,Male,white,sad
477,33,Male,white,angry
478,27,Male,white,neutral
479,29,Male,white,angry
480,25,Male,white,happy
481,27,Male,white,neutral
482,34,Male,white,neutral
483,43,Male,white,surprise
484,30,Male,white,happy
485,31,Male,white,happy
486,36,Male,black,fear
487,45,Male,asian,happy
488,33,Male,white,happy
489,29,Male,white,sad
490,36,Male,white,happy
491,36,Male,white,angry
492,29,Male,white,neutral
493,43,Male,white,happy
494,30,Male,white,happy
495,28,Male,white,neutral
496,47,Male,white,neutral
497,32,Male,asian,sad
498,41,Male,middle eastern,happy
499,42,Male,white,surprise
500,32,Male,asian,neutral
501,32,Male,white,neutral
502,34,Male,white,fear
503,28,Male,white,neutral
504,30,Male,white,neutral
505,41,Male,white,neutral
506,26,Male,white,happy
507,35,Male,white,neutral
508,32,Male,white,happy
509,31,Male,white,angry
510,46,Male,white,fear
511,41,Male,white,neutral
512,35,Male,white,neutral
513,33,Male,white,happy
514,48,Male,white,neutral
515,39,Male,white,happy
516,28,Male,white,happy
517,36,Male,middle eastern,happy
518,29,Male,white,angry
519,37,Male,white,angry
520,41,Male,white,angry
521,31,Male,asian,neutral
522,34,Male,white,happy
523,39,Male,white,sad
524,34,Female,white,happy
525,32,Male,white,happy
526,37,Male,white,sad
527,32,Male,white,neutral
528,29,Male,white,neutral
529,43,Male,white,neutral
530,40,Male,white,neutral
531,38,Male,white,neutral
532,34,Male,white,neutral
533,36,Male,white,neutral
534,23,Male,white,angry
535,23,Male,asian,neutral
536,41,Male,white,neutral
537,25,Male,black,happy
538,47,Male,white,angry
539,32,Male,white,angry
540,34,Male,white,happy
541,33,Male,white,happy
542,37,Male,white,happy
543,31,Male,middle eastern,neutral
544,30,Male,white,neutral
545,36,Male,white,fear
546,30,Male,white,happy
547,42,Male,white,happy
548,37,Male,white,neutral
549,36,Male,white,happy
550,28,Male,middle eastern,neutral
551,32,Male,white,sad
552,31,Male,white,happy
553,26,Male,white,happy
554,33,Male,white,happy
555,26,Male,white,fear
556,38,Male,white,surprise
557,30,Male,white,happy
558,30,Male,white,happy
559,26,Male,middle eastern,happy
560,31,Male,white,neutral
561,30,Male,white,neutral
562,28,Male,asian,angry
563,33,Male,white,happy
564,28,Male,white,happy
565,36,Male,white,sad
566,39,Male,white,neutral
567,34,Male,white,fear
568,36,Male,white,surprise
569,34,Male,white,neutral
570,42,Male,middle eastern,happy
571,34,Male,white,sad
572,28,Male,middle eastern,neutral
573,25,Male,latino hispanic,neutral
574,39,Male,white,neutral
575,33,Male,asian,neutral
576,33,Male,middle eastern,neutral
577,28,Male,white,surprise
578,28,Male,white,neutral
579,22,Male,white,neutral
580,31,Male,white,fear
581,28,Male,white,angry
582,36,Male,white,sad
583,34,Male,white,fear
584,28,Male,white,angry
585,30,Male,black,neutral
586,33,Male,white,fear
587,31,Male,white,happy
588,37,Male,white,happy
589,23,Male,white,happy
590,31,Male,asian,sad
591,32,Male,latino hispanic,happy
592,31,Male,white,happy
593,26,Male,white,neutral
594,42,Male,middle eastern,neutral
595,33,Male,white,sad
596,39,Male,white,fear
597,28,Male,white,happy
598,33,Male,asian,happy
599,31,Male,white,happy
600,26,Male,white,neutral
601,29,Male,white,neutral
602,36,Male,white,neutral
603,40,Male,white,happy
604,31,Female,white,happy
605,37,Male,white,angry
606,49,Male,white,neutral
607,32,Male,white,happy
608,39,Female,white,happy
609,43,Male,white,surprise
610,30,Male,latino hispanic,neutral
611,36,Male,white,happy
612,42,Male,middle eastern,fear
613,38,Male,white,happy
614,41,Male,white,fear
615,34,Male,white,happy
616,34,Male,latino hispanic,fear
617,28,Male,middle eastern,happy
618,41,Male,white,happy
619,27,Male,white,neutral
620,37,Male,white,fear
621,26,Male,middle eastern,sad
622,40,Male,white,happy
623,34,Male,latino hispanic,fear
624,22,Male,middle eastern,neutral
625,36,Male,asian,neutral
626,25,Male,middle eastern,happy
627,33,Male,white,happy
628,32,Female,white,neutral
629,26,Male,white,fear
630,43,Male,white,angry
631,29,Male,middle eastern,neutral
632,35,Male,white,neutral
633,26,Male,middle eastern,happy
634,26,Male,white,happy
635,39,Male,white,neutral
636,32,Male,white,happy
637,32,Male,black,happy
638,23,Male,middle eastern,happy
639,28,Male,indian,surprise
640,29,Male,white,sad
641,36,Male,white,angry
642,33,Male,white,angry
643,44,Male,asian,happy
644,34,Male,white,happy
645,46,Male,white,neutral
646,35,Male,white,sad
647,40,Male,white,fear
648,33,Male,white,neutral
649,40,Male,middle eastern,neutral
650,26,Male,white,happy
651,31,Male,white,happy
652,33,Male,white,happy
653,36,Male,asian,fear
654,28,Male,black,happy
655,30,Male,white,neutral
656,32,Male,white,neutral
657,32,Male,white,happy
658,35,Male,white,happy
659,32,Male,middle eastern,happy
660,27,Male,white,happy
661,32,Male,middle eastern,happy
662,31,Male,white,happy
663,45,Male,white,fear
664,39,Male,asian,fear
665,39,Male,white,sad
666,25,Male,white,fear
667,42,Male,white,surprise
668,35,Male,middle eastern,angry
669,28,Male,white,happy
670,34,Male,white,happy
671,32,Male,indian,angry
672,38,Male,white,neutral
673,36,Male,latino hispanic,neutral
674,34,Male,white,sad
675,31,Female,asian,fear
676,22,Male,white,fear
677,42,Male,white,neutral
678,37,Male,white,happy
679,48,Male,asian,fear
680,32,Male,white,happy
681,33,Male,black,neutral
682,34,Male,white,happy
683,30,Male,black,happy
684,44,Male,white,happy
685,23,Male,asian,happy
686,40,Male,white,neutral
687,39,Male,white,happy
688,26,Male,white,happy
689,23,Male,white,happy
690,24,Male,white,happy
691,38,Male,white,surprise
692,27,Male,white,happy
693,30,Male,latino hispanic,happy
694,27,Male,white,happy
695,46,Male,white,neutral
696,29,Male,white,happy
697,32,Male,latino hispanic,happy
698,33,Male,white,fear
699,45,Male,white,neutral
700,24,Male,asian,happy
701,37,Male,white,sad
702,48,Male,white,happy
703,28,Male,white,neutral
704,43,Male,white,fear
705,32,Male,white,sad
706,28,Male,middle eastern,happy
707,35,Male,white,happy
708,29,Male,white,happy
709,28,Male,white,happy
710,49,Male,white,happy
711,32,Male,white,fear
712,41,Male,white,sad
713,36,Male,latino hispanic,neutral
714,47,Male,middle eastern,neutral
715,24,Male,white,angry
716,33,Male,asian,happy
717,44,Male,white,fear
718,31,Male,white,surprise
719,33,Male,white,happy
720,51,Male,asian,sad
721,33,Male,white,happy
722,30,Male,white,happy
723,33,Male,white,happy
724,41,Male,asian,neutral
725,25,Male,white,neutral
726,31,Male,white,happy
727,31,Male,white,neutral
728,28,Male,white,sad
729,36,Male,white,happy
730,33,Male,middle eastern,neutral
731,25,Male,latino hispanic,happy
732,38,Male,white,neutral
733,38,Male,white,happy
734,41,Male,white,happy
735,31,Male,asian,neutral
736,26,Male,white,neutral
737,26,Male,white,happy
738,34,Male,white,happy
739,35,Male,white,fear
740,33,Male,white,happy
741,30,Male,asian,neutral
742,35,Male,black,neutral
743,26,Male,white,fear
744,28,Male,white,neutral
745,32,Male,middle eastern,neutral
746,28,Male,white,happy
747,28,Male,white,happy
748,33,Male,white,fear
749,33,Male,white,fear
750,28,Male,white,neutral
751,31,Male,white,happy
752,35,Male,asian,happy
753,35,Male,white,angry
754,43,Male,white,neutral
755,33,Male,white,fear
756,43,Male,white,fear
757,32,Male,middle eastern,neutral
758,20,Male,white,happy
759,28,Male,white,sad
760,30,Male,asian,neutral
761,33,Male,white,happy
762,27,Male,white,angry
763,25,Male,white,happy
764,46,Male,asian,surprise
765,39,Male,white,happy
766,26,Male,latino hispanic,neutral
767,42,Male,white,fear
768,38,Male,white,fear
769,24,Male,white,happy
770,38,Male,asian,happy
771,32,Male,white,sad
772,29,Male,white,neutral
773,33,Male,latino hispanic,neutral
774,38,Male,white,neutral
775,30,Male,asian,neutral
776,25,Female,white,happy
777,25,Male,asian,happy
778,29,Male,white,happy
779,31,Male,white,happy
780,41,Male,white,neutral
781,38,Male,indian,happy
782,37,Male,white,happy
783,40,Male,white,happy
784,39,Male,white,happy
785,39,Male,white,neutral
786,34,Male,white,surprise
787,39,Male,asian,angry
788,32,Male,white,sad
789,30,Male,white,neutral
790,37,Male,white,neutral
791,33,Male,white,happy
792,36,Male,white,happy
793,37,Male,white,fear
794,25,Male,white,happy
795,41,Male,white,happy
796,30,Male,white,angry
797,33,Male,white,neutral
798,39,Male,white,happy
799,41,Male,white,happy
800,31,Male,white,angry
801,45,Male,white,happy
802,31,Male,black,neutral
803,33,Male,white,neutral
804,35,Male,white,happy
805,36,Male,white,angry
806,31,Male,asian,fear
807,33,Male,middle eastern,happy
808,40,Male,white,neutral
809,43,Male,white,happy
810,38,Male,white,happy
811,47,Female,white,happy
812,45,Male,middle eastern,surprise
813,32,Male,white,fear
814,31,Male,asian,sad
815,33,Male,white,neutral
816,36,Male,white,happy
817,33,Male,white,fear
818,43,Male,white,angry
819,33,Male,latino hispanic,happy
820,45,Male,white,sad
821,45,Male,latino hispanic,angry
822,28,Male,white,neutral
823,33,Female,asian,fear
824,35,Male,white,fear
825,25,Male,middle eastern,neutral
826,35,Male,white,neutral
827,33,Male,middle eastern,sad
828,27,Male,latino hispanic,happy
829,33,Male,white,fear
830,27,Male,asian,happy
831,43,Male,middle eastern,neutral
832,36,Male,white,happy
833,42,Male,white,neutral
834,29,Male,white,happy
835,44,Male,white,surprise
836,30,Male,white,happy
837,30,Male,middle eastern,happy
838,26,Male,white,neutral
839,45,Male,white,angry
840,21,Male,asian,happy
841,25,Male,white,happy
842,24,Male,asian,happy
843,29,Male,white,happy
844,33,Male,white,surprise
845,47,Male,white,sad
