Image_No,age,gender,race,emotion,center_dist,space
0,31,male,asian,neutral,230.49728848730524,50.77486038208008
0,31,"{'male': 99.99083280563354, 'female': 0.009165405936073512}","{'asian': 100.0, 'indian': 7.396689372107801e-08, 'black': 8.0563950591316675e-16, 'white': 1.3573477411488177e-09, 'middle eastern': 2.1740455228781644e-18, 'latino hispanic': 5.474490194501413e-07}","{'angry': 0.763357151299715, 'disgust': 1.8865054585148755e-05, 'fear': 0.5904964171350002, 'happy': 0.2977384254336357, 'sad': 4.652782529592514, 'surprise': 0.0026350931875640526, 'neutral': 93.6929702758789}",,
1,29,female,middle eastern,neutral,124.31009613060397,70.68319320678711
1,29,"{'male': 2.2542376143519505e-05, 'female': 99.99997615814209}","{'asian': 0.0024900769858504646, 'indian': 0.7712843827903271, 'black': 0.0007108897989382967, 'white': 29.413601756095886, 'middle eastern': 57.65172839164734, 'latino hispanic': 12.160179764032364}","{'angry': 0.006437818956328556, 'disgust': 1.1354804900151616e-10, 'fear': 1.3213169761002064, 'happy': 0.8997336961328983, 'sad': 4.428211227059364, 'surprise': 0.0011293321222183295, 'neutral': 93.34316849708557}",,
2,31,female,black,neutral,251.50944316267731,48.90174865722656
2,31,"{'male': 7.5705885887146, 'female': 92.4294114112854}","{'asian': 9.075433556761357, 'indian': 0.30307631883480063, 'black': 90.59006515682132, 'white': 2.7828860875767736e-06, 'middle eastern': 5.167693692341093e-07, 'latino hispanic': 0.0314251975027962}","{'angry': 8.532909101521824e-09, 'disgust': 7.837872082921282e-28, 'fear': 2.373429404400884e-09, 'happy': 7.316416895074285e-11, 'sad': 2.7703518412636186e-05, 'surprise': 5.291480587032993e-08, 'neutral': 99.99997615814209}",,
3,32,male,middle eastern,neutral,234.03418553707064,53.467559814453125
3,32,"{'male': 99.99998807907104, 'female': 1.574720585040268e-05}","{'asian': 0.0014254443158279173, 'indian': 18.20751279592514, 'black': 0.007732734957244247, 'white': 9.437121450901031, 'middle eastern': 62.60738968849182, 'latino hispanic': 9.73881185054779}","{'angry': 0.06499253600791312, 'disgust': 1.8501886681968036e-07, 'fear': 0.024488953936186667, 'happy': 0.012617414928986277, 'sad': 0.08730468627763904, 'surprise': 0.05571451370206557, 'neutral': 99.7548818442155}",,
4,28,male,black,neutral,240.40798655618744,51.57737731933594
4,28,"{'male': 99.91037249565125, 'female': 0.08962105493992567}","{'asian': 0.11954034241024761, 'indian': 10.925819537141267, 'black': 88.65791424011162, 'white': 0.005653423741937838, 'middle eastern': 0.006133591526979315, 'latino hispanic': 0.2849406669590672}","{'angry': 0.0006434042390229844, 'disgust': 7.649637058924252e-14, 'fear': 1.2899125381734012e-05, 'happy': 0.00032723860062643226, 'sad': 0.052563802678215664, 'surprise': 1.5787050386474115e-08, 'neutral': 99.94645118394203}",,
5,31,female,asian,neutral,163.47782724271818,63.466644287109375
5,31,"{'male': 0.9703257121145725, 'female': 99.02967810630798}","{'asian': 100.0, 'indian': 5.322438045851641e-07, 'black': 7.575276374624285e-15, 'white': 3.2243045039459517e-09, 'middle eastern': 4.960713389272895e-16, 'latino hispanic': 1.4222272248787249e-06}","{'angry': 0.2209540456533432, 'disgust': 2.842834021521412e-05, 'fear': 1.4510872773826122, 'happy': 0.08785206591710448, 'sad': 26.241031289100647, 'surprise': 0.03962670161854476, 'neutral': 71.95942401885986}",,
6,31,male,white,neutral,95.18928511129812,78.04679870605469
6,31,"{'male': 99.99728202819824, 'female': 0.002713280264288187}","{'asian': 3.560724631812562e-09, 'indian': 2.548667499269186e-07, 'black': 2.5163629860380787e-10, 'white': 99.97135996818542, 'middle eastern': 0.022413938131649047, 'latino hispanic': 0.006229363498277962}","{'angry': 0.02324247034266591, 'disgust': 6.440665153865309e-15, 'fear': 1.463051120254022e-05, 'happy': 6.653108641785366e-06, 'sad': 0.3700194414705038, 'surprise': 2.8992908334551926e-10, 'neutral': 99.6067225933075}",,
7,29,female,black,neutral,242.00206610688264,49.754905700683594
7,29,"{'male': 6.659179925918579, 'female': 93.3408260345459}","{'asian': 24.19947078221688, 'indian': 15.498891830312232, 'black': 27.19812419392159, 'white': 3.598083612094356, 'middle eastern': 2.876214280869279, 'latino hispanic': 26.62921567311474}","{'angry': 0.007947718404466286, 'disgust': 2.0042989112205398e-13, 'fear': 0.005201023668632843, 'happy': 7.631695830845331e-08, 'sad': 13.10526579618454, 'surprise': 6.449784283046878e-10, 'neutral': 86.88158392906189}",,
8,29,female,asian,neutral,222.63872080121192,50.077056884765625
8,29,"{'male': 0.2977890893816948, 'female': 99.70220923423767}","{'asian': 99.99810457229614, 'indian': 0.000176208652646892, 'black': 3.72486035071784e-09, 'white': 1.0377985582010751e-06, 'middle eastern': 3.079462683117096e-11, 'latino hispanic': 0.0017207994460477494}","{'angry': 0.0005463105351764236, 'disgust': 2.7244842842133353e-14, 'fear': 0.12304074631501712, 'happy': 7.834053020280862e-05, 'sad': 0.21389505238205506, 'surprise': 1.7953208879379414e-07, 'neutral': 99.66244099512345}",,
9,26,male,asian,neutral,225.31977276750482,54.74090576171875
9,26,"{'male': 61.906492710113525, 'female': 38.09351623058319}","{'asian': 53.91432596274305, 'indian': 1.5064030021246668, 'black': 0.6537076237848254, 'white': 29.404627751752408, 'middle eastern': 7.06706186329581, 'latino hispanic': 7.453865414397071}","{'angry': 1.9188338082765596e-18, 'disgust': 1.065167634019922e-34, 'fear': 0.004369780799606815, 'happy': 1.918347969365186e-06, 'sad': 4.872728956439865e-10, 'surprise': 3.0225358216284803e-06, 'neutral': 99.99562501907349}",,
10,30,male,middle eastern,neutral,161.8054387219416,64.22748565673828
10,30,"{'male': 99.99992847442627, 'female': 6.70683562020713e-05}","{'asian': 0.057539981727077465, 'indian': 13.74960772690819, 'black': 0.13702958474857121, 'white': 19.579253767684328, 'middle eastern': 50.63683096389955, 'latino hispanic': 15.839740087970501}","{'angry': 3.6723221796819416e-05, 'disgust': 9.00077868588218e-17, 'fear': 5.418398814072134e-05, 'happy': 0.0002759036988209118, 'sad': 0.002899067840189673, 'surprise': 3.881645671555134e-07, 'neutral': 99.99673366546631}",,
11,30,female,indian,neutral,309.9629010059107,34.687042236328125
11,30,"{'male': 4.888147488236427, 'female': 95.11185884475708}","{'asian': 0.7554411857356055, 'indian': 56.31136969463464, 'black': 0.34011115183516166, 'white': 4.175666099866164, 'middle eastern': 8.725980964419957, 'latino hispanic': 29.691440426282934}","{'angry': 0.0030243894830957485, 'disgust': 1.2157521999655517e-14, 'fear': 0.05833092032339628, 'happy': 0.00016246597506802546, 'sad': 1.048077331712564, 'surprise': 0.00024100729061564597, 'neutral': 98.89016164658527}",,
12,33,male,indian,happy,109.32977636490436,75.31213760375977
12,33,"{'male': 99.99966621398926, 'female': 0.0003389887979210471}","{'asian': 0.00016185873619178892, 'indian': 96.2034523487091, 'black': 0.0030967206839704886, 'white': 0.4748004022985697, 'middle eastern': 1.138762105256319, 'latino hispanic': 2.1797265857458115}","{'angry': 1.363564859982458e-10, 'disgust': 4.351780213733024e-21, 'fear': 4.0607359190697814e-12, 'happy': 99.34644103050232, 'sad': 1.213957157020218e-07, 'surprise': 4.073779091839924e-07, 'neutral': 0.6535594817250967}",,
13,31,female,white,happy,330.7748478950599,30.397987365722656
13,31,"{'male': 3.308095841703107e-06, 'female': 100.0}","{'asian': 0.14679755549877882, 'indian': 0.24404912255704403, 'black': 0.001114067890739534, 'white': 70.6720232963562, 'middle eastern': 4.6581655740737915, 'latino hispanic': 24.277852475643158}","{'angry': 2.8525448669824982e-08, 'disgust': 4.044440926953326e-17, 'fear': 3.8101490712483255e-09, 'happy': 88.1284773349762, 'sad': 5.361066701681239e-07, 'surprise': 0.008169367356458679, 'neutral': 11.863348633050919}",,
14,33,male,white,neutral,244.0184419260151,51.7303466796875
14,33,"{'male': 99.99971389770508, 'female': 0.00028058850602974417}","{'asian': 3.424721764259454e-08, 'indian': 3.611543344620978e-06, 'black': 2.251570709865187e-09, 'white': 99.88406301926815, 'middle eastern': 0.0684536038785602, 'latino hispanic': 0.04747710206818854}","{'angry': 0.2316910307854414, 'disgust': 2.2792356543788195e-09, 'fear': 0.023690983653068542, 'happy': 0.00016769057538112975, 'sad': 0.789804570376873, 'surprise': 1.0641139880362971e-05, 'neutral': 98.95463585853577}",,
15,30,female,asian,surprise,247.69537742961617,45.85390090942383
15,30,"{'male': 0.0001740051970955392, 'female': 99.99982118606567}","{'asian': 99.60740804672241, 'indian': 0.03631477884482592, 'black': 9.397759868079447e-05, 'white': 0.0023210810468299314, 'middle eastern': 1.0519197246594558e-05, 'latino hispanic': 0.3538461634889245}","{'angry': 0.00035752582334680483, 'disgust': 1.1231517289562315e-11, 'fear': 0.20414413884282112, 'happy': 0.0101101330074016, 'sad': 0.0004158854608249385, 'surprise': 99.09840822219849, 'neutral': 0.6865645293146372}",,
16,31,male,indian,neutral,244.95101551126504,41.36476516723633
16,31,"{'male': 99.99933242797852, 'female': 0.0006723564638377866}","{'asian': 0.004644088039640337, 'indian': 87.87803649902344, 'black': 0.04275591345503926, 'white': 0.545336538925767, 'middle eastern': 7.07971453666687, 'latino hispanic': 4.4495150446891785}","{'angry': 0.11891890317201614, 'disgust': 3.9833078502304886e-08, 'fear': 0.3545942949131131, 'happy': 0.0013354181646718644, 'sad': 2.628198079764843, 'surprise': 0.00029589721179945627, 'neutral': 96.8966543674469}",,
17,27,male,black,neutral,192.63436868845602,40.60935974121094
17,27,"{'male': 92.6237404346466, 'female': 7.376262545585632}","{'asian': 1.9175855564892985e-11, 'indian': 1.9170236953414133e-06, 'black': 100.0, 'white': 1.9559749286385294e-17, 'middle eastern': 4.702510069357242e-19, 'latino hispanic': 3.222346434822443e-11}","{'angry': 5.439554140451719e-07, 'disgust': 1.9292106196768237e-21, 'fear': 2.4131408676852928e-09, 'happy': 4.2050357640377456e-08, 'sad': 9.617647265258711e-05, 'surprise': 6.481864350815769e-09, 'neutral': 99.99990463256836}",,
18,31,female,asian,neutral,196.65197685250968,54.599952697753906
18,31,"{'male': 0.0006873194706713548, 'female': 99.9993085861206}","{'asian': 99.99982118606567, 'indian': 4.5784904045831354e-05, 'black': 2.1065862541771313e-11, 'white': 6.932529550418565e-08, 'middle eastern': 4.6284776031863396e-14, 'latino hispanic': 0.0001291344460696564}","{'angry': 1.5752837046642656, 'disgust': 4.547118805660984e-08, 'fear': 1.6829795991802694, 'happy': 0.0011791214505594263, 'sad': 7.964762095837343, 'surprise': 0.00028542198159736476, 'neutral': 88.77550497347058}",,
19,25,male,black,neutral,291.0463880552377,39.776611328125
19,25,"{'male': 99.99964237213135, 'female': 0.0003603642880989355}","{'asian': 3.090985245535194e-07, 'indian': 0.00036133094454271486, 'black': 99.99964237213135, 'white': 3.049298010274204e-11, 'middle eastern': 1.5839295207462772e-11, 'latino hispanic': 2.9130091672158187e-07}","{'angry': 2.496876008808613, 'disgust': 3.195315798620868e-05, 'fear': 1.5157188288867474, 'happy': 0.0075248186476528645, 'sad': 2.2063788026571274, 'surprise': 0.039629414095543325, 'neutral': 93.73384118080139}",,
20,30,female,latino hispanic,happy,254.02558926218438,39.834022521972656
20,30,"{'male': 1.5272362929863448e-06, 'female': 100.0}","{'asian': 6.9488465785980225, 'indian': 8.63945335149765, 'black': 0.6209354382008314, 'white': 7.1160659193992615, 'middle eastern': 1.5579186379909515, 'latino hispanic': 75.11678338050842}","{'angry': 2.14361897121762e-06, 'disgust': 5.869956620383962e-12, 'fear': 0.0007047739472909598, 'happy': 96.11045718193054, 'sad': 1.0020363561125123e-05, 'surprise': 3.7465088069438934, 'neutral': 0.14231097884476185}",,
21,32,male,latino hispanic,neutral,201.08953229842672,52.40592956542969
21,32,"{'male': 99.99783039093018, 'female': 0.0021748797735199332}","{'asian': 2.755517140030861, 'indian': 24.600236117839813, 'black': 0.5688865203410387, 'white': 8.677251636981964, 'middle eastern': 10.875564068555832, 'latino hispanic': 52.52254009246826}","{'angry': 0.0038223696269622594, 'disgust': 6.725589375508412e-07, 'fear': 0.12606618280358212, 'happy': 1.919126811273504, 'sad': 0.24408145399877154, 'surprise': 0.3336517804802525, 'neutral': 97.3732529505046}",,
22,40,male,white,neutral,256.28109567426156,48.193359375
22,40,"{'male': 93.49441528320312, 'female': 6.505587697029114}","{'asian': 24.604400968813955, 'indian': 3.414576704178852, 'black': 3.242098733311816, 'white': 40.127843029966535, 'middle eastern': 12.244525536568494, 'latino hispanic': 16.366560242567076}","{'angry': 1.0132943974928868e-13, 'disgust': 1.0494269310256952e-29, 'fear': 1.4886553399264812, 'happy': 1.6513750436542018e-09, 'sad': 5.270229053166986e-05, 'surprise': 3.623605051000095e-11, 'neutral': 98.51129055023193}",,
23,31,female,latino hispanic,happy,259.2778432492835,47.77679443359375
23,31,"{'male': 9.76175407174651e-07, 'female': 100.0}","{'asian': 0.6995941512286663, 'indian': 4.686646908521652, 'black': 0.09494135156273842, 'white': 34.911128878593445, 'middle eastern': 19.388853013515472, 'latino hispanic': 40.218839049339294}","{'angry': 4.408232712194149e-06, 'disgust': 1.3008018273641397e-09, 'fear': 0.00572111748624593, 'happy': 52.14952826499939, 'sad': 0.0071792084781918675, 'surprise': 0.21118323784321547, 'neutral': 47.62638211250305}",,
24,29,male,white,neutral,227.14092541856036,54.40034866333008
24,29,"{'male': 99.9988317489624, 'female': 0.001164397326647304}","{'asian': 5.6252707736348384e-05, 'indian': 0.03070591192226857, 'black': 4.1128603811557696e-05, 'white': 59.22384262084961, 'middle eastern': 37.365615367889404, 'latino hispanic': 3.3797383308410645}","{'angry': 1.8427324732783745e-05, 'disgust': 1.172810606735132e-13, 'fear': 4.1684333496050385e-05, 'happy': 0.0002499090896890266, 'sad': 0.0032928423024713993, 'surprise': 3.4613367727587274e-07, 'neutral': 99.99639987945557}",,
25,32,female,latino hispanic,neutral,253.5527558517162,37.835121154785156
25,32,"{'male': 0.023978081298992038, 'female': 99.97602105140686}","{'asian': 0.8105817215941284, 'indian': 6.528285857643382, 'black': 0.14001075837632915, 'white': 26.85741760046272, 'middle eastern': 21.15939901359093, 'latino hispanic': 44.504303395235134}","{'angry': 0.01144648267654702, 'disgust': 4.6460885139154584e-08, 'fear': 0.06540093454532325, 'happy': 12.607912719249725, 'sad': 1.2563399970531464, 'surprise': 0.09512445540167391, 'neutral': 85.96377372741699}",,
26,28,female,asian,neutral,265.75364531836624,45.98255157470703
26,28,"{'male': 0.2923201071098447, 'female': 99.70768690109253}","{'asian': 100.0, 'indian': 8.099436919761782e-10, 'black': 1.988982763188891e-18, 'white': 4.605412188760094e-11, 'middle eastern': 5.980972070565001e-18, 'latino hispanic': 5.906956868084734e-09}","{'angry': 5.152422189712524, 'disgust': 3.784196454219432e-14, 'fear': 0.0004229548721923493, 'happy': 0.00039073383959475905, 'sad': 0.06308079464361072, 'surprise': 1.7745634128818466e-08, 'neutral': 94.78368163108826}",,
27,41,male,white,neutral,216.23135757794242,56.45751953125
27,41,"{'male': 99.99960660934448, 'female': 0.00039433211895811837}","{'asian': 0.00011535519206518074, 'indian': 0.02080361737171188, 'black': 5.701212444364501e-05, 'white': 76.74199938774109, 'middle eastern': 19.574719667434692, 'latino hispanic': 3.662305325269699}","{'angry': 0.014903547707945108, 'disgust': 7.801421730846414e-07, 'fear': 0.08607860654592514, 'happy': 0.008508030441589653, 'sad': 3.3939022570848465, 'surprise': 5.37415644430439e-05, 'neutral': 96.49655818939209}",,
28,30,female,latino hispanic,neutral,216.37467504308353,51.833152770996094
