Image_No,age,gender,race,center_dist,space
0,20-29,male,asian,230.49728848730524,50.77486038208008
0,"{'0-2': 4.60683899916603e-06, '3-9': 0.0009802798558666836, '10-19': 2.312375418841839, '20-29': 88.75598907470703, '30-39': 8.849909901618958, '40-49': 0.08031698525883257, '50-59': 0.0003962170012528077, '60-69': 2.6469447789168044e-05, '70+': 1.7817430864042194e-07}","{'male': 99.99581575393677, 'female': 0.004189781611785293}","{'white': 0.24858331307768822, 'black': 0.00016300668903568294, 'latino hispanic': 0.4880450200289488, 'asian': 99.23792481422424, 'indian': 0.01446293608751148, 'middle eastern': 0.010820955503731966}",,
1,20-29,female,middle eastern,124.31009613060397,70.68319320678711
1,"{'0-2': 2.917356578535646e-07, '3-9': 0.003387914694030769, '10-19': 8.643852174282074, '20-29': 90.04902243614197, '30-39': 1.30054522305727, '40-49': 0.0031907056836644188, '50-59': 3.874769305411974e-06, '60-69': 4.381411067289065e-08, '70+': 2.80054300062782e-10}","{'male': 0.012015910760965198, 'female': 99.98798370361328}","{'white': 9.206866472959518, 'black': 0.00031112535907595884, 'latino hispanic': 0.7358501199632883, 'asian': 0.0013452849088935181, 'indian': 1.220986619591713, 'middle eastern': 88.83464336395264}",,
2,10-19,female,black,251.50944316267731,48.90174865722656
2,"{'0-2': 7.620395194862795e-05, '3-9': 4.199698194861412, '10-19': 90.37099480628967, '20-29': 5.409008637070656, '30-39': 0.020179741841275245, '40-49': 4.078154631770303e-05, '50-59': 8.378053806268326e-08, '60-69': 3.6773022127345456e-09, '70+': 4.211123203617939e-10}","{'male': 0.6912970915436745, 'female': 99.30870532989502}","{'white': 0.002654855779837817, 'black': 97.86038994789124, 'latino hispanic': 0.031936209416016936, 'asian': 0.05100445123389363, 'indian': 2.0531170070171356, 'middle eastern': 0.0009004824278235901}",,
3,20-29,male,indian,234.03418553707064,53.467559814453125
3,"{'0-2': 8.813159979581542e-05, '3-9': 0.019024960056412965, '10-19': 0.904399435967207, '20-29': 66.3024365901947, '30-39': 32.414376735687256, '40-49': 0.3594395937398076, '50-59': 0.00023395236894430127, '60-69': 2.5348143140035972e-06, '70+': 3.447037932868824e-08}","{'male': 99.97861385345459, 'female': 0.021384033607318997}","{'white': 5.658379942178726, 'black': 0.009164659422822297, 'latino hispanic': 9.070927649736404, 'asian': 0.009880833385977894, 'indian': 65.28338193893433, 'middle eastern': 19.968262314796448}",,
4,20-29,male,black,240.40798655618744,51.57737731933594
4,"{'0-2': 4.107464590674681e-06, '3-9': 0.0075265510531608015, '10-19': 4.8414018005132675, '20-29': 89.59780931472778, '30-39': 5.525890365242958, '40-49': 0.0272782810498029, '50-59': 7.548337634943891e-05, '60-69': 1.4218496602325104e-06, '70+': 8.907798942914269e-08}","{'male': 99.97871518135071, 'female': 0.02128017949871719}","{'white': 0.004441913915798068, 'black': 99.05914068222046, 'latino hispanic': 0.030987284844741225, 'asian': 0.00019984574919362785, 'indian': 0.9039441123604774, 'middle eastern': 0.001290736508963164}",,
5,20-29,female,asian,163.47782724271818,63.466644287109375
5,"{'0-2': 0.0005110141955810832, '3-9': 1.6622547060251236, '10-19': 45.43718099594116, '20-29': 52.52898335456848, '30-39': 0.36934257950633764, '40-49': 0.001719812826195266, '50-59': 2.6045521295259277e-06, '60-69': 3.3651303965598345e-07, '70+': 7.999515633239085e-09}","{'male': 0.07417503511533141, 'female': 99.92582201957703}","{'white': 0.016934356244746596, 'black': 8.64154685586982e-05, 'latino hispanic': 0.04251284117344767, 'asian': 99.92963671684265, 'indian': 0.010421458136988804, 'middle eastern': 0.00040132467802322935}",,
6,20-29,male,white,95.18928511129812,78.04679870605469
6,"{'0-2': 1.12678737451688e-06, '3-9': 0.0011324732440698426, '10-19': 2.7332425117492676, '20-29': 95.31096816062927, '30-39': 1.9514206796884537, '40-49': 0.0032440904760733247, '50-59': 1.36851419085815e-06, '60-69': 1.7003955188332753e-08, '70+': 5.224605470477428e-10}","{'male': 99.95761513710022, 'female': 0.042383017716929317}","{'white': 96.58703804016113, 'black': 0.00014718985994477407, 'latino hispanic': 0.5803712643682957, 'asian': 0.00036081091820960864, 'indian': 0.09116155561059713, 'middle eastern': 2.740921825170517}",,
7,10-19,female,latino hispanic,242.00206610688264,49.754905700683594
7,"{'0-2': 4.700307343341592e-06, '3-9': 1.5171934850513935, '10-19': 95.47312259674072, '20-29': 3.007872961461544, '30-39': 0.0018056758563034236, '40-49': 8.084048985779191e-07, '50-59': 4.843767748008432e-10, '60-69': 3.5873666775869395e-11, '70+': 1.635291464144751e-12}","{'male': 0.1287244725972414, 'female': 99.87127184867859}","{'white': 5.983912572264671, 'black': 9.005442261695862, 'latino hispanic': 74.99125599861145, 'asian': 1.1308006942272186, 'indian': 7.447526603937149, 'middle eastern': 1.441054418683052}",,
8,20-29,female,asian,222.63872080121192,50.077056884765625
8,"{'0-2': 0.00017046670564013766, '3-9': 0.5306707695126534, '10-19': 27.218976616859436, '20-29': 71.69286608695984, '30-39': 0.554407387971878, '40-49': 0.0028935533919138834, '50-59': 2.4384123165077654e-06, '60-69': 1.723381326534934e-07, '70+': 2.422521558353985e-09}","{'male': 0.0030491075449390337, 'female': 99.99695420265198}","{'white': 0.01792955881683156, 'black': 5.066374342277413e-05, 'latino hispanic': 0.07396307191811502, 'asian': 99.89504218101501, 'indian': 0.012516196875367314, 'middle eastern': 0.0005025284281146014}",,
9,20-29,male,white,225.31977276750482,54.74090576171875
9,"{'0-2': 0.14069373719394207, '3-9': 2.1509910002350807, '10-19': 9.98658686876297, '20-29': 41.64655804634094, '30-39': 30.321526527404785, '40-49': 11.007919162511826, '50-59': 2.915387973189354, '60-69': 1.3478003442287445, '70+': 0.4825352691113949}","{'male': 94.76234912872314, 'female': 5.237649008631706}","{'white': 52.97179818153381, 'black': 3.4961096942424774, 'latino hispanic': 23.55327159166336, 'asian': 10.61335802078247, 'indian': 0.9909220039844513, 'middle eastern': 8.37453380227089}",,
10,20-29,male,indian,161.8054387219416,64.22748565673828
10,"{'0-2': 2.0685922308416593e-06, '3-9': 0.0011548805559868924, '10-19': 0.9882327169179916, '20-29': 90.20742177963257, '30-39': 8.77247303724289, '40-49': 0.03070786187890917, '50-59': 1.0713018383512463e-05, '60-69': 1.927879633711882e-07, '70+': 2.3393667211712987e-09}","{'male': 99.98893141746521, 'female': 0.011062542034778744}","{'white': 7.796906679868698, 'black': 0.0015430721759912558, 'latino hispanic': 7.640878111124039, 'asian': 0.003221401129849255, 'indian': 50.67514181137085, 'middle eastern': 33.88230800628662}",,
11,10-19,female,middle eastern,309.9629010059107,34.687042236328125
11,"{'0-2': 1.7149234921021161e-06, '3-9': 0.26797251775860786, '10-19': 56.93994164466858, '20-29': 42.72497892379761, '30-39': 0.06701951497234404, '40-49': 7.992716746230144e-05, '50-59': 3.0470842515839536e-08, '60-69': 1.378048630068518e-09, '70+': 3.5632195978518855e-11}","{'male': 0.07874525035731494, 'female': 99.92125630378723}","{'white': 2.1513311192393303, 'black': 0.005969036283204332, 'latino hispanic': 6.71050101518631, 'asian': 0.08067800081335008, 'indian': 12.163783609867096, 'middle eastern': 78.88774275779724}",,
12,30-39,male,indian,109.32977636490436,75.31213760375977
12,"{'0-2': 1.1413938239002164e-05, '3-9': 0.0011100822121079545, '10-19': 0.3198165213689208, '20-29': 42.962345480918884, '30-39': 53.920990228652954, '40-49': 2.786984108388424, '50-59': 0.008650912786833942, '60-69': 9.219831440532289e-05, '70+': 1.2982729558075334e-06}","{'male': 99.97002482414246, 'female': 0.02997755364049226}","{'white': 0.3305777907371521, 'black': 0.002868219235097058, 'latino hispanic': 5.264140293002129, 'asian': 0.009762354602571577, 'indian': 94.07683610916138, 'middle eastern': 0.31581728253513575}",,
13,20-29,female,white,330.7748478950599,30.397987365722656
13,"{'0-2': 4.798521047177928e-06, '3-9': 0.11015278287231922, '10-19': 32.16754198074341, '20-29': 67.48334169387817, '30-39': 0.2386852167546749, '40-49': 0.00027278540528641315, '50-59': 1.6491559229336872e-07, '60-69': 4.938419118083459e-09, '70+': 1.6731281074142124e-10}","{'male': 0.0045040193072054535, 'female': 99.99549388885498}","{'white': 94.14603114128113, 'black': 0.003576760718715377, 'latino hispanic': 3.8170311599969864, 'asian': 0.039366717101074755, 'indian': 0.14506604056805372, 'middle eastern': 1.8489299342036247}",,
14,20-29,male,white,244.0184419260151,51.7303466796875
