Image_No,age,gender,race,emotion,center_dist,space
0,28,female,asian,neutral,128.00390619039717,72.17483520507812
0,28,"{'male': 7.566331326961517, 'female': 92.43367314338684}","{'asian': 71.50850892066956, 'indian': 8.68832990527153, 'black': 0.8199116215109825, 'white': 0.7518986240029335, 'middle eastern': 0.21437602117657661, 'latino hispanic': 18.01697611808777}","{'angry': 0.018183745108562868, 'disgust': 1.0811097751287393e-08, 'fear': 0.11460592706646645, 'happy': 0.0071186362520655995, 'sad': 0.5180180690310083, 'surprise': 0.23095044732248154, 'neutral': 99.11112178696654}",,
1,23,male,black,neutral,110.00454536063499,77.08473205566406
1,23,"{'male': 84.52573418617249, 'female': 15.474267303943634}","{'asian': 0.09465345065109432, 'indian': 8.84101316332817, 'black': 90.8972680568695, 'white': 0.0012584518117364496, 'middle eastern': 0.0005853851689607836, 'latino hispanic': 0.16522298101335764}","{'angry': 0.0001757273016814583, 'disgust': 2.7388939036917872e-14, 'fear': 0.0020840359289462673, 'happy': 20.017531217189504, 'sad': 0.0001995958546837882, 'surprise': 0.05926697402548635, 'neutral': 79.92074369911812}",,
2,30,male,white,sad,182.61708572858126,61.84101104736328
2,30,"{'male': 99.50873255729675, 'female': 0.49127363599836826}","{'asian': 0.04842182092647355, 'indian': 0.19690194186144375, 'black': 0.01338754387209715, 'white': 71.06824172356626, 'middle eastern': 24.02237493066489, 'latino hispanic': 4.650673452099973}","{'angry': 3.948594506919534e-08, 'disgust': 1.0832609765795698e-10, 'fear': 0.22601753007620573, 'happy': 1.9015107544095855e-08, 'sad': 99.77397918701172, 'surprise': 2.300156423564858e-12, 'neutral': 3.9469643553502465e-06}",,
3,29,female,asian,neutral,63.89053137985315,61.27796173095703
3,29,"{'male': 3.950883709080699e-06, 'female': 100.0}","{'asian': 62.71718588862587, 'indian': 1.4203696681118407, 'black': 0.16900735522346436, 'white': 0.9687160849611658, 'middle eastern': 0.08754082493928672, 'latino hispanic': 34.637175841668146}","{'angry': 0.46541932970285416, 'disgust': 1.7550423336842869e-06, 'fear': 1.8671244382858276, 'happy': 0.117628020234406, 'sad': 2.9373420402407646, 'surprise': 0.023841614893171936, 'neutral': 94.58864331245422}",,
4,31,male,latino hispanic,neutral,97.04638066409278,65.69366455078125
4,31,"{'male': 93.8649594783783, 'female': 6.135040521621704}","{'asian': 2.0672857761383057, 'indian': 32.249391078948975, 'black': 1.704254373908043, 'white': 4.722674190998077, 'middle eastern': 3.803151473402977, 'latino hispanic': 55.45324683189392}","{'angry': 0.00600563652695691, 'disgust': 9.299833159704941e-10, 'fear': 0.01199146716851173, 'happy': 0.08448657384807312, 'sad': 0.04871429700191599, 'surprise': 1.1740743122519545e-05, 'neutral': 99.84878896765643}",,
5,29,female,indian,neutral,7.280109889280519,96.39930725097656
