Image_No,age,gender,race,center_dist,space
0,10-19,female,indian,128.00390619039717,72.17483520507812
0,"{'0-2': 3.943421518215473e-05, '3-9': 7.185602188110352, '10-19': 88.11687231063843, '20-29': 4.686702787876129, '30-39': 0.010773327085189521, '40-49': 1.2874953370101139e-05, '50-59': 1.682197298125132e-08, '60-69': 1.8125936515622776e-09, '70+': 5.179177941551372e-11}","{'male': 0.06279159570112824, 'female': 99.93720650672913}","{'white': 0.11458543594926596, 'black': 0.012853868247475475, 'latino hispanic': 5.060761421918869, 'asian': 0.812817458063364, 'indian': 93.90139579772949, 'middle eastern': 0.0975835369899869}",,
1,10-19,female,black,110.00454536063499,77.08473205566406
1,"{'0-2': 1.4389213731647033e-05, '3-9': 0.6217632908374071, '10-19': 62.14432120323181, '20-29': 37.13344633579254, '30-39': 0.10035355808213353, '40-49': 0.00010310076277164626, '50-59': 6.575477939918528e-08, '60-69': 1.5840259659505307e-09, '70+': 7.097385830087677e-11}","{'male': 0.31693559139966965, 'female': 99.68306422233582}","{'white': 0.006366897287080064, 'black': 90.21835923194885, 'latino hispanic': 0.14166539767757058, 'asian': 0.005357000918593258, 'indian': 9.624598920345306, 'middle eastern': 0.003657411434687674}",,
2,20-29,male,white,182.61708572858126,61.84101104736328
2,"{'0-2': 0.10101504158228636, '3-9': 0.6231086794286966, '10-19': 2.302255854010582, '20-29': 62.00963258743286, '30-39': 27.367743849754333, '40-49': 6.219731271266937, '50-59': 0.9503675624728203, '60-69': 0.29344353824853897, '70+': 0.1327027566730976}","{'male': 90.60158729553223, 'female': 9.398416429758072}","{'white': 51.900291442871094, 'black': 12.156503647565842, 'latino hispanic': 15.303286910057068, 'asian': 15.76416939496994, 'indian': 1.1013013310730457, 'middle eastern': 3.774452954530716}",,
3,10-19,female,indian,63.89053137985315,61.27796173095703
3,"{'0-2': 3.225810374374305e-06, '3-9': 0.3228946588933468, '10-19': 58.94550085067749, '20-29': 40.67997634410858, '30-39': 0.05159207503311336, '40-49': 2.8290040177125775e-05, '50-59': 8.379807264757844e-09, '60-69': 4.2220285427496673e-10, '70+': 6.508501555627447e-12}","{'male': 0.007102648669388145, 'female': 99.99289512634277}","{'white': 1.1639494448900223, 'black': 0.0062096201872918755, 'latino hispanic': 23.424725234508514, 'asian': 1.1786719784140587, 'indian': 72.43983745574951, 'middle eastern': 1.7866138368844986}",,
4,10-19,female,indian,97.04638066409278,65.69366455078125
4,"{'0-2': 8.369319175471901e-05, '3-9': 17.150074243545532, '10-19': 71.87078595161438, '20-29': 10.94336211681366, '30-39': 0.03561213088687509, '40-49': 8.190204425773118e-05, '50-59': 5.323207430407706e-08, '60-69': 2.7265386129404767e-09, '70+': 6.379327946968993e-11}","{'male': 0.93401949852705, 'female': 99.0659773349762}","{'white': 0.018637494940776378, 'black': 0.0041796920413617045, 'latino hispanic': 1.4793201349675655, 'asian': 0.008210075611714274, 'indian': 98.33807349205017, 'middle eastern': 0.1515807816758752}",,
5,10-19,female,middle eastern,7.280109889280519,96.39930725097656
5,"{'0-2': 2.6570981859208587e-06, '3-9': 1.5427904203534126, '10-19': 70.73666453361511, '20-29': 27.697071433067322, '30-39': 0.02346205001231283, '40-49': 9.87591946000066e-06, '50-59': 3.3869938104169606e-09, '60-69': 7.892980973672747e-11, '70+': 1.970297568761742e-12}","{'male': 0.01313576358370483, 'female': 99.9868631362915}","{'white': 3.1626012176275253, 'black': 0.00937259101192467, 'latino hispanic': 2.2071799263358116, 'asian': 0.007241686398629099, 'indian': 26.085543632507324, 'middle eastern': 68.52806806564331}",,
6,20-29,female,white,30.01666203960727,84.98992919921875
6,"{'0-2': 1.6947059577887558e-05, '3-9': 0.36037368699908257, '10-19': 40.69634675979614, '20-29': 58.77963304519653, '30-39': 0.16347947530448437, '40-49': 0.00015506636827922193, '50-59': 1.1419932777201325e-07, '60-69': 5.740504252504941e-09, '70+': 2.2319143061499958e-10}","{'male': 0.13131643645465374, 'female': 99.86868500709534}","{'white': 76.49703621864319, 'black': 0.02471093030180782, 'latino hispanic': 21.31451964378357, 'asian': 0.05994840757921338, 'indian': 0.22137914784252644, 'middle eastern': 1.8824096769094467}",,
7,20-29,female,middle eastern,46.09772228646444,77.838134765625
7,"{'0-2': 5.650440559890058e-07, '3-9': 0.006420740828616545, '10-19': 7.544247061014175, '20-29': 91.2068247795105, '30-39': 1.238074153661728, '40-49': 0.004433835783856921, '50-59': 4.2169915559497895e-06, '60-69': 1.2458516440716494e-07, '70+': 4.7758547117027206e-09}","{'male': 0.004906343383481726, 'female': 99.99509453773499}","{'white': 0.4521843511611223, 'black': 0.00016417016013292596, 'latino hispanic': 0.11336550815030932, 'asian': 0.024708444834686816, 'indian': 1.954176276922226, 'middle eastern': 97.45539426803589}",,
8,20-29,male,asian,165.51132891738862,56.516456604003906
8,"{'0-2': 0.2941703889518976, '3-9': 1.8756618723273277, '10-19': 6.00353330373764, '20-29': 71.31254076957703, '30-39': 17.07363724708557, '40-49': 3.0769096687436104, '50-59': 0.25988875422626734, '60-69': 0.07704775780439377, '70+': 0.02660582831595093}","{'male': 65.18100500106812, 'female': 34.818994998931885}","{'white': 20.940549671649933, 'black': 3.4981217235326767, 'latino hispanic': 19.559335708618164, 'asian': 45.2845960855484, 'indian': 1.432583387941122, 'middle eastern': 9.284818172454834}",,
9,20-29,female,middle eastern,32.28002478313795,81.81161880493164
9,"{'0-2': 1.70749592243169e-07, '3-9': 0.012443630839698017, '10-19': 13.932591676712036, '20-29': 85.78837513923645, '30-39': 0.2664308063685894, '40-49': 0.00015321471664719866, '50-59': 9.473043460772601e-08, '60-69': 2.1347444645325453e-09, '70+': 2.492206202693581e-11}","{'male': 0.0018061611626762897, 'female': 99.99818801879883}","{'white': 11.987104266881943, 'black': 0.000785976317274617, 'latino hispanic': 4.462805390357971, 'asian': 0.05727311363443732, 'indian': 24.956172704696655, 'middle eastern': 58.53585600852966}",,
10,20-29,male,indian,20.6155281280883,79.82683181762695
10,"{'0-2': 0.0002668931301741395, '3-9': 0.206292187795043, '10-19': 17.0767679810524, '20-29': 78.62513661384583, '30-39': 4.064452648162842, '40-49': 0.02704939106479287, '50-59': 3.388935567727458e-05, '60-69': 1.0062594313353657e-06, '70+': 1.1231320040661075e-08}","{'male': 99.98905658721924, 'female': 0.010945628309855238}","{'white': 0.27836067602038383, 'black': 0.004090183938387781, 'latino hispanic': 6.111041456460953, 'asian': 0.05347392871044576, 'indian': 92.84475445747375, 'middle eastern': 0.708282133564353}",,
11,20-29,male,indian,65.00769185258002,86.93923950195312
11,"{'0-2': 5.162752358955913e-05, '3-9': 0.012197958130855113, '10-19': 2.5100991129875183, '20-29': 85.788494348526, '30-39': 11.618292331695557, '40-49': 0.07078928756527603, '50-59': 7.470039804502449e-05, '60-69': 1.8002804580419252e-06, '70+': 2.550484823338195e-08}","{'male': 99.99880194664001, 'female': 0.0011969297702307813}","{'white': 3.894561529159546, 'black': 0.07145014242269099, 'latino hispanic': 37.43743300437927, 'asian': 0.07647015154361725, 'indian': 54.21280860900879, 'middle eastern': 4.307277873158455}",,
12,20-29,male,indian,8.0,93.56088638305664
12,"{'0-2': 9.3078135421365e-06, '3-9': 0.014632004604209214, '10-19': 2.4955257773399353, '20-29': 93.63813996315002, '30-39': 3.843466565012932, '40-49': 0.008221259486163035, '50-59': 2.6208491377133214e-06, '60-69': 4.109042550659581e-08, '70+': 5.571157250805481e-10}","{'male': 99.99865293502808, 'female': 0.0013430588296614587}","{'white': 1.7269914969801903, 'black': 0.002244564166176133, 'latino hispanic': 4.697488248348236, 'asian': 0.0037308840546756983, 'indian': 77.35439538955688, 'middle eastern': 16.215147078037262}",,
13,20-29,female,indian,16.278820596099706,91.75643920898438
