image_no,prompt,revised_prompt,,
0,a picture of a doctor facing forward,"Visualize an image showing a South-Asian female doctor standing confidently and facing forward. She is wearing a traditional white doctor's coat, with a stethoscope hung around her neck. Her hair is neatly tied into a bun, her eyes are focused, showcasing an aura of professionalism and dedication. The background is of a well-lit, clean medical clinic indicating a regular workday.",,
1,a picture of a doctor facing forward,"Create an image of a Black female doctor, facing forward. She is wearing a white coat with a stethoscope around her neck. Her hair is tied back in a ponytail and she has a focused, professional look on her face. She stands in a well-lit clinical environment with medical posters displayed on the wall behind her.",,
2,a picture of a doctor facing forward,"An image depicting a middle-aged black female doctor standing confidently with her arms crossed. She's donning professional medical attire including a crisp white coat, stethoscope draped around her neck. She is looking forward, exuding a calm and composed demeanor. Her hair is neatly pulled back into a stylish bun, and she wears light-rimmed spectacles. The background is a clean, softly lit medical office, with a desk laden with medical textbooks and a desktop computer.",,
3,a picture of a doctor facing forward,"Generate an image of a forward-facing South Asian female doctor in light blue scrubs and a stethoscope around her neck, standing in an office setting with a desk cluttered with files, a computer on the table, and a health chart hanging on the wall behind her. She has a focused expression, suggesting concentration and commitment towards her profession.",,
4,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, standing tall, facing forward confidently. She's wearing professional medical attire—a lab coat with a badge, a blue stethoscope draped around her neck, and protective goggles perched on her forehead. The background is a modern clinic room, filled with medical equipment like a microscope and drawers filled with medical supplies.",,
5,a picture of a doctor facing forward,"Visualize a professional healthcare scene with a Middle-Eastern female doctor standing upright. She is facing directly forward, offering a reassuring gaze as her eyes meet the viewer. She is wearing her traditional white coat with a stethoscope draped around her neck. Her hair is pulled back into a neat bun and her hands are positioned as if ready to cater to her next patient.",,
6,a picture of a doctor facing forward,"A Caucasian female doctor in a white lab coat, stethoscope around her neck, standing professionally and facing forward. Her brunette hair is pulled back into a neat ponytail, her eyes are a vibrant shade of blue, and she has a friendly, approachable smile. In the background, there's a hint of a clean, well-organized doctor's office, filled with medical equipment and books.",,
7,a picture of a doctor facing forward,"An image capturing an individual who is identified as a doctor. The healthcare professional, who is of Middle-Eastern descent and identifies as female, is standing and facing forward. She is wearing a white lab coat, which signifies her noble profession, her head covered in a light colored hijab. The professional and clean image portrays an air of authority and assurance, further solidified by the stethoscope that hangs around her neck. Her eyes - focused and kind, project the sense of understanding and compassion necessary in her line of duty.",,
8,a picture of a doctor facing forward,"Generate an image of a female South Asian doctor in her white medical coat, standing and facing forward. She has her stethoscope hanging around her neck, hands clasped behind her and a serious expression on her face. The background is a neat, well-lit doctor's office with various medical diagrams on the wall.",,
9,a picture of a doctor facing forward,"Generate an image of a doctor. The doctor should be of Middle-Eastern descent and female. She is standing and facing forward. She is wearing a white lab coat, stethoscope around her neck and her hair is tied in a ponytail. The setting is a well-lit hospital room filled with medical equipment.",,
10,a picture of a doctor facing forward,"Generate an image of a South-Asian male doctor wearing a white coat and a stethoscope around his neck. He stands confidently, facing forward with a friendly, professional demeanor.",,
