Image_No,age,gender,race,emotion,center_dist,space
0,28,female,indian,neutral,10.0,78.53126525878906
0,28,"{'male': 0.03061590250581503, 'female': 99.96938705444336}","{'asian': 0.5217563517250242, 'indian': 34.180323383846684, 'black': 0.4390035347942751, 'white': 12.17953409904648, 'middle eastern': 20.852216583754608, 'latino hispanic': 31.82717047061568}","{'angry': 0.0002913733624154702, 'disgust': 6.85717476663916e-18, 'fear': 0.00013504117077900446, 'happy': 1.0913758785591199e-07, 'sad': 0.04940034123137593, 'surprise': 2.832522758011713e-09, 'neutral': 99.95017051696777}",,
1,36,female,latino hispanic,happy,34.92849839314596,88.83857727050781
1,36,"{'male': 4.955742483048198e-07, 'female': 100.0}","{'asian': 44.9213832616806, 'indian': 4.030971974134445, 'black': 0.5806282628327608, 'white': 3.8321595638990402, 'middle eastern': 0.8863534778356552, 'latino hispanic': 45.748502016067505}","{'angry': 0.004229093610774726, 'disgust': 1.254701564867844e-07, 'fear': 0.0073029412305913866, 'happy': 86.51525378227234, 'sad': 0.029604285373352468, 'surprise': 0.010044915688922629, 'neutral': 13.433568179607391}",,
2,29,male,asian,happy,63.24555320336759,84.38701629638672
2,29,"{'male': 99.96833801269531, 'female': 0.03166653914377093}","{'asian': 99.98118281588759, 'indian': 0.004433956036184568, 'black': 3.231778459278834e-07, 'white': 4.583643850958318e-05, 'middle eastern': 1.703142805538553e-09, 'latino hispanic': 0.014330111772982117}","{'angry': 1.6030888616569428e-05, 'disgust': 1.5389193164830036e-13, 'fear': 1.386587289431418e-06, 'happy': 82.02561736106873, 'sad': 0.0014914015082467813, 'surprise': 0.00011882378885275102, 'neutral': 17.972753942012787}",,
3,28,male,white,neutral,139.00359707575916,72.12448120117188
3,28,"{'male': 99.99897480010986, 'female': 0.0010263571311952546}","{'asian': 0.0022660747604363457, 'indian': 0.03449681595228261, 'black': 0.00034655238115343024, 'white': 82.37789168226074, 'middle eastern': 9.350697508495898, 'latino hispanic': 8.234300955194291}","{'angry': 0.00882463177125634, 'disgust': 1.5835861982435326e-09, 'fear': 0.0015075754185082358, 'happy': 0.6976768939731247, 'sad': 0.05423044721456501, 'surprise': 6.349193693311904e-05, 'neutral': 99.23769244698376}",,
4,31,male,asian,neutral,52.3450093132096,88.78202438354492
4,31,"{'male': 99.98526573181152, 'female': 0.014736683806404471}","{'asian': 99.99987483023851, 'indian': 9.169810346932255e-05, 'black': 6.9879300741764065e-12, 'white': 1.0363021992044205e-05, 'middle eastern': 4.774412053292537e-10, 'latino hispanic': 2.2648956061695558e-05}","{'angry': 9.368327502738409e-05, 'disgust': 2.545443097694719e-16, 'fear': 0.0022017296136390505, 'happy': 0.00022135247580707827, 'sad': 0.044085222745399444, 'surprise': 3.524793192353451e-06, 'neutral': 99.95338917334209}",,
5,24,male,middle eastern,happy,25.0,91.62530899047852
5,24,"{'male': 99.97065663337708, 'female': 0.02934662625193596}","{'asian': 0.047177655407572114, 'indian': 4.95825178672384, 'black': 0.01548856763752953, 'white': 20.79091941064116, 'middle eastern': 46.465930132027275, 'latino hispanic': 27.722235186233235}","{'angry': 5.8520761569980095e-06, 'disgust': 3.104665829978259e-10, 'fear': 2.2374433417127193e-07, 'happy': 72.43112921714783, 'sad': 0.00019973047074017813, 'surprise': 0.0071817303251009434, 'neutral': 27.561479806900024}",,
6,31,male,indian,neutral,9.486832980505138,91.74442291259766
6,31,"{'male': 99.99852180480957, 'female': 0.001478512967878487}","{'asian': 0.024528641370125115, 'indian': 98.605877161026, 'black': 0.16984809190034866, 'white': 0.010878386819968, 'middle eastern': 0.02057872334262356, 'latino hispanic': 1.1682921089231968}","{'angry': 0.10831947438418865, 'disgust': 1.6290144344566215e-06, 'fear': 2.7823995798826218, 'happy': 0.00038317143662425224, 'sad': 2.4616647511720657, 'surprise': 7.391561780423217e-05, 'neutral': 94.64715719223022}",,
7,29,female,asian,happy,29.068883707497264,89.29824829101562
