Image_No,age,gender,race,center_dist,space
0,10-19,female,middle eastern,10.0,78.53126525878906
0,"{'0-2': 7.521188116754729e-07, '3-9': 0.10821772739291191, '10-19': 55.986952781677246, '20-29': 43.81442964076996, '30-39': 0.09030125220306218, '40-49': 9.928934332492645e-05, '50-59': 6.199189495070812e-08, '60-69': 2.733445067515383e-09, '70+': 5.879496108723847e-11}","{'male': 0.717188511043787, 'female': 99.28281307220459}","{'white': 6.217432022094727, 'black': 0.0024975277483463287, 'latino hispanic': 5.659845843911171, 'asian': 0.012787836021743715, 'indian': 16.904856264591217, 'middle eastern': 71.20257616043091}",,
1,30-39,female,asian,34.92849839314596,88.83857727050781
1,"{'0-2': 9.511993539490504e-05, '3-9': 0.0015584226275677793, '10-19': 0.1644221250899136, '20-29': 29.18119728565216, '30-39': 65.29642939567566, '40-49': 5.201199650764465, '50-59': 0.15061472076922655, '60-69': 0.004460293348529376, '70+': 2.2918175091035664e-05}","{'male': 0.002922193016274832, 'female': 99.99707341194153}","{'white': 0.7380603812634945, 'black': 0.016350048827007413, 'latino hispanic': 3.574107587337494, 'asian': 95.58090567588806, 'indian': 0.031858967849984765, 'middle eastern': 0.058726692805066705}",,
2,20-29,male,asian,63.24555320336759,84.38701629638672
2,"{'0-2': 2.8167363552711322e-05, '3-9': 0.009726994903758168, '10-19': 4.724752530455589, '20-29': 86.15217804908752, '30-39': 9.025789052248001, '40-49': 0.08720550104044378, '50-59': 0.00029977627491462044, '60-69': 2.412519677363889e-05, '70+': 2.452358094373608e-07}","{'male': 99.9988317489624, 'female': 0.0011663696568575688}","{'white': 0.04653666401281953, 'black': 0.001065790911525255, 'latino hispanic': 0.8441139943897724, 'asian': 99.06097054481506, 'indian': 0.04380557220429182, 'middle eastern': 0.0035080171073786914}",,
3,20-29,male,white,139.00359707575916,72.12448120117188
3,"{'0-2': 4.725486917322996e-05, '3-9': 0.024316919734701514, '10-19': 4.286285117268562, '20-29': 91.73563122749329, '30-39': 3.9432328194379807, '40-49': 0.010471732093719766, '50-59': 8.979409216181011e-06, '60-69': 2.700828449775372e-07, '70+': 7.048539529819209e-09}","{'male': 99.99625086784363, 'female': 0.003748763265321031}","{'white': 73.79462718963623, 'black': 0.0208435594686307, 'latino hispanic': 5.466700717806816, 'asian': 0.008742396312300116, 'indian': 1.1834172531962395, 'middle eastern': 19.525672495365143}",,
4,20-29,male,asian,52.3450093132096,88.78202438354492
4,"{'0-2': 1.0549074858090535e-05, '3-9': 0.006983827915973961, '10-19': 18.64147186279297, '20-29': 79.99435663223267, '30-39': 1.353446114808321, '40-49': 0.0037209490983514115, '50-59': 9.619142105066203e-06, '60-69': 7.588318418072504e-07, '70+': 1.3286707845061585e-08}","{'male': 99.45207834243774, 'female': 0.5479186773300171}","{'white': 0.5248399917036295, 'black': 9.106851734941301e-05, 'latino hispanic': 0.06686473498120904, 'asian': 99.3922770023346, 'indian': 0.012019873247481883, 'middle eastern': 0.003905387347913347}",,
