Image_No,age,gender,race,emotion,center_dist,space
0,27,female,latino hispanic,happy,11.180339887498949,88.13293051359517
0,27,"{'male': 1.1948413215577602, 'female': 98.80515336990356}","{'asian': 23.727440985746266, 'indian': 24.25397941422708, 'black': 5.08579737415345, 'white': 2.345911133776768, 'middle eastern': 1.4254843048174017, 'latino hispanic': 43.16137812598012}","{'angry': 1.2958674064367237e-09, 'disgust': 2.6846454373052677e-21, 'fear': 7.533930314188638e-13, 'happy': 99.24262762069702, 'sad': 5.827381632794726e-09, 'surprise': 0.00014924956985851168, 'neutral': 0.7572243921458721}",,
1,34,male,latino hispanic,happy,98.00510190801295,34.5403981264637
1,34,"{'male': 99.9975323677063, 'female': 0.002472267260600347}","{'asian': 4.9193743616342545, 'indian': 9.62275117635727, 'black': 1.6919611021876335, 'white': 24.00408238172531, 'middle eastern': 25.74673891067505, 'latino hispanic': 34.015092253685}","{'angry': 1.223870229251654e-14, 'disgust': 1.5201220882176454e-32, 'fear': 3.3913835620209438e-19, 'happy': 100.0, 'sad': 1.3188026917220017e-16, 'surprise': 1.1086195065527094e-12, 'neutral': 4.786855373889454e-10}",,
2,31,female,asian,neutral,1.4142135623730951,95.98130841121495
2,31,"{'male': 0.0330351700540632, 'female': 99.96696710586548}","{'asian': 94.96407568882994, 'indian': 0.968430262097089, 'black': 0.01868440808811762, 'white': 0.99099983754756, 'middle eastern': 0.03900312411841016, 'latino hispanic': 3.0188046522373377}","{'angry': 0.8413046526843724, 'disgust': 0.00013065632208473705, 'fear': 7.6591102589237385, 'happy': 0.3209097859668987, 'sad': 2.8018977878215567, 'surprise': 0.004029138901289758, 'neutral': 88.37261338560421}",,
3,37,female,white,happy,32.89376840679706,67.00217173404612
3,37,"{'male': 0.0017189227946801111, 'female': 99.99828338623047}","{'asian': 0.0011243733321190472, 'indian': 0.0007205664638185339, 'black': 2.5597463850216824e-05, 'white': 98.96332037886138, 'middle eastern': 0.3536107295545066, 'latino hispanic': 0.6811937902189743}","{'angry': 9.186124083626623e-11, 'disgust': 8.39498009986665e-24, 'fear': 1.7385999751994756e-15, 'happy': 99.99997615814209, 'sad': 9.065941865228546e-13, 'surprise': 1.6678106362633116e-05, 'neutral': 6.2861680305559275e-06}",,
4,33,male,white,surprise,19.4164878389476,52.04872646733112
4,33,"{'male': 99.99301433563232, 'female': 0.006985790969338268}","{'asian': 6.328600645065308, 'indian': 2.8061792254447937, 'black': 0.7731379941105843, 'white': 53.80831956863403, 'middle eastern': 17.206932604312897, 'latino hispanic': 19.07683163881302}","{'angry': 2.831515297293663, 'disgust': 0.00022343688215187285, 'fear': 8.154034614562988, 'happy': 43.52938234806061, 'sad': 0.049155717715620995, 'surprise': 45.425185561180115, 'neutral': 0.010501388896955177}",,
5,37,male,latino hispanic,happy,2.0,89.06829806438672
5,37,"{'male': 61.49234175682068, 'female': 38.50766122341156}","{'asian': 8.982844441106584, 'indian': 13.698718768281863, 'black': 7.917519385666811, 'white': 18.14397234582736, 'middle eastern': 22.84465419320191, 'latino hispanic': 28.412290120857364}","{'angry': 0.048267174827958635, 'disgust': 0.0009084788503406071, 'fear': 0.016087131602295135, 'happy': 75.00257343069157, 'sad': 0.8749492987960159, 'surprise': 5.075347726067765, 'neutral': 18.981870650164524}",,
6,29,female,latino hispanic,happy,10.77032961426901,88.36507936507937
6,29,"{'male': 1.660078225995676e-05, 'female': 99.99998807907104}","{'asian': 13.111271037014847, 'indian': 2.232214515771212, 'black': 0.5964832160154838, 'white': 29.69639357285423, 'middle eastern': 3.958848963242646, 'latino hispanic': 50.404793072318206}","{'angry': 7.262060286450378e-07, 'disgust': 8.138135998425611e-10, 'fear': 8.801523421197999e-06, 'happy': 99.13990497589111, 'sad': 0.0011368129889888223, 'surprise': 1.8659659417608054e-05, 'neutral': 0.8589240722358227}",,
7,32,male,asian,happy,36.013886210738214,35.64583333333333
7,32,"{'male': 97.70837426185608, 'female': 2.2916190326213837}","{'asian': 79.48667407035828, 'indian': 0.0994132598862052, 'black': 0.004815150532522239, 'white': 19.191652536392212, 'middle eastern': 0.38119067903608084, 'latino hispanic': 0.8362519554793835}","{'angry': 1.0186647064983845, 'disgust': 8.634006007923745e-05, 'fear': 0.11037877993658185, 'happy': 91.58715605735779, 'sad': 0.05601982702501118, 'surprise': 0.008737023017602041, 'neutral': 7.218950241804123}",,
8,42,female,white,happy,36.6742416417845,43.053405572755416
8,42,"{'male': 0.05409478908404708, 'female': 99.94590878486633}","{'asian': 0.0015978246665326878, 'indian': 0.0044604628783417866, 'black': 8.589815934101352e-05, 'white': 96.33038640022278, 'middle eastern': 2.1938178688287735, 'latino hispanic': 1.4696468599140644}","{'angry': 1.4739045539613471e-06, 'disgust': 2.1395959656778096e-09, 'fear': 5.315914375358943e-08, 'happy': 96.6473937034607, 'sad': 0.004114115654374473, 'surprise': 5.955947699476383e-05, 'neutral': 3.348436951637268}",,
9,26,female,latino hispanic,happy,119.00420160649793,45.111111111111114
9,26,"{'male': 0.24844689760357141, 'female': 99.75155591964722}","{'asian': 21.99833726902756, 'indian': 8.014584867407695, 'black': 2.8613981173755985, 'white': 23.77040698881066, 'middle eastern': 10.65548382336094, 'latino hispanic': 32.699780738379864}","{'angry': 0.1773511546655113, 'disgust': 0.002618128616483451, 'fear': 0.08402387774078515, 'happy': 88.22274944511062, 'sad': 0.4528442789203788, 'surprise': 0.13900128631650968, 'neutral': 10.921402463745777}",,
10,36,male,asian,happy,33.37663853655727,72.16171428571428
10,36,"{'male': 98.21720719337463, 'female': 1.782785914838314}","{'asian': 99.99988079071045, 'indian': 2.6395508712084848e-05, 'black': 2.917887014907555e-11, 'white': 1.318068409972284e-06, 'middle eastern': 1.960156720910624e-12, 'latino hispanic': 9.725207519295509e-05}","{'angry': 8.307485775682633e-10, 'disgust': 1.1156181612780234e-15, 'fear': 5.12096684501806e-09, 'happy': 99.97753500938416, 'sad': 3.9287731401493886e-08, 'surprise': 0.008664537745062262, 'neutral': 0.01380358444293961}",,
11,39,male,white,neutral,19.026297590440446,78.4
