Image_No,age,gender,race,center_dist,space
0,20-29,female,black,11.180339887498949,88.13293051359517
0,"{'0-2': 3.3238148944292334e-05, '3-9': 0.003759437458938919, '10-19': 1.8714874982833862, '20-29': 70.98275423049927, '30-39': 26.011309027671814, '40-49': 1.1104866862297058, '50-59': 0.020005990518257022, '60-69': 0.00016384983609896153, '70+': 2.753688654877351e-06}","{'male': 0.14463876141235232, 'female': 99.85536932945251}","{'white': 0.5646760109812021, 'black': 67.99997091293335, 'latino hispanic': 9.21863242983818, 'asian': 0.09477228159084916, 'indian': 21.704858541488647, 'middle eastern': 0.41708704084157944}",,
1,30-39,male,white,98.00510190801295,34.5403981264637
1,"{'0-2': 5.099983013678866e-06, '3-9': 0.00018835131641026237, '10-19': 0.15682425582781434, '20-29': 32.98842906951904, '30-39': 59.374332427978516, '40-49': 7.285591959953308, '50-59': 0.1921309158205986, '60-69': 0.0024611525077489205, '70+': 3.855237196148664e-05}","{'male': 99.99654293060303, 'female': 0.003457376078586094}","{'white': 71.26235961914062, 'black': 0.08634149562567472, 'latino hispanic': 9.18664038181305, 'asian': 0.02431291650282219, 'indian': 0.09410566417500377, 'middle eastern': 19.346241652965546}",,
2,20-29,female,white,1.4142135623730951,95.98130841121495
2,"{'0-2': 0.05399560905061662, '3-9': 2.580936625599861, '10-19': 27.184879779815674, '20-29': 61.8286669254303, '30-39': 7.96123743057251, '40-49': 0.38106762804090977, '50-59': 0.008480688120471314, '60-69': 0.0006926611604285426, '70+': 4.039584666770679e-05}","{'male': 1.5362337231636047, 'female': 98.46376180648804}","{'white': 54.412657022476196, 'black': 0.26689276564866304, 'latino hispanic': 16.36226773262024, 'asian': 7.200341671705246, 'indian': 0.08423883700743318, 'middle eastern': 21.67360782623291}",,
3,20-29,female,white,32.89376840679706,67.00217173404612
3,"{'0-2': 9.09528694137407e-05, '3-9': 0.6431940011680126, '10-19': 24.921776354312897, '20-29': 70.85518836975098, '30-39': 3.555455058813095, '40-49': 0.024176618899218738, '50-59': 0.00011972460924880579, '60-69': 1.3955184563485545e-06, '70+': 1.2022625117680263e-07}","{'male': 0.0002704752205318073, 'female': 99.99973177909851}","{'white': 99.97143745422363, 'black': 5.106972480461991e-05, 'latino hispanic': 0.017871793534141034, 'asian': 0.0009787043381948024, 'indian': 7.49902199004282e-05, 'middle eastern': 0.00958455857471563}",,
4,20-29,male,white,19.4164878389476,52.04872646733112
4,"{'0-2': 0.00027698981739376904, '3-9': 0.005075965236756019, '10-19': 0.3607920603826642, '20-29': 68.8035249710083, '30-39': 30.036452412605286, '40-49': 0.7876850664615631, '50-59': 0.005903964847675525, '60-69': 0.00027957748898188584, '70+': 1.2920692427087488e-05}","{'male': 99.99272227287292, 'female': 0.007279881538124755}","{'white': 95.67259550094604, 'black': 0.023518377565778792, 'latino hispanic': 0.8349377661943436, 'asian': 0.057078147074207664, 'indian': 0.014883186668157578, 'middle eastern': 3.3969946205615997}",,
5,20-29,female,latino hispanic,2.0,89.06829806438672
5,"{'0-2': 0.0005926962785451906, '3-9': 0.20965293515473604, '10-19': 8.481453359127045, '20-29': 74.42687749862671, '30-39': 16.12677276134491, '40-49': 0.733693316578865, '50-59': 0.020029355073347688, '60-69': 0.0009086202226171736, '70+': 2.027243226621067e-05}","{'male': 0.08473547641187906, 'female': 99.9152660369873}","{'white': 2.8299666941165924, 'black': 1.4228761196136475, 'latino hispanic': 78.71388792991638, 'asian': 15.854118764400482, 'indian': 1.0014653205871582, 'middle eastern': 0.17768965335562825}",,
6,20-29,female,white,10.77032961426901,88.36507936507937
6,"{'0-2': 2.9496181053190185e-07, '3-9': 0.000260441493082908, '10-19': 1.0014887899160385, '20-29': 81.1632752418518, '30-39': 17.705579102039337, '40-49': 0.12914574472233653, '50-59': 0.0002407080046396004, '60-69': 1.2942649618707947e-06, '70+': 5.3007875866484255e-09}","{'male': 3.692079815209581e-05, 'female': 99.99996423721313}","{'white': 76.09881162643433, 'black': 0.018220412312075496, 'latino hispanic': 22.847847640514374, 'asian': 0.11054089991375804, 'indian': 0.06093709962442517, 'middle eastern': 0.8636476472020149}",,
7,20-29,female,asian,36.013886210738214,35.64583333333333
7,"{'0-2': 0.004886917668045498, '3-9': 1.6126934438943863, '10-19': 12.963700294494629, '20-29': 64.60313200950623, '30-39': 18.278436362743378, '40-49': 2.3428188636898994, '50-59': 0.17758178291842341, '60-69': 0.01559717784402892, '70+': 0.0011534841178217903}","{'male': 0.4848842974752188, 'female': 99.5151162147522}","{'white': 2.7137737721204758, 'black': 0.009866012987913564, 'latino hispanic': 2.7718424797058105, 'asian': 94.18814778327942, 'indian': 0.06382204592227936, 'middle eastern': 0.2525515155866742}",,
8,20-29,female,white,36.6742416417845,43.053405572755416
8,"{'0-2': 0.0013889904039388057, '3-9': 0.09231235599145293, '10-19': 2.7261530980467796, '20-29': 41.05043113231659, '30-39': 33.30874741077423, '40-49': 17.287874221801758, '50-59': 4.784984886646271, '60-69': 0.6917189341038465, '70+': 0.056390464305877686}","{'male': 0.28729462064802647, 'female': 99.71270561218262}","{'white': 92.0514702796936, 'black': 0.007350067608058453, 'latino hispanic': 0.6379180122166872, 'asian': 0.002164173019991722, 'indian': 0.04130871966481209, 'middle eastern': 7.259783893823624}",,
9,20-29,female,white,119.00420160649793,45.111111111111114
9,"{'0-2': 2.6172756406595e-06, '3-9': 0.0085149280494079, '10-19': 10.126390308141708, '20-29': 88.26984763145447, '30-39': 1.5924008563160896, '40-49': 0.002845677408913616, '50-59': 3.204885246077538e-06, '60-69': 5.06457487059464e-08, '70+': 1.7394245765967042e-09}","{'male': 0.009646298713050783, 'female': 99.99035596847534}","{'white': 90.81648588180542, 'black': 0.030534740653820336, 'latino hispanic': 2.554846927523613, 'asian': 0.008854320185491815, 'indian': 0.021394903887994587, 'middle eastern': 6.567883491516113}",,
10,20-29,female,asian,33.37663853655727,72.16171428571428
10,"{'0-2': 0.00010938507557511912, '3-9': 0.28926972299814224, '10-19': 41.725438833236694, '20-29': 57.24781155586243, '30-39': 0.7281073369085789, '40-49': 0.009229285205947235, '50-59': 3.06940904692965e-05, '60-69': 4.586012281038165e-06, '70+': 1.2159218076845946e-07}","{'male': 0.028089320403523743, 'female': 99.97190833091736}","{'white': 0.12272401945665479, 'black': 0.00013184693443690776, 'latino hispanic': 0.09389414335601032, 'asian': 99.76338148117065, 'indian': 0.012789753964170814, 'middle eastern': 0.007076287147356197}",,
11,40-49,male,white,19.026297590440446,78.4
11,"{'0-2': 0.00037825070648978, '3-9': 0.0006610034233744955, '10-19': 0.025609106523916125, '20-29': 0.23024859838187695, '30-39': 8.36612656712532, '40-49': 61.753469705581665, '50-59': 28.504419326782227, '60-69': 1.1145289056003094, '70+': 0.004550320954876952}","{'male': 99.99995827674866, 'female': 3.5901615547118126e-05}","{'white': 89.11241888999939, 'black': 0.001157114365923917, 'latino hispanic': 4.308965057134628, 'asian': 0.15009413473308086, 'indian': 0.12511098757386208, 'middle eastern': 6.302246451377869}",,
12,20-29,male,middle eastern,84.31488599292535,31.639412997903566
