Image_No,age,gender,race,emotion,center_dist,space
0,30,female,white,happy,236.21176939348302,44.39048767089844
0,30,"{'male': 0.000114366150683054, 'female': 99.99988079071045}","{'asian': 0.0004899777066181214, 'indian': 0.000582363076017379, 'black': 1.1160196413321261e-05, 'white': 99.04871594325114, 'middle eastern': 0.3678845967266444, 'latino hispanic': 0.582316727809104}","{'angry': 2.049574553778045e-12, 'disgust': 1.8594777930715154e-21, 'fear': 3.1808539108135583e-13, 'happy': 99.9976575373207, 'sad': 9.514837402217971e-10, 'surprise': 2.427363521648836e-06, 'neutral': 0.0023414485926415863}",,
1,31,female,asian,happy,4.123105625617661,39.445
1,31,"{'male': 0.12838116381317377, 'female': 99.87162351608276}","{'asian': 93.30859144381233, 'indian': 0.5934692807328272, 'black': 0.03129289148165384, 'white': 2.1028367193243933, 'middle eastern': 0.1439176352794549, 'latino hispanic': 3.819897253507212}","{'angry': 0.000446381454821676, 'disgust': 2.820587763352478e-07, 'fear': 0.00045890833462181035, 'happy': 99.87769722938538, 'sad': 2.241602317099023e-05, 'surprise': 0.00876458507264033, 'neutral': 0.11260907631367445}",,
2,36,male,asian,happy,39.05124837953328,47.5
2,36,"{'male': 97.25872874259949, 'female': 2.741274982690811}","{'asian': 53.65278124809265, 'indian': 8.971190452575684, 'black': 2.4803606793284416, 'white': 5.272034183144569, 'middle eastern': 1.8788039684295654, 'latino hispanic': 27.744829654693604}","{'angry': 0.014526783481439709, 'disgust': 7.024123497406396e-05, 'fear': 0.0005434532664510273, 'happy': 99.32781453894464, 'sad': 0.004481591434983398, 'surprise': 3.4386496057371374e-05, 'neutral': 0.6525284068303351}",,
3,39,male,white,happy,6.0827625302982185,36.833333333333336
3,39,"{'male': 84.88672375679016, 'female': 15.11327177286148}","{'asian': 0.38243094459176064, 'indian': 0.4312391858547926, 'black': 0.027143044280819595, 'white': 78.74016761779785, 'middle eastern': 14.612218737602234, 'latino hispanic': 5.806807801127434}","{'angry': 0.013525487156584859, 'disgust': 3.5408087573074454e-07, 'fear': 0.012045969197060913, 'happy': 72.49212861061096, 'sad': 0.09067173232324421, 'surprise': 0.03025498299393803, 'neutral': 27.361372113227844}",,
4,27,female,latino hispanic,happy,70.178344238091,46.045350530476384
4,27,"{'male': 0.15315740602090955, 'female': 99.84684586524963}","{'asian': 17.167015373706818, 'indian': 7.890580594539642, 'black': 9.10862609744072, 'white': 17.82776266336441, 'middle eastern': 9.943528473377228, 'latino hispanic': 38.0624920129776}","{'angry': 1.6720429681349265e-12, 'disgust': 1.0865614216569412e-23, 'fear': 1.2446559501612492e-16, 'happy': 99.57025048555437, 'sad': 3.359594487042212e-10, 'surprise': 8.442493074914843e-06, 'neutral': 0.4297428554888282}",,
5,27,female,white,sad,54.0,41.8359375
5,27,"{'male': 0.0012247191989445128, 'female': 99.99877214431763}","{'asian': 0.8601811714470387, 'indian': 0.7947534322738647, 'black': 0.21230413112789392, 'white': 64.94323015213013, 'middle eastern': 11.981304734945297, 'latino hispanic': 21.208229660987854}","{'angry': 12.41227388381958, 'disgust': 0.03963556373491883, 'fear': 1.24406348913908, 'happy': 10.075324773788452, 'sad': 57.909613847732544, 'surprise': 0.0010570258382358588, 'neutral': 18.31803321838379}",,
6,35,male,white,sad,17.4928556845359,60.735619469026545
6,35,"{'male': 81.6307544708252, 'female': 18.369249999523163}","{'asian': 8.313799649477005, 'indian': 3.94924096763134, 'black': 1.7833936959505081, 'white': 48.56174290180206, 'middle eastern': 18.601739406585693, 'latino hispanic': 18.79008561372757}","{'angry': 5.4733884091717755e-08, 'disgust': 1.9086398382454385e-12, 'fear': 9.043395365893048e-07, 'happy': 0.19773542881011963, 'sad': 99.80196952819824, 'surprise': 2.2256164574743615e-15, 'neutral': 0.00029358920983213466}",,
7,31,female,white,neutral,7.280109889280519,51.534933333333335
7,31,"{'male': 0.00012770320836352766, 'female': 99.9998688697815}","{'asian': 0.00011457772871741875, 'indian': 0.001333388797670494, 'black': 6.071366349618133e-06, 'white': 91.8252820864488, 'middle eastern': 7.300907808596361, 'latino hispanic': 0.8723578935776886}","{'angry': 8.700694888830185, 'disgust': 0.03552996495272964, 'fear': 5.599828809499741, 'happy': 1.3600995764136314, 'sad': 35.12342572212219, 'surprise': 0.5419290158897638, 'neutral': 48.638492822647095}",,
8,30,female,white,fear,43.01162633521314,42.46875
8,30,"{'male': 0.002302391476405319, 'female': 99.99769926071167}","{'asian': 1.4444536670203605, 'indian': 1.124475669178287, 'black': 0.18735989091725458, 'white': 59.000967860106485, 'middle eastern': 12.137148572546414, 'latino hispanic': 26.105588542748862}","{'angry': 0.6689233705401421, 'disgust': 6.580292755131723e-07, 'fear': 73.39729070663452, 'happy': 0.33657418098300695, 'sad': 3.303719684481621, 'surprise': 0.00029422396892186953, 'neutral': 22.293196618556976}",,
9,31,male,white,sad,3.1622776601683795,34.61538461538461
9,31,"{'male': 94.89531517028809, 'female': 5.104684084653854}","{'asian': 0.0016963682355708443, 'indian': 0.05104634910821915, 'black': 0.0035225402825744823, 'white': 90.167236328125, 'middle eastern': 8.491642773151398, 'latino hispanic': 1.2848547659814358}","{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 8.529194155024586e-33, 'sad': 100.0, 'surprise': 0.0, 'neutral': 4.417466031877143e-26}",,
10,33,male,white,sad,60.82762530298219,60.000057332381616
10,33,"{'male': 94.7145164012909, 'female': 5.285486206412315}","{'asian': 0.02913562521774323, 'indian': 0.1484602894647592, 'black': 0.1844290986689388, 'white': 91.6356975815116, 'middle eastern': 5.961636064150099, 'latino hispanic': 2.0406431803490626}","{'angry': 2.0954758246519503e-12, 'disgust': 5.1653754187637425e-23, 'fear': 3.9112024730059147e-07, 'happy': 2.271799285150089e-12, 'sad': 99.99997615814209, 'surprise': 2.425408812922465e-23, 'neutral': 2.4585116875641688e-05}",,
11,31,female,asian,happy,15.231546211727817,79.4074074074074
11,31,"{'male': 17.60520488023758, 'female': 82.39480257034302}","{'asian': 99.37712550163269, 'indian': 0.3423575311899185, 'black': 0.0011254122000536881, 'white': 0.009767802112037316, 'middle eastern': 2.342616056694169e-05, 'latino hispanic': 0.2696002135053277}","{'angry': 0.09370218613184988, 'disgust': 9.939002509895545e-07, 'fear': 0.007205247675301507, 'happy': 99.73243474960327, 'sad': 0.001143058943853248, 'surprise': 0.002964442319353111, 'neutral': 0.16255256487056613}",,
12,37,female,white,neutral,14.0356688476182,81.45333333333333
12,37,"{'male': 0.011663183977361768, 'female': 99.98834133148193}","{'asian': 3.8972703081771995e-06, 'indian': 1.7560938386128153e-07, 'black': 9.592904319477282e-10, 'white': 99.99136924846539, 'middle eastern': 0.002229147783347018, 'latino hispanic': 0.006390054443220637}","{'angry': 4.001152515411377, 'disgust': 0.006858072447357699, 'fear': 6.7000411450862885, 'happy': 0.5100219044834375, 'sad': 20.218533277511597, 'surprise': 0.012023156887153164, 'neutral': 68.55137348175049}",,
13,36,male,white,sad,1.0,98.125
