Image_No,age,gender,race,center_dist,space
0,20-29,female,white,236.21176939348302,44.39048767089844
0,"{'0-2': 4.956328325533832e-05, '3-9': 0.03406140604056418, '10-19': 6.096438318490982, '20-29': 82.98923373222351, '30-39': 10.786183923482895, '40-49': 0.09338136296719313, '50-59': 0.0006526659035444027, '60-69': 7.988655426061086e-06, '70+': 1.7673446039978558e-07}","{'male': 0.020034705812577158, 'female': 99.97996687889099}","{'white': 99.22532439231873, 'black': 0.031102445791475475, 'latino hispanic': 0.6579126697033644, 'asian': 0.0011673186236293986, 'indian': 0.007492235454265028, 'middle eastern': 0.0769994396250695}",,
1,20-29,female,asian,4.123105625617661,39.445
1,"{'0-2': 6.246015260558124e-06, '3-9': 0.007731267396593466, '10-19': 3.672631084918976, '20-29': 94.81062889099121, '30-39': 1.504657231271267, '40-49': 0.004327634451328777, '50-59': 1.2917332981032814e-05, '60-69': 3.7564182875371444e-07, '70+': 4.743483730806908e-09}","{'male': 0.0005064528522780165, 'female': 99.99949932098389}","{'white': 2.9028985649347305, 'black': 0.0006103617124608718, 'latino hispanic': 0.9331284090876579, 'asian': 96.1004912853241, 'indian': 0.008845826232573017, 'middle eastern': 0.05401884554885328}",,
2,20-29,female,asian,39.05124837953328,47.5
2,"{'0-2': 0.0004565273229673039, '3-9': 0.055776251247152686, '10-19': 2.735676057636738, '20-29': 79.62232828140259, '30-39': 16.802379488945007, '40-49': 0.7565619889646769, '50-59': 0.0259932829067111, '60-69': 0.0008047453775361646, '70+': 1.4862240504953661e-05}","{'male': 0.023480042000301182, 'female': 99.97652173042297}","{'white': 16.002976894378662, 'black': 0.4003487527370453, 'latino hispanic': 9.54064279794693, 'asian': 72.09429144859314, 'indian': 0.3880294971168041, 'middle eastern': 1.5737080946564674}",,
3,20-29,female,white,6.0827625302982185,36.833333333333336
3,"{'0-2': 0.10275341337546706, '3-9': 3.7364978343248367, '10-19': 25.40600895881653, '20-29': 57.45391249656677, '30-39': 11.397667229175568, '40-49': 1.7989257350564003, '50-59': 0.08951642084866762, '60-69': 0.013094302266836166, '70+': 0.0016133590179379098}","{'male': 7.768415659666061, 'female': 92.23158359527588}","{'white': 79.35317754745483, 'black': 0.10476401075720787, 'latino hispanic': 7.123342156410217, 'asian': 0.18590794643387198, 'indian': 0.6036795675754547, 'middle eastern': 12.629136443138123}",,
4,20-29,female,black,70.178344238091,46.045350530476384
4,"{'0-2': 0.007820610335329548, '3-9': 7.075747102499008, '10-19': 30.622416734695435, '20-29': 59.57002639770508, '30-39': 2.6770206168293953, '40-49': 0.04587098665069789, '50-59': 0.0010481108802196104, '60-69': 4.4491869743978896e-05, '70+': 2.247961283785571e-06}","{'male': 2.369854412972927, 'female': 97.63014316558838}","{'white': 0.5312886089086533, 'black': 67.59863495826721, 'latino hispanic': 12.40016296505928, 'asian': 0.4534974694252014, 'indian': 18.611007928848267, 'middle eastern': 0.4054113756865263}",,
5,20-29,female,latino hispanic,54.0,41.8359375
