Image_No,age,gender,race,emotion,center_dist,space
0,31,female,white,happy,2.23606797749979,85.93530931004797
0,31,"{'male': 0.24939351715147495, 'female': 99.75060820579529}","{'asian': 0.9701717644929886, 'indian': 0.10006413795053959, 'black': 0.17344129737466574, 'white': 83.0264151096344, 'middle eastern': 2.513538673520088, 'latino hispanic': 13.216370344161987}","{'angry': 8.320825628516104e-06, 'disgust': 1.756321824086804e-09, 'fear': 0.005325305392034352, 'happy': 92.6475465297699, 'sad': 0.00012703102356681484, 'surprise': 4.445164278149605, 'neutral': 2.9018286615610123}",,
1,26,male,white,fear,1.0,43.65979381443299
1,26,"{'male': 94.28325295448303, 'female': 5.716752260923386}","{'asian': 0.05546187167055905, 'indian': 0.09002771112136543, 'black': 0.013258725812193006, 'white': 91.81582927703857, 'middle eastern': 5.945802852511406, 'latino hispanic': 2.0796209573745728}","{'angry': 3.730808482990912e-18, 'disgust': 0.0, 'fear': 100.0, 'happy': 5.244303437242956e-21, 'sad': 2.4930111090860647e-26, 'surprise': 8.59347133334589e-17, 'neutral': 3.0070277373667317e-13}",,
2,30,female,latino hispanic,happy,100.12492197250393,36.86491935483871
2,30,"{'male': 11.437339335680008, 'female': 88.56265544891357}","{'asian': 22.724431481889663, 'indian': 6.862443758540602, 'black': 4.132473588880728, 'white': 16.45364808483697, 'middle eastern': 7.341426741054861, 'latino hispanic': 42.4855759722681}","{'angry': 2.3437148055638346e-09, 'disgust': 2.436747579099369e-24, 'fear': 8.208218515146949e-13, 'happy': 99.99685287475586, 'sad': 8.088861069670272e-12, 'surprise': 1.0001049988161981e-07, 'neutral': 0.003149383337586187}",,
3,39,female,white,happy,119.64113005150028,33.739999999999995
3,39,"{'male': 0.0016582171156187542, 'female': 99.99834299087524}","{'asian': 0.1343099633231759, 'indian': 0.4108979366719723, 'black': 0.041321388562209904, 'white': 70.36735415458679, 'middle eastern': 11.210604757070541, 'latino hispanic': 17.83551424741745}","{'angry': 3.896892811423077e-13, 'disgust': 5.698129672876358e-22, 'fear': 3.997544730693681e-14, 'happy': 99.96449947357178, 'sad': 1.2862478009773026e-10, 'surprise': 2.4949469157320436e-07, 'neutral': 0.035497889621183276}",,
4,30,male,white,happy,14.212670403551897,74.25694444444444
4,30,"{'male': 99.98856782913208, 'female': 0.011436587374191731}","{'asian': 0.05994744490518838, 'indian': 0.5237712371361993, 'black': 0.022670061922058428, 'white': 63.01159638235548, 'middle eastern': 22.91997360706172, 'latino hispanic': 13.462042120816834}","{'angry': 3.0597522027164814e-05, 'disgust': 1.94763629224326e-05, 'fear': 0.06228844868019223, 'happy': 96.82759046554565, 'sad': 0.044799334136769176, 'surprise': 0.00700243326718919, 'neutral': 3.058268502354622}",,
