Image_No,age,gender,race,center_dist,space
0,20-29,female,white,2.23606797749979,85.93530931004797
0,"{'0-2': 2.001974479526325e-05, '3-9': 0.006097150617279112, '10-19': 2.737431786954403, '20-29': 69.5072889328003, '30-39': 27.044376730918884, '40-49': 0.698850117623806, '50-59': 0.005832714305142872, '60-69': 9.9171256806585e-05, '70+': 2.1934393856781753e-06}","{'male': 0.1849635737016797, 'female': 99.81503486633301}","{'white': 62.357884645462036, 'black': 0.21279342472553253, 'latino hispanic': 16.41298234462738, 'asian': 0.020675797713920474, 'indian': 0.1724920468404889, 'middle eastern': 20.823173224925995}",,
1,30-39,male,white,1.0,43.65979381443299
1,"{'0-2': 0.11359527707099915, '3-9': 1.0918257758021355, '10-19': 5.430317297577858, '20-29': 28.63166332244873, '30-39': 29.04462218284607, '40-49': 21.874718368053436, '50-59': 10.141506791114807, '60-69': 2.7157630771398544, '70+': 0.9559814818203449}","{'male': 81.75044655799866, 'female': 18.249553442001343}","{'white': 29.221051931381226, 'black': 19.07762885093689, 'latino hispanic': 12.551747262477875, 'asian': 4.4867753982543945, 'indian': 5.607135221362114, 'middle eastern': 29.055657982826233}",,
2,20-29,female,latino hispanic,100.12492197250393,36.86491935483871
2,"{'0-2': 4.002522757673432e-06, '3-9': 0.004896119571640156, '10-19': 4.396761208772659, '20-29': 65.29791355133057, '30-39': 28.90338897705078, '40-49': 1.3842687010765076, '50-59': 0.012591251288540661, '60-69': 0.0001793093701962789, '70+': 3.25524744937411e-06}","{'male': 0.006539301102748141, 'female': 99.99346137046814}","{'white': 12.690822780132294, 'black': 1.7603185027837753, 'latino hispanic': 78.67323160171509, 'asian': 4.974347352981567, 'indian': 1.5153700485825539, 'middle eastern': 0.3858985612168908}",,
3,20-29,female,white,119.64113005150028,33.739999999999995
3,"{'0-2': 5.984681905601974e-06, '3-9': 0.0013424666576611344, '10-19': 1.5642642974853516, '20-29': 79.70911264419556, '30-39': 18.3371439576149, '40-49': 0.3836179617792368, '50-59': 0.004463404548005201, '60-69': 5.0507924242992885e-05, '70+': 7.662890766368946e-07}","{'male': 0.004072058800375089, 'female': 99.99592900276184}","{'white': 94.6675181388855, 'black': 0.0155587651534006, 'latino hispanic': 2.329014614224434, 'asian': 0.0004469767191039864, 'indian': 0.1042447634972632, 'middle eastern': 2.8832275420427322}",,
4,30-39,male,white,14.212670403551897,74.25694444444444
4,"{'0-2': 8.458858360427257e-05, '3-9': 0.000852715311339125, '10-19': 0.10042267385870218, '20-29': 27.769488096237183, '30-39': 67.33115315437317, '40-49': 4.764550179243088, '50-59': 0.032900538644753397, '60-69': 0.0005357440841180505, '70+': 7.614207220285607e-06}","{'male': 99.99688863754272, 'female': 0.0031115505407797173}","{'white': 64.12025094032288, 'black': 0.09968477534130216, 'latino hispanic': 25.621268153190613, 'asian': 0.03802900901064277, 'indian': 1.8448447808623314, 'middle eastern': 8.275916427373886}",,
5,20-29,male,white,11.6619037896906,89.02089552238806
5,"{'0-2': 5.8260849300495465e-05, '3-9': 0.007928119885036722, '10-19': 1.7500637099146843, '20-29': 81.89333081245422, '30-39': 16.108790040016174, '40-49': 0.23915404453873634, '50-59': 0.0006722039415762993, '60-69': 6.61346746255731e-06, '70+': 1.5539862729951892e-07}","{'male': 99.99784827232361, 'female': 0.002148219027731102}","{'white': 99.94451403617859, 'black': 1.0189312149577745e-05, 'latino hispanic': 0.008185145270545036, 'asian': 4.875028025708161e-05, 'indian': 0.00016860519735928392, 'middle eastern': 0.04706477920990437}",,
6,40-49,female,latino hispanic,17.0,65.30973451327434
6,"{'0-2': 0.34268770832568407, '3-9': 1.853627897799015, '10-19': 4.5748021453619, '20-29': 12.226299196481705, '30-39': 24.846181273460388, '40-49': 25.357410311698914, '50-59': 11.463671922683716, '60-69': 12.586301565170288, '70+': 6.749015301465988}","{'male': 41.46735966205597, 'female': 58.53264331817627}","{'white': 28.47387194633484, 'black': 0.8661338128149509, 'latino hispanic': 36.508673429489136, 'asian': 8.506891876459122, 'indian': 1.4185389503836632, 'middle eastern': 24.22589808702469}",,
7,20-29,male,white,258.04844506410035,57.283420138888886
7,"{'0-2': 0.0011870695743709803, '3-9': 0.1307629863731563, '10-19': 4.92016039788723, '20-29': 67.22469925880432, '30-39': 26.27483904361725, '40-49': 1.4326166361570358, '50-59': 0.015473841631319374, '60-69': 0.00024609785214124713, '70+': 5.7882843407242035e-06}","{'male': 99.99040365219116, 'female': 0.009592487913323566}","{'white': 98.38847517967224, 'black': 0.0003548256245267112, 'latino hispanic': 0.704864552244544, 'asian': 0.003956993896281347, 'indian': 0.0165227975230664, 'middle eastern': 0.8858337067067623}",,
8,10-19,female,white,1.0,98.67111111111112
8,"{'0-2': 0.0002997369620061363, '3-9': 1.8197735771536827, '10-19': 76.11847519874573, '20-29': 21.641048789024353, '30-39': 0.41499240323901176, '40-49': 0.0053756135457661, '50-59': 4.00376933384905e-05, '60-69': 4.871861847277614e-06, '70+': 6.549217612672464e-07}","{'male': 4.352032020688057, 'female': 95.64796686172485}","{'white': 91.17665886878967, 'black': 0.031226236023940146, 'latino hispanic': 2.381175570189953, 'asian': 0.9680755436420441, 'indian': 0.03258974174968898, 'middle eastern': 5.410272255539894}",,
9,30-39,female,white,43.01162633521314,42.46875
9,"{'0-2': 0.0003811279839283088, '3-9': 0.01655973173910752, '10-19': 0.8683962747454643, '20-29': 35.06880700588226, '30-39': 50.456905364990234, '40-49': 12.240397930145264, '50-59': 1.30125405266881, '60-69': 0.0466980884084478, '70+': 0.0005954477273917291}","{'male': 0.05581189179793, 'female': 99.9441921710968}","{'white': 67.98549890518188, 'black': 0.4274497739970684, 'latino hispanic': 22.094132006168365, 'asian': 2.1808093413710594, 'indian': 0.5482845474034548, 'middle eastern': 6.763821840286255}",,
10,30-39,male,white,22.472205054244228,56.777777777777786
10,"{'0-2': 2.7628593102235754e-05, '3-9': 0.00045690048864344135, '10-19': 0.30586880166083574, '20-29': 45.11769413948059, '30-39': 46.89147174358368, '40-49': 7.246264070272446, '50-59': 0.430619390681386, '60-69': 0.0074444695201236755, '70+': 0.00015122950571822003}","{'male': 99.99898076057434, 'female': 0.001020021863951115}","{'white': 98.66050481796265, 'black': 0.005899953976040706, 'latino hispanic': 0.14209023211151361, 'asian': 0.0066199820139445364, 'indian': 0.008357733895536512, 'middle eastern': 1.1765263974666595}",,
11,20-29,female,white,3.1622776601683795,81.2532411408816
11,"{'0-2': 0.0048122863518074155, '3-9': 0.03661930386442691, '10-19': 1.7698781564831734, '20-29': 46.70116901397705, '30-39': 43.02409291267395, '40-49': 6.811707466840744, '50-59': 1.2762709520757198, '60-69': 0.34352438524365425, '70+': 0.03193482116330415}","{'male': 16.070429980754852, 'female': 83.92956852912903}","{'white': 58.2366406917572, 'black': 1.6382521018385887, 'latino hispanic': 4.19795848429203, 'asian': 0.44124932028353214, 'indian': 0.4254365339875221, 'middle eastern': 35.06046235561371}",,
12,20-29,male,white,9.899494936611665,58.971088435374156
12,"{'0-2': 0.507704820483923, '3-9': 11.063262820243835, '10-19': 11.868564784526825, '20-29': 33.185672760009766, '30-39': 30.105242133140564, '40-49': 10.137417167425156, '50-59': 2.1523363888263702, '60-69': 0.7190719246864319, '70+': 0.2607263159006834}","{'male': 97.00262546539307, 'female': 2.9973722994327545}","{'white': 34.81888473033905, 'black': 5.349639058113098, 'latino hispanic': 32.17134773731232, 'asian': 13.28819990158081, 'indian': 0.9901695884764194, 'middle eastern': 13.381761312484741}",,
13,20-29,female,white,13.892443989449806,81.98814814814814
13,"{'0-2': 8.00722830263112e-06, '3-9': 0.003234816904296167, '10-19': 2.1013790741562843, '20-29': 82.28814601898193, '30-39': 15.306800603866577, '40-49': 0.29699699953198433, '50-59': 0.003378186738700606, '60-69': 5.9593634205157286e-05, '70+': 9.022946834136292e-07}","{'male': 0.021240398928057402, 'female': 99.97875690460205}","{'white': 98.2303261756897, 'black': 0.005013387999497354, 'latino hispanic': 0.8206848986446857, 'asian': 0.006990329711697996, 'indian': 0.008934488141676411, 'middle eastern': 0.9280596859753132}",,
14,20-29,male,latino hispanic,7.280109889280519,33.387888707037646
14,"{'0-2': 0.00011728565141311265, '3-9': 0.007231250492623076, '10-19': 4.237034916877747, '20-29': 64.06540274620056, '30-39': 30.74837327003479, '40-49': 0.9330436587333679, '50-59': 0.00852341836434789, '60-69': 0.0002634099701026571, '70+': 7.538725554923076e-06}","{'male': 99.14071559906006, 'female': 0.8592852391302586}","{'white': 2.203596942126751, 'black': 22.74734377861023, 'latino hispanic': 53.04985046386719, 'asian': 0.9016308933496475, 'indian': 9.980805218219757, 'middle eastern': 11.11677885055542}",,
15,20-29,male,middle eastern,10.77032961426901,28.5913204919935
15,"{'0-2': 0.4234388470649719, '3-9': 11.694560945034027, '10-19': 17.401522397994995, '20-29': 38.42701315879822, '30-39': 23.625944554805756, '40-49': 7.03541561961174, '50-59': 0.9638834744691849, '60-69': 0.3495611250400543, '70+': 0.07865764200687408}","{'male': 93.87681484222412, 'female': 6.12318329513073}","{'white': 15.389226377010345, 'black': 6.752565503120422, 'latino hispanic': 28.070619702339172, 'asian': 13.797225058078766, 'indian': 1.9235633313655853, 'middle eastern': 34.06679928302765}",,
16,20-29,female,white,9.433981132056603,39.20980176211454
16,"{'0-2': 0.007221017585834488, '3-9': 0.46880836598575115, '10-19': 12.130089104175568, '20-29': 66.17193222045898, '30-39': 19.56481784582138, '40-49': 1.5237800776958466, '50-59': 0.11602170998230577, '60-69': 0.016019289614632726, '70+': 0.001316457837674534}","{'male': 17.62108951807022, 'female': 82.3789119720459}","{'white': 61.52193546295166, 'black': 0.10740916477516294, 'latino hispanic': 13.721781969070435, 'asian': 1.0902482084929943, 'indian': 0.2623407170176506, 'middle eastern': 23.296290636062622}",,
17,20-29,female,middle eastern,6.4031242374328485,46.888586956521735
17,"{'0-2': 0.002633991425682325, '3-9': 0.20472391042858362, '10-19': 7.943665236234665, '20-29': 73.0110764503479, '30-39': 17.60615110397339, '40-49': 1.163534913212061, '50-59': 0.06475997506640851, '60-69': 0.003347038000356406, '70+': 0.00010801254575198982}","{'male': 13.221396505832672, 'female': 86.77860498428345}","{'white': 12.973371148109436, 'black': 0.20392071455717087, 'latino hispanic': 9.27622988820076, 'asian': 0.0073883740697056055, 'indian': 0.8313778787851334, 'middle eastern': 76.70771479606628}",,
18,30-39,female,white,25.709920264364882,78.94444444444444
18,"{'0-2': 0.006713505717925727, '3-9': 0.04361326864454895, '10-19': 0.4319331608712673, '20-29': 22.900553047657013, '30-39': 36.040353775024414, '40-49': 32.807156443595886, '50-59': 5.229918286204338, '60-69': 2.027140185236931, '70+': 0.5126242525875568}","{'male': 19.33199316263199, 'female': 80.66800832748413}","{'white': 52.90253162384033, 'black': 2.655329555273056, 'latino hispanic': 25.07306933403015, 'asian': 14.615032076835632, 'indian': 1.8522849306464195, 'middle eastern': 2.9017530381679535}",,
19,20-29,female,white,135.36986370680884,30.11111111111111
19,"{'0-2': 2.2304973867903755e-05, '3-9': 0.015742381219752133, '10-19': 10.247927904129028, '20-29': 79.90512251853943, '30-39': 9.635531902313232, '40-49': 0.19363273167982697, '50-59': 0.0019585775589803234, '60-69': 5.969565108898678e-05, '70+': 1.3123506725776224e-06}","{'male': 0.08080395637080073, 'female': 99.91919994354248}","{'white': 87.15726137161255, 'black': 0.015102648467291147, 'latino hispanic': 4.310845956206322, 'asian': 0.08975162054412067, 'indian': 0.054465391440317035, 'middle eastern': 8.372578024864197}",,
20,20-29,female,white,7.0710678118654755,90.48958333333333
20,"{'0-2': 0.006194347224663943, '3-9': 0.6536985281854868, '10-19': 25.083577632904053, '20-29': 42.08405017852783, '30-39': 17.876194417476654, '40-49': 11.578560620546341, '50-59': 2.3324402049183846, '60-69': 0.3712182166054845, '70+': 0.014061589899938554}","{'male': 46.01958990097046, 'female': 53.98041009902954}","{'white': 68.89767646789551, 'black': 0.0006568131993844872, 'latino hispanic': 0.23128348402678967, 'asian': 1.2070189230144024, 'indian': 0.036983261816203594, 'middle eastern': 29.626387357711792}",,
21,20-29,female,asian,36.013886210738214,35.64583333333333
21,"{'0-2': 0.004843245915253647, '3-9': 1.6367049887776375, '10-19': 13.137984275817871, '20-29': 64.59906101226807, '30-39': 18.12799721956253, '40-49': 2.302836813032627, '50-59': 0.17420751973986626, '60-69': 0.01523734099464491, '70+': 0.001126289316744078}","{'male': 0.48617408610880375, 'female': 99.51382279396057}","{'white': 2.6996878907084465, 'black': 0.009888713248074055, 'latino hispanic': 2.756727486848831, 'asian': 94.22382712364197, 'indian': 0.06306304130703211, 'middle eastern': 0.2468020422384143}",,
22,20-29,female,white,28.284271247461902,77.61481481481482
22,"{'0-2': 1.8397347645304762e-06, '3-9': 0.003198358172085136, '10-19': 4.471961781382561, '20-29': 83.06781053543091, '30-39': 12.190141528844833, '40-49': 0.2658951794728637, '50-59': 0.0009803986358747352, '60-69': 1.0603421429777882e-05, '70+': 1.8085685171698174e-07}","{'male': 0.009854024392552674, 'female': 99.99014139175415}","{'white': 96.35487198829651, 'black': 0.0009331371984444559, 'latino hispanic': 1.7586087808012962, 'asian': 0.0020969942852389067, 'indian': 0.008650632662465796, 'middle eastern': 1.8748395144939423}",,
23,20-29,female,white,3.1622776601683795,62.626052171014244
