Image_No,age,gender,race,emotion,center_dist,space
0,25,male,middle eastern,happy,9.219544457292887,55.8288770053476
0,25,"{'male': 99.99415874481201, 'female': 0.005841814345330931}","{'asian': 0.15176048036664724, 'indian': 4.642438516020775, 'black': 0.16469754045829177, 'white': 10.041220486164093, 'middle eastern': 74.19862151145935, 'latino hispanic': 10.801267623901367}","{'angry': 0.00014355474604599294, 'disgust': 1.6687011765064864e-17, 'fear': 1.1071640999837928e-09, 'happy': 99.98558759689331, 'sad': 3.183509988957667e-06, 'surprise': 5.262623670176936e-10, 'neutral': 0.014261878095567226}",,
1,30,female,white,fear,43.01162633521314,42.46875
1,30,"{'male': 0.002651364411576651, 'female': 99.99735355377197}","{'asian': 1.477479562163353, 'indian': 1.1541837826371193, 'black': 0.1991412602365017, 'white': 58.41831564903259, 'middle eastern': 12.11731731891632, 'latino hispanic': 26.6335666179657}","{'angry': 0.6566435712851797, 'disgust': 6.307857927877372e-07, 'fear': 71.45409924339064, 'happy': 0.32283978879126446, 'sad': 3.321424103209483, 'surprise': 0.0002798789531113524, 'neutral': 24.244704932605632}",,
2,32,female,white,happy,5.8309518948453,40.45902777777778
2,32,"{'male': 0.0010923121408268344, 'female': 99.99890327453613}","{'asian': 0.03219057689420879, 'indian': 0.030266621615737677, 'black': 0.001689492455625441, 'white': 86.35559678077698, 'middle eastern': 7.163447886705399, 'latino hispanic': 6.416806578636169}","{'angry': 9.119201493472009e-08, 'disgust': 3.4749082854170977e-10, 'fear': 0.00012150023436573916, 'happy': 99.70833061387125, 'sad': 3.270651997668619e-05, 'surprise': 1.3360405490027492e-05, 'neutral': 0.2915065909330005}",,
3,29,male,white,happy,150.08331019803637,39.707317073170735
3,29,"{'male': 82.10252523422241, 'female': 17.89747327566147}","{'asian': 1.5248591722638594e-06, 'indian': 4.648059004352945e-06, 'black': 5.237982825256893e-08, 'white': 99.82263445854187, 'middle eastern': 0.07298113778233528, 'latino hispanic': 0.1043855445459485}","{'angry': 0.00043858381104655564, 'disgust': 7.564953108385453e-07, 'fear': 0.006734983617207035, 'happy': 99.35300946235657, 'sad': 0.006517070869449526, 'surprise': 0.042758689960464835, 'neutral': 0.5905385594815016}",,
4,30,male,white,neutral,24.186773244895647,28.386243386243386
4,30,"{'male': 83.94079208374023, 'female': 16.059207916259766}","{'asian': 16.59823704936946, 'indian': 6.497047870999321, 'black': 0.9547299912250031, 'white': 31.98352241319685, 'middle eastern': 27.586540888135538, 'latino hispanic': 16.37992607115818}","{'angry': 0.4012973979115486, 'disgust': 2.4374449941050313e-10, 'fear': 0.34872787073254585, 'happy': 4.9730215323506854e-05, 'sad': 0.8675217628479004, 'surprise': 7.167631110860384e-06, 'neutral': 98.38240146636963}",,
5,28,male,white,neutral,30.083217912982647,28.884512447608945
