Image_No,age,gender,race,center_dist,space
0,20-29,male,white,9.219544457292887,55.8288770053476
0,"{'0-2': 1.0313161169506202e-05, '3-9': 0.000565419259146438, '10-19': 0.7390874903649092, '20-29': 51.82919502258301, '30-39': 44.85881328582764, '40-49': 2.5394149124622345, '50-59': 0.03231120354030281, '60-69': 0.0006001646852382692, '70+': 1.1077551675953146e-05}","{'male': 98.75717163085938, 'female': 1.242824736982584}","{'white': 69.12074089050293, 'black': 0.03109037352260202, 'latino hispanic': 9.129027277231216, 'asian': 0.030124085606075823, 'indian': 0.031129634589888155, 'middle eastern': 21.65789157152176}",,
1,30-39,female,white,43.01162633521314,42.46875
1,"{'0-2': 0.0003657989509520121, '3-9': 0.0151280895806849, '10-19': 0.829349085688591, '20-29': 35.530391335487366, '30-39': 50.833553075790405, '40-49': 11.525259912014008, '50-59': 1.2179025448858738, '60-69': 0.04742821038234979, '70+': 0.0006254063464439241}","{'male': 0.05767808761447668, 'female': 99.94232058525085}","{'white': 65.61874151229858, 'black': 0.5853818729519844, 'latino hispanic': 22.676290571689606, 'asian': 2.8104079887270927, 'indian': 0.5935151595622301, 'middle eastern': 7.715662568807602}",,
2,20-29,female,white,5.8309518948453,40.45902777777778
2,"{'0-2': 3.1069184558418783e-06, '3-9': 0.0011824290595541243, '10-19': 1.5663797035813332, '20-29': 85.41339635848999, '30-39': 12.871259450912476, '40-49': 0.1461057341657579, '50-59': 0.0016290083294734359, '60-69': 4.0627978137308673e-05, '70+': 7.187926254204058e-07}","{'male': 0.06572750862687826, 'female': 99.93427395820618}","{'white': 95.05597352981567, 'black': 0.002262752241222188, 'latino hispanic': 0.11212374083697796, 'asian': 0.0007988655852386728, 'indian': 0.0019158864233759232, 'middle eastern': 4.826926812529564}",,
3,30-39,female,white,150.08331019803637,39.707317073170735
3,"{'0-2': 1.1121550613779618e-05, '3-9': 0.0014802581063122489, '10-19': 1.0281434282660484, '20-29': 44.82600688934326, '30-39': 48.08627665042877, '40-49': 5.706707015633583, '50-59': 0.34318657126277685, '60-69': 0.008080605766735971, '70+': 0.00010917060535575729}","{'male': 0.5380495917052031, 'female': 99.46194887161255}","{'white': 63.94006013870239, 'black': 0.010975329496432096, 'latino hispanic': 2.7634073048830032, 'asian': 0.001366969445371069, 'indian': 0.0567591458093375, 'middle eastern': 33.22743475437164}",,
4,20-29,female,white,24.186773244895647,28.386243386243386
4,"{'0-2': 0.009915798000292853, '3-9': 1.4367304742336273, '10-19': 19.752684235572815, '20-29': 53.701359033584595, '30-39': 18.93588751554489, '40-49': 4.901982471346855, '50-59': 0.992637500166893, '60-69': 0.24076614063233137, '70+': 0.02803638344630599}","{'male': 24.403102695941925, 'female': 75.5968987941742}","{'white': 88.69799971580505, 'black': 0.166897673625499, 'latino hispanic': 1.3599705882370472, 'asian': 0.13524630339816213, 'indian': 1.021924614906311, 'middle eastern': 8.617959916591644}",,
