Image_No,age,gender,race,emotion,center_dist,space
0,31,male,white,neutral,261.0153252205701,46.727943420410156
0,31,"{'male': 99.98155236244202, 'female': 0.018452046788297594}","{'asian': 5.57147458833759, 'indian': 8.428688832677741, 'black': 3.4577894559157545, 'white': 32.09680532255109, 'middle eastern': 24.509853183048584, 'latino hispanic': 25.935381539418515}","{'angry': 0.037258794979075194, 'disgust': 8.590852698735735e-09, 'fear': 0.0020049844690244534, 'happy': 0.7263900311869346, 'sad': 0.46511175154307466, 'surprise': 0.0005839156742376916, 'neutral': 98.76864567176752}",,
1,33,female,white,happy,225.48835890129672,49.05204772949219
1,33,"{'male': 0.04275472601875663, 'female': 99.95724558830261}","{'asian': 0.4896035883575678, 'indian': 0.5651402752846479, 'black': 0.08506428566761315, 'white': 68.10999512672424, 'middle eastern': 10.487251728773117, 'latino hispanic': 20.26294320821762}","{'angry': 1.5084896176631446e-05, 'disgust': 3.9375846333511433e-10, 'fear': 0.002276563645864371, 'happy': 99.55340623855591, 'sad': 0.0024532208044547588, 'surprise': 5.3078383643878624e-05, 'neutral': 0.4418009426444769}",,
2,36,male,white,neutral,203.7964670940102,57.852935791015625
2,36,"{'male': 99.9984622001648, 'female': 0.00153604632942006}","{'asian': 0.0005389212995567016, 'indian': 0.003592001881229803, 'black': 4.226547186582135e-05, 'white': 93.94416772986457, 'middle eastern': 2.9169391716682416, 'latino hispanic': 3.13472170440684}","{'angry': 10.19044728222175, 'disgust': 2.6958675122626784e-05, 'fear': 0.04131913838854512, 'happy': 0.5019339566340421, 'sad': 6.792042064192418, 'surprise': 2.3866074629119855e-05, 'neutral': 82.47420683349412}",,
3,31,female,white,sad,113.86395390991831,74.56769943237305
3,31,"{'male': 0.001207252989843255, 'female': 99.99879598617554}","{'asian': 0.005513821452041157, 'indian': 0.007113700121408328, 'black': 0.00021619705421471735, 'white': 93.35537552833557, 'middle eastern': 3.1611740589141846, 'latino hispanic': 3.4706085920333862}","{'angry': 0.12300621019676328, 'disgust': 0.0009312681868323125, 'fear': 10.691405087709427, 'happy': 1.384895946830511, 'sad': 74.72286224365234, 'surprise': 0.04202004347462207, 'neutral': 13.0348801612854}",,
4,24,male,white,sad,226.07299706068395,53.09343338012695
4,24,"{'male': 99.99988079071045, 'female': 0.00012387907872835058}","{'asian': 0.013104682929068532, 'indian': 0.2960201529276462, 'black': 0.005441588979574567, 'white': 53.62347088000005, 'middle eastern': 35.95014726818486, 'latino hispanic': 10.111816085089211}","{'angry': 2.6865094900131226, 'disgust': 0.07718802662566304, 'fear': 43.84426176548004, 'happy': 0.00040683921724848915, 'sad': 51.42182111740112, 'surprise': 0.011185058974660933, 'neutral': 1.958627998828888}",,
5,32,female,black,happy,231.41737186304752,50.07190704345703
5,32,"{'male': 0.11819706996902823, 'female': 99.88179802894592}","{'asian': 1.8352860564618823e-06, 'indian': 3.0584676125045007e-06, 'black': 100.0, 'white': 5.091342386749631e-11, 'middle eastern': 1.5709023708579406e-10, 'latino hispanic': 1.260232540545303e-06}","{'angry': 1.6611694658719145e-10, 'disgust': 2.3746168285314917e-19, 'fear': 4.138697847974604e-13, 'happy': 99.99138116836548, 'sad': 2.311777713703833e-08, 'surprise': 4.975215617264439e-06, 'neutral': 0.008616564446128905}",,
6,34,female,latino hispanic,neutral,155.3319027115808,64.82276916503906
6,34,"{'male': 0.42901430279016495, 'female': 99.57098960876465}","{'asian': 27.99864113330841, 'indian': 22.632110118865967, 'black': 5.83437979221344, 'white': 2.8525982052087784, 'middle eastern': 1.4340218156576157, 'latino hispanic': 39.24825191497803}","{'angry': 0.22462403867393732, 'disgust': 4.6211727067202446e-05, 'fear': 0.2902417443692684, 'happy': 0.07590650347992778, 'sad': 5.813964083790779, 'surprise': 0.0011496264050947502, 'neutral': 93.5940682888031}",,
7,39,male,white,sad,223.45021816950637,49.786949157714844
7,39,"{'male': 99.99107122421265, 'female': 0.008933732897276059}","{'asian': 0.08182252546459588, 'indian': 0.18494331681763035, 'black': 0.024367615694205653, 'white': 80.26113392479026, 'middle eastern': 7.365955106374925, 'latino hispanic': 12.081781004773438}","{'angry': 0.21883520670743029, 'disgust': 0.006736652395823741, 'fear': 46.466651348272045, 'happy': 0.028676666515233606, 'sad': 52.64544204744351, 'surprise': 0.0059746704133031014, 'neutral': 0.6276885887347811}",,
8,31,male,white,sad,224.80213522117623,37.99552917480469
