Image_No,age,gender,race,center_dist,space
0,20-29,male,latino hispanic,261.0153252205701,46.727943420410156
0,"{'0-2': 8.216606950384175e-07, '3-9': 2.1770573255253112e-05, '10-19': 0.1536015304736793, '20-29': 74.0091621875763, '30-39': 25.686833262443542, '40-49': 0.15018468257039785, '50-59': 0.000192492370842956, '60-69': 2.0845178028139344e-06, '70+': 3.943858017940727e-08}","{'male': 99.99987483024597, 'female': 0.00012308764780755155}","{'white': 3.3399544656276703, 'black': 35.9391987323761, 'latino hispanic': 43.23286712169647, 'asian': 0.012410369527060539, 'indian': 7.221367210149765, 'middle eastern': 10.254203528165817}",,
1,20-29,female,white,225.48835890129672,49.05204772949219
1,"{'0-2': 1.4041310691936815e-05, '3-9': 0.08501708507537842, '10-19': 22.85042554140091, '20-29': 76.15442276000977, '30-39': 0.9087833575904369, '40-49': 0.001326107212662464, '50-59': 2.445201729983637e-06, '60-69': 4.4402176380131664e-08, '70+': 9.696190031438512e-10}","{'male': 0.007202649430837482, 'female': 99.99279975891113}","{'white': 42.081084847450256, 'black': 0.8598556742072105, 'latino hispanic': 33.483779430389404, 'asian': 0.06016605184413493, 'indian': 1.9044028595089912, 'middle eastern': 21.610714495182037}",,
2,20-29,male,white,203.7964670940102,57.852935791015625
2,"{'0-2': 4.939519904212375e-07, '3-9': 1.6309776640355267e-05, '10-19': 0.023802251962479204, '20-29': 56.577181816101074, '30-39': 43.08534264564514, '40-49': 0.31339710112661123, '50-59': 0.00025754579837666824, '60-69': 2.698035039827573e-06, '70+': 3.878957710590214e-08}","{'male': 99.99967217445374, 'female': 0.0003268550926804892}","{'white': 92.8523063659668, 'black': 0.003126867886749096, 'latino hispanic': 3.4452836960554123, 'asian': 0.006035963451722637, 'indian': 0.11173092061653733, 'middle eastern': 3.581511974334717}",,
3,20-29,female,white,113.86395390991831,74.56769943237305
3,"{'0-2': 1.444184931642667e-05, '3-9': 0.11130195343866944, '10-19': 30.735233426094055, '20-29': 68.64064931869507, '30-39': 0.5123368464410305, '40-49': 0.0004648796220863005, '50-59': 3.294285066957059e-07, '60-69': 7.395682677380222e-09, '70+': 1.6531034353894913e-10}","{'male': 0.00936708165681921, 'female': 99.99063014984131}","{'white': 53.274738788604736, 'black': 0.03744908899534494, 'latino hispanic': 41.55212640762329, 'asian': 0.37143982481211424, 'indian': 1.049907598644495, 'middle eastern': 3.7143297493457794}",,
4,20-29,male,white,226.07299706068395,53.09343338012695
4,"{'0-2': 2.4131875875355036e-05, '3-9': 0.0003343478283568402, '10-19': 0.09184360969811678, '20-29': 51.32848620414734, '30-39': 47.8959321975708, '40-49': 0.6818408146500587, '50-59': 0.001523735591035802, '60-69': 1.580395831979331e-05, '70+': 2.7242283984207916e-07}","{'male': 99.98875260353088, 'female': 0.011242637265240774}","{'white': 75.9911596775055, 'black': 0.01999658707063645, 'latino hispanic': 6.799469888210297, 'asian': 0.005909224273636937, 'indian': 0.20329274702817202, 'middle eastern': 16.9801726937294}",,
