Image_No,age,gender,race,emotion,center_dist,space
0,45,male,latino hispanic,neutral,20.615528128088304,93.54114532470703
0,45,"{'male': 99.99997615814209, 'female': 2.8114277483837213e-05}","{'asian': 2.791982516646385, 'indian': 13.63353580236435, 'black': 2.8439002111554146, 'white': 15.814019739627838, 'middle eastern': 21.18089199066162, 'latino hispanic': 43.735674023628235}","{'angry': 1.4359756372869015, 'disgust': 3.2648461711914933e-06, 'fear': 0.049047713400796056, 'happy': 0.06124851061031222, 'sad': 2.6127824559807777, 'surprise': 0.002352281444473192, 'neutral': 95.83858847618103}",,
1,34,female,white,happy,30.016662039607265,86.09781265258789
1,34,"{'male': 0.28063366189599037, 'female': 99.71936345100403}","{'asian': 0.2517774851189545, 'indian': 1.0786067406002724, 'black': 0.04974302433762099, 'white': 54.00649035015645, 'middle eastern': 19.884113662488083, 'latino hispanic': 24.729269726828917}","{'angry': 0.010040753841167316, 'disgust': 7.079842134771752e-05, 'fear': 0.19592742901295424, 'happy': 89.05887007713318, 'sad': 2.0402606576681137, 'surprise': 0.47688232734799385, 'neutral': 8.21794643998146}",,
2,33,male,white,neutral,20.0,94.2850112915039
2,33,"{'male': 99.99979734420776, 'female': 0.0002029040615525446}","{'asian': 0.005274537397781387, 'indian': 0.044495402835309505, 'black': 0.0013619162928080186, 'white': 86.16003394126892, 'middle eastern': 6.418395787477493, 'latino hispanic': 7.370438426733017}","{'angry': 1.3520817272365093, 'disgust': 1.3131036188940293e-09, 'fear': 0.012544020137283951, 'happy': 5.906829869672947e-05, 'sad': 13.090243935585022, 'surprise': 1.6548662884474652e-06, 'neutral': 85.54507493972778}",,
3,25,male,black,neutral,66.70832032063167,48.72303009033203
3,25,"{'male': 99.530029296875, 'female': 0.46996744349598885}","{'asian': 6.638634780786745e-09, 'indian': 1.4575679552208953e-07, 'black': 100.0, 'white': 1.1818357639639503e-12, 'middle eastern': 5.17433623346223e-13, 'latino hispanic': 1.8219191433299642e-08}","{'angry': 0.39380392991006374, 'disgust': 2.3228577047951227e-09, 'fear': 0.010791127715492621, 'happy': 0.0003420655730224098, 'sad': 6.526949256658554, 'surprise': 5.071635889031256e-08, 'neutral': 93.06811690330505}",,
4,27,male,black,neutral,27.730849247724095,77.97117233276367
4,27,"{'male': 99.99264478683472, 'female': 0.00735627836547792}","{'asian': 2.081944927567747e-06, 'indian': 2.8671456675510854e-05, 'black': 99.99996423721313, 'white': 2.982856583261251e-10, 'middle eastern': 3.224724903338333e-11, 'latino hispanic': 6.223142889894007e-06}","{'angry': 0.0655031841103058, 'disgust': 3.7884786633188827e-10, 'fear': 0.0003347459540926336, 'happy': 4.0858767288628177e-05, 'sad': 0.22813559435434275, 'surprise': 2.0596808937917733e-07, 'neutral': 99.70598813366749}",,
5,37,male,asian,neutral,13.038404810405298,90.49873352050781
5,37,"{'male': 99.9954104423523, 'female': 0.004592028199112974}","{'asian': 95.83166216800583, 'indian': 1.4565188374530575, 'black': 0.030495082681705515, 'white': 0.1274968573449169, 'middle eastern': 0.001059611594830772, 'latino hispanic': 2.5527717204553912}","{'angry': 0.6733346601825547, 'disgust': 0.0011845503243070018, 'fear': 0.9249910883594856, 'happy': 0.045448902125898256, 'sad': 5.385847659212072, 'surprise': 0.02321632477379364, 'neutral': 92.94598018479111}",,
6,32,male,asian,fear,139.12943613772035,62.46986389160156
