Image_No,age,gender,race,center_dist,space
0,40-49,male,latino hispanic,20.615528128088304,93.54114532470703
0,"{'0-2': 0.00018108876247424632, '3-9': 0.00028630156521103345, '10-19': 0.014015720807947218, '20-29': 0.1433542580343783, '30-39': 7.9298630356788635, '40-49': 63.615888357162476, '50-59': 28.04177701473236, '60-69': 0.25370512157678604, '70+': 0.0009407205652678385}","{'male': 99.9999463558197, 'female': 5.399717792897718e-05}","{'white': 4.802864044904709, 'black': 0.2275811042636633, 'latino hispanic': 80.37753105163574, 'asian': 0.026229568175040185, 'indian': 13.748244941234589, 'middle eastern': 0.8175495080649853}",,
1,20-29,female,latino hispanic,30.016662039607265,86.09781265258789
1,"{'0-2': 1.194817489391653e-06, '3-9': 0.0011813666787929833, '10-19': 2.6156319305300713, '20-29': 83.24456214904785, '30-39': 14.030878245830536, '40-49': 0.10761682642623782, '50-59': 0.00012408985412548645, '60-69': 8.940171269955499e-07, '70+': 5.0019318548200076e-09}","{'male': 0.0009620835044188425, 'female': 99.99904036521912}","{'white': 33.43001902103424, 'black': 0.020305695943534374, 'latino hispanic': 62.68627047538757, 'asian': 0.34022689796984196, 'indian': 0.8552005514502525, 'middle eastern': 2.667977660894394}",,
2,30-39,male,middle eastern,20.0,94.2850112915039
2,"{'0-2': 0.0004906034973828355, '3-9': 0.0016591813619015738, '10-19': 0.08921650587581098, '20-29': 6.961086392402649, '30-39': 66.77362322807312, '40-49': 25.867390632629395, '50-59': 0.30394671484827995, '60-69': 0.0025662478947197087, '70+': 1.57039082182564e-05}","{'male': 99.99991059303284, 'female': 8.666914368404832e-05}","{'white': 11.969475448131561, 'black': 0.001014850931824185, 'latino hispanic': 2.711341716349125, 'asian': 0.012568105012178421, 'indian': 0.8468257263302803, 'middle eastern': 84.45878028869629}",,
3,20-29,male,black,66.70832032063167,48.72303009033203
3,"{'0-2': 0.0002149439978893497, '3-9': 0.0192904713912867, '10-19': 1.037160586565733, '20-29': 59.50722694396973, '30-39': 38.6270672082901, '40-49': 0.8044248446822166, '50-59': 0.004491922663873993, '60-69': 0.00010914678796325461, '70+': 5.616587372969661e-06}","{'male': 99.6151864528656, 'female': 0.38481021765619516}","{'white': 0.11902237311005592, 'black': 95.5092191696167, 'latino hispanic': 0.9108204394578934, 'asian': 0.03731506585609168, 'indian': 3.2980337738990784, 'middle eastern': 0.12559429742395878}",,
4,30-39,male,black,27.730849247724095,77.97117233276367
4,"{'0-2': 3.908029455601536e-07, '3-9': 1.0206532152778891e-05, '10-19': 0.038790301186963916, '20-29': 33.34738612174988, '30-39': 60.419607162475586, '40-49': 6.061241403222084, '50-59': 0.13175674248486757, '60-69': 0.0011533932593010832, '70+': 5.5489442729594884e-05}","{'male': 99.99990463256836, 'female': 9.640481266615097e-05}","{'white': 1.1911915009932272e-06, 'black': 99.99836683273315, 'latino hispanic': 7.201210223684029e-05, 'asian': 8.982600974150046e-06, 'indian': 0.001551486820972059, 'middle eastern': 1.3507167828663569e-06}",,
5,40-49,male,asian,13.038404810405298,90.49873352050781
5,"{'0-2': 0.00016387863297495642, '3-9': 0.0020452904209378175, '10-19': 0.13225049478933215, '20-29': 8.531314879655838, '30-39': 41.82713329792023, '40-49': 43.1352823972702, '50-59': 5.993182212114334, '60-69': 0.3751624608412385, '70+': 0.003474638651823625}","{'male': 99.99622106552124, 'female': 0.0037829664506716654}","{'white': 0.062106148106977344, 'black': 0.0007679337613808457, 'latino hispanic': 1.9768239930272102, 'asian': 97.63597846031189, 'indian': 0.3144246758893132, 'middle eastern': 0.009900189616018906}",,
6,20-29,male,asian,139.12943613772035,62.46986389160156
6,"{'0-2': 0.0008140053978422657, '3-9': 0.10640857508406043, '10-19': 25.03955066204071, '20-29': 71.28866314888, '30-39': 3.49239818751812, '40-49': 0.07138748187571764, '50-59': 0.0006704010502289748, '60-69': 9.898705002342467e-05, '70+': 3.777252643999418e-06}","{'male': 99.8391330242157, 'female': 0.1608684309758246}","{'white': 0.02286117378389463, 'black': 0.024942646268755198, 'latino hispanic': 0.6870193872600794, 'asian': 99.21117424964905, 'indian': 0.05269425455480814, 'middle eastern': 0.0013194936400395818}",,
7,20-29,male,white,28.0,94.34137344360352
7,"{'0-2': 3.5678262122473825e-06, '3-9': 0.00032213188205787446, '10-19': 0.45505110174417496, '20-29': 83.09935927391052, '30-39': 16.325996816158295, '40-49': 0.11900643585249782, '50-59': 0.0002538741000535083, '60-69': 2.8283457353950325e-06, '70+': 5.561792693065115e-08}","{'male': 99.99961853027344, 'female': 0.0003791217295656679}","{'white': 99.14251565933228, 'black': 0.0001430052407158655, 'latino hispanic': 0.14319708570837975, 'asian': 0.0026426252588862553, 'indian': 0.005871825487702154, 'middle eastern': 0.7056315429508686}",,
8,50-59,male,latino hispanic,20.0,95.21942138671875
8,"{'0-2': 0.007726340118097141, '3-9': 0.007423864008160308, '10-19': 0.06599375628866255, '20-29': 0.007433495193254203, '30-39': 0.05145219620317221, '40-49': 2.068810723721981, '50-59': 71.24735116958618, '60-69': 26.345306634902954, '70+': 0.19850577227771282}","{'male': 99.96384382247925, 'female': 0.036156229907646775}","{'white': 27.07177698612213, 'black': 0.10588105069473386, 'latino hispanic': 64.60709571838379, 'asian': 0.09078040602616966, 'indian': 7.2019025683403015, 'middle eastern': 0.9225639514625072}",,
9,30-39,male,white,46.84015371452148,66.37744903564453
9,"{'0-2': 0.000102116587186174, '3-9': 0.0036630171962315217, '10-19': 0.1455430407077074, '20-29': 24.826499819755554, '30-39': 70.17209529876709, '40-49': 4.835477843880653, '50-59': 0.016549794236198068, '60-69': 7.351155772994389e-05, '70+': 1.0980266473836764e-06}","{'male': 99.97857809066772, 'female': 0.021421234123408794}","{'white': 96.62864804267883, 'black': 0.0009830956514633726, 'latino hispanic': 2.17137411236763, 'asian': 0.01191630944958888, 'indian': 0.044216145761311054, 'middle eastern': 1.1428640224039555}",,
10,20-29,male,latino hispanic,91.98369420718001,56.249332427978516
10,"{'0-2': 0.0007433034625137225, '3-9': 0.06565336370840669, '10-19': 2.520798332989216, '20-29': 45.821040868759155, '30-39': 45.34669816493988, '40-49': 5.89672364294529, '50-59': 0.3289037151262164, '60-69': 0.01855365262599662, '70+': 0.0008805649486021139}","{'male': 73.59196543693542, 'female': 26.408034563064575}","{'white': 21.648627519607544, 'black': 0.4253014922142029, 'latino hispanic': 63.447755575180054, 'asian': 5.736728012561798, 'indian': 2.836928702890873, 'middle eastern': 5.904662236571312}",,
11,20-29,male,black,24.08318915758459,74.22866821289062
11,"{'0-2': 6.649337969122371e-07, '3-9': 3.737107761025982e-05, '10-19': 0.14288502279669046, '20-29': 60.729044675827026, '30-39': 37.37719655036926, '40-49': 1.7399273812770844, '50-59': 0.010858546738745645, '60-69': 5.180173729968374e-05, '70+': 2.453344549735448e-06}","{'male': 99.99749660491943, 'female': 0.002503013274690602}","{'white': 1.7885624004065903e-05, 'black': 99.97854828834534, 'latino hispanic': 0.0009446494004805572, 'asian': 3.876552625570184e-05, 'indian': 0.02043392596533522, 'middle eastern': 2.2986208136899222e-05}",,
12,20-29,male,latino hispanic,43.18564576337837,73.22502136230469
12,"{'0-2': 0.442926911637187, '3-9': 3.9495833218097687, '10-19': 13.006879389286041, '20-29': 26.66831910610199, '30-39': 16.944701969623566, '40-49': 12.331986427307129, '50-59': 6.7908018827438354, '60-69': 9.965522587299347, '70+': 9.899288415908813}","{'male': 61.71250343322754, 'female': 38.28749656677246}","{'white': 12.213986366987228, 'black': 17.802588641643524, 'latino hispanic': 23.10784012079239, 'asian': 15.235470235347748, 'indian': 8.795726299285889, 'middle eastern': 22.844378650188446}",,
13,50-59,male,white,42.720018726587654,62.815189361572266
13,"{'0-2': 0.0003601023536248249, '3-9': 0.0009593533832230605, '10-19': 0.02453662164043635, '20-29': 0.25339440908282995, '30-39': 1.9952736794948578, '40-49': 19.852638244628906, '50-59': 57.05828070640564, '60-69': 19.240693747997284, '70+': 1.5738679096102715}","{'male': 97.62535095214844, 'female': 2.374648116528988}","{'white': 50.36991834640503, 'black': 0.5874446593225002, 'latino hispanic': 18.804584443569183, 'asian': 1.289275847375393, 'indian': 28.33685576915741, 'middle eastern': 0.6119172088801861}",,
14,20-29,male,white,53.712196007983145,54.48741912841797
14,"{'0-2': 5.933084779030651e-06, '3-9': 0.00017470167676947312, '10-19': 0.13197865337133408, '20-29': 65.9969687461853, '30-39': 33.64582061767578, '40-49': 0.22470855619758368, '50-59': 0.00034439549381204415, '60-69': 3.906162504563326e-06, '70+': 6.99139579563024e-08}","{'male': 99.99950528144836, 'female': 0.0004946917215420399}","{'white': 60.61335802078247, 'black': 0.03679362125694752, 'latino hispanic': 7.1339428424835205, 'asian': 0.03485671186354011, 'indian': 1.53378052636981, 'middle eastern': 30.647268891334534}",,
15,50-59,male,latino hispanic,5.656854249492381,95.4559326171875
15,"{'0-2': 0.006202531221788377, '3-9': 0.0032464322430314496, '10-19': 0.022504734806716442, '20-29': 0.0059397320001153275, '30-39': 0.10691063944250345, '40-49': 3.8400258868932724, '50-59': 67.6518201828003, '60-69': 28.087204694747925, '70+': 0.2761496230959892}","{'male': 99.99801516532898, 'female': 0.0019926452296203934}","{'white': 5.099695920944214, 'black': 0.08918730891309679, 'latino hispanic': 79.72669005393982, 'asian': 0.11685120407491922, 'indian': 9.200821816921234, 'middle eastern': 5.76675646007061}",,
16,40-49,male,middle eastern,42.44997055358225,89.56127166748047
16,"{'0-2': 0.002763618431345094, '3-9': 0.006837849650764838, '10-19': 0.13170711463317275, '20-29': 1.0343089699745178, '30-39': 26.469072699546814, '40-49': 64.11454677581787, '50-59': 8.132494986057281, '60-69': 0.10747303022071719, '70+': 0.0007956690751598217}","{'male': 99.95203018188477, 'female': 0.04797085130121559}","{'white': 10.40777936577797, 'black': 0.01337286812486127, 'latino hispanic': 34.658461809158325, 'asian': 0.11295679723843932, 'indian': 6.556981056928635, 'middle eastern': 48.25044870376587}",,
17,20-29,male,white,21.587033144922902,94.57159042358398
17,"{'0-2': 6.897621585011393e-07, '3-9': 0.00011676037274810369, '10-19': 0.7140276022255421, '20-29': 90.61161875724792, '30-39': 8.599171042442322, '40-49': 0.07483693771064281, '50-59': 0.00022357814941642573, '60-69': 4.083727134229775e-06, '70+': 7.471900320688007e-08}","{'male': 99.99859929084778, 'female': 0.001398630683979718}","{'white': 97.23758101463318, 'black': 0.0015460382201126777, 'latino hispanic': 1.8239041790366173, 'asian': 0.006664379179710522, 'indian': 0.08378532365895808, 'middle eastern': 0.8465275168418884}",,
18,40-49,male,white,1.0,99.70703125
18,"{'0-2': 0.0067903682065662, '3-9': 0.011512894707266241, '10-19': 0.13300804421305656, '20-29': 1.102728396654129, '30-39': 13.425669074058533, '40-49': 43.387314677238464, '50-59': 37.9237562417984, '60-69': 3.8809925317764282, '70+': 0.12822458520531654}","{'male': 99.93560910224915, 'female': 0.06439058925025165}","{'white': 97.73324728012085, 'black': 0.05969335325062275, 'latino hispanic': 1.561153121292591, 'asian': 0.02699648612178862, 'indian': 0.034743756987154484, 'middle eastern': 0.5841594655066729}",,
19,50-59,male,white,19.4164878389476,94.75793838500977
19,"{'0-2': 0.0009487148417974822, '3-9': 0.00043481004468048923, '10-19': 0.007178619125625119, '20-29': 0.06999057368375361, '30-39': 1.402386836707592, '40-49': 28.28090190887451, '50-59': 66.35280847549438, '60-69': 3.843057155609131, '70+': 0.04228925972711295}","{'male': 99.9981939792633, 'female': 0.0018114067643182352}","{'white': 93.15837025642395, 'black': 0.002136520924977958, 'latino hispanic': 0.5151237361133099, 'asian': 0.0031095711165107787, 'indian': 0.18287377897650003, 'middle eastern': 6.1383794993162155}",,
20,30-39,male,indian,20.39607805437114,91.67900085449219
20,"{'0-2': 0.00016414005585829727, '3-9': 0.007156976062105969, '10-19': 0.7207939866930246, '20-29': 16.973868012428284, '30-39': 62.22515106201172, '40-49': 19.714733958244324, '50-59': 0.3532812464982271, '60-69': 0.004763598917634226, '70+': 8.668913551446167e-05}","{'male': 99.99296069145203, 'female': 0.007038751937216148}","{'white': 1.4690152369439602, 'black': 0.06238875794224441, 'latino hispanic': 36.45395040512085, 'asian': 0.03684539697133005, 'indian': 59.34983491897583, 'middle eastern': 2.6279639452695847}",,
21,20-29,male,black,56.32051136131489,72.90544509887695
21,"{'0-2': 1.610196775914119e-06, '3-9': 0.00013794847291137557, '10-19': 0.5422901827841997, '20-29': 83.02251100540161, '30-39': 16.106636822223663, '40-49': 0.32605540473014116, '50-59': 0.002351862349314615, '60-69': 2.2359623130796535e-05, '70+': 2.1819021256419546e-06}","{'male': 99.99899864196777, 'female': 0.001000051724986406}","{'white': 1.0163476105162772e-05, 'black': 99.99750256538391, 'latino hispanic': 0.0006246217253647046, 'asian': 0.00018113946680387016, 'indian': 0.0016674710423103534, 'middle eastern': 1.3177329094560264e-05}",,
22,20-29,male,white,14.866068747318506,92.6218032836914
22,"{'0-2': 9.337382778085157e-06, '3-9': 0.0006652130196016515, '10-19': 0.868474692106247, '20-29': 59.557050466537476, '30-39': 38.412296772003174, '40-49': 1.1549605056643486, '50-59': 0.006465636397479102, '60-69': 7.018655878709978e-05, '70+': 5.446012973919778e-07}","{'male': 99.99615550041199, 'female': 0.003843902231892571}","{'white': 94.64109539985657, 'black': 0.0012126541150792036, 'latino hispanic': 4.475264623761177, 'asian': 0.3608475439250469, 'indian': 0.002465610668878071, 'middle eastern': 0.5191098898649216}",,
23,20-29,male,black,23.3452350598575,89.51187133789062
23,"{'0-2': 8.657740124817792e-06, '3-9': 0.002662204315129202, '10-19': 2.676042355597019, '20-29': 83.69057774543762, '30-39': 13.456419110298157, '40-49': 0.17356042517349124, '50-59': 0.0007193606506916694, '60-69': 8.951575125593081e-06, '70+': 3.491329225724371e-07}","{'male': 99.99760389328003, 'female': 0.0023950356990098953}","{'white': 0.00047455755520786624, 'black': 97.11472988128662, 'latino hispanic': 0.02388859575148672, 'asian': 0.003253440445405431, 'indian': 2.8567757457494736, 'middle eastern': 0.0008781530596024822}",,
