Image_No,age,gender,race,emotion,center_dist,space
0,31,male,black,neutral,38.01315561749642,92.0074462890625
0,31,"{'male': 69.12609934806824, 'female': 30.873897671699524}","{'asian': 1.062917549116138e-10, 'indian': 8.044695416547717e-12, 'black': 100.0, 'white': 1.5590205058430025e-20, 'middle eastern': 4.58933336911021e-21, 'latino hispanic': 2.4937017897103066e-14}","{'angry': 0.02154795656679198, 'disgust': 1.8100249077335206e-07, 'fear': 0.0019734319721465, 'happy': 18.20433884859085, 'sad': 0.25875752326101065, 'surprise': 0.0918645819183439, 'neutral': 81.42151832580566}",,
1,41,female,white,happy,98.71676655968834,41.43562316894531
1,41,"{'male': 9.35008515057234e-06, 'female': 99.99998807907104}","{'asian': 3.0319814042258086e-11, 'indian': 6.727514595752937e-11, 'black': 3.1311112878759087e-14, 'white': 99.99967813491821, 'middle eastern': 0.00020691700228780974, 'latino hispanic': 0.00011488231166367768}","{'angry': 0.007362796018190784, 'disgust': 6.787878604927005e-06, 'fear': 0.0003252362442896219, 'happy': 76.01814555905514, 'sad': 0.06889527191538848, 'surprise': 0.0008336502930722315, 'neutral': 23.904425036379692}",,
2,33,female,white,neutral,127.20062892926278,56.907081604003906
2,33,"{'male': 0.0031324892916018143, 'female': 99.99686479568481}","{'asian': 0.20035879018061103, 'indian': 0.3882715942798015, 'black': 0.02601808383144193, 'white': 74.42131486066073, 'middle eastern': 15.1535058113042, 'latino hispanic': 9.81053023401083}","{'angry': 0.6934014149010181, 'disgust': 0.0002522826889617136, 'fear': 0.022309758060146123, 'happy': 1.0865818709135056, 'sad': 21.966220438480377, 'surprise': 1.420523290107667e-05, 'neutral': 76.23122334480286}",,
3,25,female,latino hispanic,happy,82.73451516749222,69.02313232421875
3,25,"{'male': 3.1430293034873102e-06, 'female': 100.0}","{'asian': 27.8572678565979, 'indian': 2.349579334259033, 'black': 0.16356292180716991, 'white': 16.318583488464355, 'middle eastern': 3.163086250424385, 'latino hispanic': 50.14791488647461}","{'angry': 1.262113764076071e-05, 'disgust': 3.751532409902975e-12, 'fear': 0.002063146958262949, 'happy': 93.8569001980901, 'sad': 4.8014408133298734e-05, 'surprise': 0.03607735991748243, 'neutral': 6.104896945345038}",,
4,29,female,white,happy,48.27007354458868,74.64447021484375
4,29,"{'male': 0.123394257389009, 'female': 99.87660646438599}","{'asian': 0.009762475965356884, 'indian': 0.008237545025491046, 'black': 0.0004992062556229768, 'white': 94.00783145474384, 'middle eastern': 1.6000201016676487, 'latino hispanic': 4.37364753327653}","{'angry': 3.1881660102632375e-06, 'disgust': 1.040027240951688e-09, 'fear': 4.9809321594060474e-05, 'happy': 96.38200380694889, 'sad': 0.01241029896238738, 'surprise': 0.00012109085940738675, 'neutral': 3.605411044085684}",,
5,35,female,black,sad,66.48308055437865,66.15009307861328
5,35,"{'male': 0.0068769957579206675, 'female': 99.99312162399292}","{'asian': 1.3495593531587247e-09, 'indian': 3.4889541256077905e-08, 'black': 100.0, 'white': 6.8765608816676824e-15, 'middle eastern': 3.5537942281434014e-15, 'latino hispanic': 6.104690364328036e-09}","{'angry': 16.39978140592575, 'disgust': 0.0010975953955494333, 'fear': 8.268895745277405, 'happy': 0.0006656528512394289, 'sad': 62.00418472290039, 'surprise': 7.314152412618569e-05, 'neutral': 13.32530677318573}",,
6,28,female,white,sad,123.06502346320825,60.01472473144531
6,28,"{'male': 0.593649223446846, 'female': 99.40635561943054}","{'asian': 0.18764857577068517, 'indian': 0.4130921353360576, 'black': 0.03940409111671491, 'white': 76.95037447814637, 'middle eastern': 7.269615801526999, 'latino hispanic': 15.139869170173307}","{'angry': 0.11233862023800611, 'disgust': 1.0180641396573265e-05, 'fear': 2.1687623113393784, 'happy': 0.023609233903698623, 'sad': 96.2972104549408, 'surprise': 0.006163937359815463, 'neutral': 1.3919072225689888}",,
7,19,female,white,happy,20.518284528683193,68.75810623168945
