Image_No,age,gender,race,center_dist,space
0,20-29,female,black,38.01315561749642,92.0074462890625
0,"{'0-2': 2.666871523615555e-06, '3-9': 0.003869579086313024, '10-19': 4.687776416540146, '20-29': 86.6618275642395, '30-39': 8.592759817838669, '40-49': 0.05357667105272412, '50-59': 0.00019098783923254814, '60-69': 8.947258933744706e-07, '70+': 2.7929550339145237e-08}","{'male': 0.00619142665527761, 'female': 99.99381303787231}","{'white': 2.28136869395712e-05, 'black': 99.98974204063416, 'latino hispanic': 0.0006870429842820158, 'asian': 0.0004763263859786093, 'indian': 0.009076423157239333, 'middle eastern': 1.575842389911486e-06}",,
1,40-49,female,white,98.71676655968834,41.43562316894531
1,"{'0-2': 9.597516736903344e-06, '3-9': 3.870718217058311e-05, '10-19': 0.001382917798764538, '20-29': 0.25039687752723694, '30-39': 10.25746762752533, '40-49': 63.911402225494385, '50-59': 24.67552125453949, '60-69': 0.8931126445531845, '70+': 0.01066905606421642}","{'male': 0.002141524055332411, 'female': 99.99785423278809}","{'white': 98.81945252418518, 'black': 0.0002848222266038647, 'latino hispanic': 0.15788564924150705, 'asian': 0.003426801413297653, 'indian': 0.002098909862979781, 'middle eastern': 1.0168571025133133}",,
2,20-29,female,white,127.20062892926278,56.907081604003906
2,"{'0-2': 8.9714710327371e-06, '3-9': 0.0118685195047874, '10-19': 4.3303098529577255, '20-29': 85.35416722297668, '30-39': 10.151209682226181, '40-49': 0.15201802598312497, '50-59': 0.00041079438233282417, '60-69': 6.608715352740546e-06, '70+': 2.2922193032570704e-07}","{'male': 0.004221038761897944, 'female': 99.9957799911499}","{'white': 88.96740078926086, 'black': 0.0032231302611762658, 'latino hispanic': 4.516895487904549, 'asian': 0.006134366412879899, 'indian': 0.1413707621395588, 'middle eastern': 6.364966928958893}",,
3,20-29,female,latino hispanic,82.73451516749222,69.02313232421875
3,"{'0-2': 2.711701085900131e-07, '3-9': 0.005559808050747961, '10-19': 18.607310950756073, '20-29': 80.74434995651245, '30-39': 0.6419563200324774, '40-49': 0.0008142044862324838, '50-59': 4.567095590601866e-07, '60-69': 8.667600664979958e-09, '70+': 1.0727634058849134e-10}","{'male': 0.001814811912481673, 'female': 99.99818205833435}","{'white': 15.171454846858978, 'black': 0.013594565098173916, 'latino hispanic': 49.540975689888, 'asian': 0.387175427749753, 'indian': 14.033150672912598, 'middle eastern': 20.853647589683533}",,
4,20-29,female,white,48.27007354458868,74.64447021484375
4,"{'0-2': 0.00011706428040270112, '3-9': 0.02543014124967158, '10-19': 5.4923951625823975, '20-29': 81.54791593551636, '30-39': 12.707142531871796, '40-49': 0.22534369491040707, '50-59': 0.0016190811948035844, '60-69': 3.685000535824656e-05, '70+': 4.722293223125007e-07}","{'male': 0.0009088309525395744, 'female': 99.99908804893494}","{'white': 97.46022820472717, 'black': 0.0004371968316263519, 'latino hispanic': 1.672840677201748, 'asian': 0.015832945064175874, 'indian': 0.003558558819349855, 'middle eastern': 0.8471001870930195}",,
5,10-19,female,black,66.48308055437865,66.15009307861328
5,"{'0-2': 0.00720127864042297, '3-9': 6.300228834152222, '10-19': 57.76083469390869, '20-29': 31.858333945274353, '30-39': 4.023172706365585, '40-49': 0.04827924130950123, '50-59': 0.0019068873370997608, '60-69': 4.2045382997457637e-05, '70+': 2.423343481439133e-06}","{'male': 0.12403209693729877, 'female': 99.87596869468689}","{'white': 0.00010028180668086861, 'black': 99.99547004699707, 'latino hispanic': 0.0031451432732865214, 'asian': 0.0007008393367868848, 'indian': 0.0005740375854657032, 'middle eastern': 9.27633294622865e-06}",,
6,20-29,female,indian,123.06502346320825,60.01472473144531
6,"{'0-2': 2.890764960739034e-06, '3-9': 0.1067803124897182, '10-19': 38.54620158672333, '20-29': 60.65019965171814, '30-39': 0.6955407559871674, '40-49': 0.0012664272617257666, '50-59': 1.0708720132868166e-06, '60-69': 3.636909939874755e-08, '70+': 1.2662613145530965e-09}","{'male': 0.20167147740721703, 'female': 99.79832768440247}","{'white': 2.4327199906110764, 'black': 0.06975457654334605, 'latino hispanic': 40.22032618522644, 'asian': 0.05907805752940476, 'indian': 53.72985005378723, 'middle eastern': 3.488273173570633}",,
7,10-19,female,white,20.518284528683193,68.75810623168945
7,"{'0-2': 5.5220669992195326e-05, '3-9': 1.5957564115524292, '10-19': 80.31952381134033, '20-29': 18.05596947669983, '30-39': 0.02863168192561716, '40-49': 6.15700741946057e-05, '50-59': 6.309538447268892e-08, '60-69': 3.0488899599445674e-09, '70+': 2.472983840276499e-10}","{'male': 0.04491923609748483, 'female': 99.95508193969727}","{'white': 97.8514552116394, 'black': 0.00017178924736072076, 'latino hispanic': 0.13479944318532944, 'asian': 0.0015101235476322472, 'indian': 0.002171227242797613, 'middle eastern': 2.0098943263292313}",,
8,20-29,female,white,19.313207915827967,94.68364715576172
8,"{'0-2': 7.382650935028323e-07, '3-9': 0.008161362347891554, '10-19': 18.115687370300293, '20-29': 80.9744656085968, '30-39': 0.9004912339150906, '40-49': 0.0011909513887076173, '50-59': 5.593540741699599e-07, '60-69': 9.647900534037746e-09, '70+': 1.0292196782335505e-10}","{'male': 0.0014022226423549, 'female': 99.9985933303833}","{'white': 69.41001415252686, 'black': 0.006164428486954421, 'latino hispanic': 22.30285555124283, 'asian': 0.05958944093436003, 'indian': 0.13937769690528512, 'middle eastern': 8.081994205713272}",,
9,20-29,female,white,19.209372712298546,93.18466186523438
9,"{'0-2': 1.419451445272557e-07, '3-9': 0.0016037040040828288, '10-19': 12.921495735645294, '20-29': 85.97829341888428, '30-39': 1.097236666828394, '40-49': 0.001367079221381573, '50-59': 6.226187565516739e-07, '60-69': 6.9729916285510285e-09, '70+': 1.0652363323024328e-10}","{'male': 0.006692744500469416, 'female': 99.9933123588562}","{'white': 98.77386093139648, 'black': 0.00016222917338382103, 'latino hispanic': 0.11934798676520586, 'asian': 0.0002120743829436833, 'indian': 0.0010387425390945282, 'middle eastern': 1.1053831316530704}",,
10,20-29,female,black,1.4142135623730951,99.51210021972656
10,"{'0-2': 3.4349262989508134e-06, '3-9': 0.0006827399374742527, '10-19': 3.9775870740413666, '20-29': 78.97782921791077, '30-39': 16.735583543777466, '40-49': 0.3062548115849495, '50-59': 0.0020468678485485725, '60-69': 1.7596948964637704e-05, '70+': 1.4997247888004495e-07}","{'male': 0.07690899074077606, 'female': 99.92309212684631}","{'white': 0.12873526429757476, 'black': 51.220107078552246, 'latino hispanic': 35.669711232185364, 'asian': 0.594429112970829, 'indian': 12.367282807826996, 'middle eastern': 0.019743756274692714}",,
11,10-19,female,latino hispanic,59.076221950967714,87.28981018066406
11,"{'0-2': 2.368333262836586e-06, '3-9': 0.0619816652033478, '10-19': 65.70764183998108, '20-29': 34.0151846408844, '30-39': 0.2146933227777481, '40-49': 0.0005006011178920744, '50-59': 5.933065150287575e-07, '60-69': 2.5498733680073826e-08, '70+': 6.274185598148518e-10}","{'male': 0.15627490356564522, 'female': 99.84372854232788}","{'white': 11.790809035301208, 'black': 0.259252917021513, 'latino hispanic': 60.003894567489624, 'asian': 0.07759619038552046, 'indian': 1.0418237186968327, 'middle eastern': 26.82662606239319}",,
12,20-29,female,white,112.14722466472367,69.22969818115234
