Image_No,age,gender,race,emotion,center_dist,space
0,29,male,white,happy,148.2733961302566,40.47889709472656
0,29,"{'male': 99.99971389770508, 'female': 0.0002808570343404426}","{'asian': 3.165944293141365, 'indian': 2.532171458005905, 'black': 1.0088052600622177, 'white': 45.33757269382477, 'middle eastern': 16.44112467765808, 'latino hispanic': 31.514379382133484}","{'angry': 2.1182327988553213e-08, 'disgust': 2.9713820151973617e-13, 'fear': 2.151499662325927e-08, 'happy': 90.45590701436443, 'sad': 9.761725450284248e-05, 'surprise': 0.00021054603512161063, 'neutral': 9.543789001929104}",,
1,31,female,asian,happy,60.4400529450463,41.8609619140625
1,31,"{'male': 1.671457663178444, 'female': 98.32854866981506}","{'asian': 37.71701157093048, 'indian': 10.12870967388153, 'black': 2.6747897267341614, 'white': 10.972016304731369, 'middle eastern': 7.09884986281395, 'latino hispanic': 31.40862286090851}","{'angry': 3.597698099100497e-10, 'disgust': 1.4577382344927914e-14, 'fear': 9.854279844933875e-11, 'happy': 99.9693155325275, 'sad': 3.412349995459373e-07, 'surprise': 4.5457357454929305e-08, 'neutral': 0.03068047733781757}",,
2,30,female,latino hispanic,neutral,97.08243919473799,38.536834716796875
2,30,"{'male': 43.75552833080292, 'female': 56.244468688964844}","{'asian': 5.610153040895047, 'indian': 6.347618630386509, 'black': 2.3755952269193665, 'white': 25.533075662438613, 'middle eastern': 19.512243241801457, 'latino hispanic': 40.62131289370733}","{'angry': 0.11718675959855318, 'disgust': 0.00012055784281983506, 'fear': 0.09184761438518763, 'happy': 8.236441761255264, 'sad': 14.251026511192322, 'surprise': 0.0021421417841338553, 'neutral': 77.30123400688171}",,
3,32,male,white,happy,108.55873986004075,45.32890319824219
3,32,"{'male': 99.94823932647705, 'female': 0.051754957530647516}","{'asian': 6.728636208208627e-05, 'indian': 0.0001235150762113335, 'black': 1.3201597148793098e-06, 'white': 99.69653487205505, 'middle eastern': 0.17618624260649085, 'latino hispanic': 0.12709342408925295}","{'angry': 8.684271597651262e-08, 'disgust': 4.903844116358609e-10, 'fear': 3.2377258361294485e-07, 'happy': 99.89234208418978, 'sad': 2.6403505312719176e-05, 'surprise': 2.3026342384177382e-05, 'neutral': 0.10761044163915168}",,
4,35,female,white,happy,171.05846953600397,30.300140380859375
4,35,"{'male': 1.7358331009745598, 'female': 98.26416969299316}","{'asian': 0.03738749210201298, 'indian': 0.28858803032034275, 'black': 0.004209018014367385, 'white': 70.12244819135091, 'middle eastern': 22.83934082515945, 'latino hispanic': 6.708020662305276}","{'angry': 5.227530326066274e-13, 'disgust': 2.73986158873327e-23, 'fear': 8.645074354795036e-15, 'happy': 99.98748302459717, 'sad': 2.5397916408875787e-09, 'surprise': 1.1426218859966752e-07, 'neutral': 0.012516611604951322}",,
5,32,male,white,happy,71.70076708097342,64.64996337890625
5,32,"{'male': 99.9993085861206, 'female': 0.0006938917067600414}","{'asian': 0.006523217598441988, 'indian': 0.020109431352466345, 'black': 0.0008700095349922776, 'white': 95.67428231239319, 'middle eastern': 3.0553553253412247, 'latino hispanic': 1.2428639456629753}","{'angry': 0.0034500681067584082, 'disgust': 1.5164932668780275e-21, 'fear': 2.373286842657224e-11, 'happy': 99.99655485153198, 'sad': 7.166501420075022e-09, 'surprise': 9.312214153543892e-13, 'neutral': 6.066368740675898e-07}",,
6,34,female,white,angry,98.35141076771599,55.5419921875
