Image_No,age,gender,race,center_dist,space
0,30-39,male,middle eastern,148.2733961302566,40.47889709472656
0,"{'0-2': 0.00013132106460034265, '3-9': 0.0017592577933100984, '10-19': 0.12687029084190726, '20-29': 34.74745452404022, '30-39': 61.44435405731201, '40-49': 3.6502543836832047, '50-59': 0.02874776255339384, '60-69': 0.00041742323446669616, '70+': 4.903050765392436e-06}","{'male': 99.99998211860657, 'female': 1.9024305686343723e-05}","{'white': 9.056056290864944, 'black': 0.15377623494714499, 'latino hispanic': 43.56021285057068, 'asian': 0.36793313920497894, 'indian': 2.918378636240959, 'middle eastern': 43.94364655017853}",,
1,20-29,female,latino hispanic,60.4400529450463,41.8609619140625
1,"{'0-2': 1.7520314088415034e-06, '3-9': 0.0023631353542441502, '10-19': 5.3749628365039825, '20-29': 89.55547213554382, '30-39': 5.042409896850586, '40-49': 0.024723299429751933, '50-59': 7.003102382441284e-05, '60-69': 1.1668263688591196e-06, '70+': 2.451273350967398e-08}","{'male': 0.14647584175691009, 'female': 99.85352158546448}","{'white': 28.736695647239685, 'black': 0.22409006487578154, 'latino hispanic': 50.2255916595459, 'asian': 1.0501295328140259, 'indian': 1.7006030306220055, 'middle eastern': 18.062889575958252}",,
2,20-29,female,latino hispanic,97.08243919473799,38.536834716796875
2,"{'0-2': 0.00010169446795771364, '3-9': 0.09150191908702254, '10-19': 20.123395323753357, '20-29': 75.53710341453552, '30-39': 4.204419255256653, '40-49': 0.043336686212569475, '50-59': 0.00013779126675217412, '60-69': 3.5693958011506766e-06, '70+': 8.055571765197556e-08}","{'male': 0.28571542352437973, 'female': 99.71428513526917}","{'white': 23.472264409065247, 'black': 0.20103747956454754, 'latino hispanic': 64.80576395988464, 'asian': 0.740741053596139, 'indian': 1.7950503155589104, 'middle eastern': 8.985140919685364}",,
3,30-39,female,white,108.55873986004075,45.32890319824219
3,"{'0-2': 4.086821263626916e-05, '3-9': 0.0011007543434971012, '10-19': 0.326024298556149, '20-29': 26.969435811042786, '30-39': 58.83512496948242, '40-49': 13.196277618408203, '50-59': 0.6618611980229616, '60-69': 0.009825087181525305, '70+': 0.00030747953587706434}","{'male': 33.840447664260864, 'female': 66.15955233573914}","{'white': 97.16717600822449, 'black': 0.010175999341299757, 'latino hispanic': 2.0513957366347313, 'asian': 0.0035167173336958513, 'indian': 0.014801994257140905, 'middle eastern': 0.7529382593929768}",,
4,20-29,female,white,171.05846953600397,30.300140380859375
4,"{'0-2': 4.284380139552013e-06, '3-9': 0.005290995250106789, '10-19': 3.664502874016762, '20-29': 84.52129364013672, '30-39': 11.652126163244247, '40-49': 0.1561380224302411, '50-59': 0.0006299201231740881, '60-69': 9.543015266899602e-06, '70+': 1.2868943688459922e-07}","{'male': 0.018867994367610663, 'female': 99.98113512992859}","{'white': 96.80168628692627, 'black': 0.0012760340723616537, 'latino hispanic': 1.178577821701765, 'asian': 0.0051539624109864235, 'indian': 0.019268420874141157, 'middle eastern': 1.9940359517931938}",,
5,30-39,male,white,71.70076708097342,64.64996337890625
5,"{'0-2': 1.887655685095524e-05, '3-9': 0.00025583149181329645, '10-19': 0.08449060842394829, '20-29': 30.274751782417297, '30-39': 65.14813303947449, '40-49': 4.429281875491142, '50-59': 0.06271521560847759, '60-69': 0.00033914366213139147, '70+': 6.7298088879397255e-06}","{'male': 99.99690055847168, 'female': 0.0030960090953158215}","{'white': 95.68055272102356, 'black': 0.02003861009143293, 'latino hispanic': 2.9584892094135284, 'asian': 0.04943010862916708, 'indian': 0.9688562713563442, 'middle eastern': 0.3226367989555001}",,
6,20-29,female,white,98.35141076771599,55.5419921875
6,"{'0-2': 2.2165535185081353e-06, '3-9': 0.0003724079078892828, '10-19': 0.23418942000716925, '20-29': 56.88202381134033, '30-39': 40.465521812438965, '40-49': 2.403637021780014, '50-59': 0.014125693996902555, '60-69': 0.0001265881905965216, '70+': 1.6041056483118155e-06}","{'male': 0.004258246553945355, 'female': 99.99574422836304}","{'white': 98.54432344436646, 'black': 0.00014689737781736767, 'latino hispanic': 0.5906003061681986, 'asian': 0.0036410412576515228, 'indian': 0.04411795234773308, 'middle eastern': 0.8171683177351952}",,
7,20-29,female,white,158.61904047118682,33.70475769042969
7,"{'0-2': 1.3904994489166711e-05, '3-9': 0.0028408356229192577, '10-19': 1.0411488823592663, '20-29': 71.1421012878418, '30-39': 25.99509358406067, '40-49': 1.7928846180438995, '50-59': 0.02549263008404523, '60-69': 0.00043173299673071597, '70+': 4.228986583143524e-06}","{'male': 0.019349801004864275, 'female': 99.98065233230591}","{'white': 72.7995216846466, 'black': 0.04302154993638396, 'latino hispanic': 13.771800696849823, 'asian': 0.10464251972734928, 'indian': 4.846959561109543, 'middle eastern': 8.434055745601654}",,
8,20-29,female,latino hispanic,132.54433220624713,46.163177490234375
8,"{'0-2': 0.08405440021306276, '3-9': 2.4144478142261505, '10-19': 5.804891139268875, '20-29': 56.12531304359436, '30-39': 29.26381230354309, '40-49': 5.558047071099281, '50-59': 0.6558455526828766, '60-69': 0.088378821965307, '70+': 0.005220465754973702}","{'male': 31.944438815116882, 'female': 68.05555820465088}","{'white': 10.173163563013077, 'black': 14.330366253852844, 'latino hispanic': 33.918485045433044, 'asian': 4.362684488296509, 'indian': 27.414777874946594, 'middle eastern': 9.800524264574051}",,
9,30-39,female,white,94.36630754670864,58.95538330078125
9,"{'0-2': 7.754465514153708e-06, '3-9': 0.0007774799087201245, '10-19': 0.45868423767387867, '20-29': 41.952091455459595, '30-39': 52.373939752578735, '40-49': 5.100244656205177, '50-59': 0.1129557378590107, '60-69': 0.0012861402865382843, '70+': 1.1077714390239635e-05}","{'male': 0.002035500801866874, 'female': 99.99796748161316}","{'white': 94.19636726379395, 'black': 0.005895888534723781, 'latino hispanic': 5.432504042983055, 'asian': 0.04318606806918979, 'indian': 0.019559008069336414, 'middle eastern': 0.30248265247792006}",,
10,20-29,male,white,170.88007490635061,28.673553466796875
10,"{'0-2': 0.0007803109838278033, '3-9': 0.005177889761398546, '10-19': 1.2582413852214813, '20-29': 44.53545808792114, '30-39': 34.34393107891083, '40-49': 15.583379566669464, '50-59': 3.8376640528440475, '60-69': 0.4156291950494051, '70+': 0.01973677717614919}","{'male': 99.98552799224854, 'female': 0.014464960258919746}","{'white': 80.29875755310059, 'black': 0.044629498734138906, 'latino hispanic': 5.808284133672714, 'asian': 0.03847475745715201, 'indian': 0.546885235235095, 'middle eastern': 13.262976706027985}",,
11,20-29,male,latino hispanic,195.7472860603692,20.77484130859375
11,"{'0-2': 0.0002373407369304914, '3-9': 0.02525601303204894, '10-19': 3.8270313292741776, '20-29': 49.004027247428894, '30-39': 42.34842360019684, '40-49': 4.65179979801178, '50-59': 0.1397496904246509, '60-69': 0.0033411841286579147, '70+': 0.00012999818181924638}","{'male': 94.5171058177948, 'female': 5.482896417379379}","{'white': 6.794688105583191, 'black': 7.0573389530181885, 'latino hispanic': 72.70989418029785, 'asian': 0.6337450351566076, 'indian': 0.952700711786747, 'middle eastern': 11.851634085178375}",,
12,30-39,male,black,26.476404589747453,47.01728820800781
12,"{'0-2': 5.051631433161674e-05, '3-9': 0.002047472480626311, '10-19': 0.11796742910519242, '20-29': 8.351155370473862, '30-39': 57.340723276138306, '40-49': 31.84097409248352, '50-59': 2.2996263578534126, '60-69': 0.04654054646380246, '70+': 0.0009098068403545767}","{'male': 99.38132762908936, 'female': 0.618671253323555}","{'white': 0.00031158572255662875, 'black': 99.99222755432129, 'latino hispanic': 0.0016479902114951983, 'asian': 5.541886238802363e-06, 'indian': 0.005535841046366841, 'middle eastern': 0.00027279108962829923}",,
13,20-29,female,white,179.2261141686668,28.5858154296875
13,"{'0-2': 9.258735111927763e-07, '3-9': 0.0006007280717312824, '10-19': 1.1215758509933949, '20-29': 78.3422589302063, '30-39': 20.274288952350616, '40-49': 0.26044026017189026, '50-59': 0.0008293495739053469, '60-69': 8.566462383896578e-06, '70+': 7.167519910922238e-08}","{'male': 0.007850277324905619, 'female': 99.99215006828308}","{'white': 83.79605412483215, 'black': 0.034034260897897184, 'latino hispanic': 13.086088001728058, 'asian': 0.015937820717226714, 'indian': 0.22599895019084215, 'middle eastern': 2.8418859466910362}",,
14,20-29,male,white,105.38500842150178,56.0760498046875
14,"{'0-2': 0.00013120342146066832, '3-9': 0.0019899840481230058, '10-19': 0.20027300342917442, '20-29': 48.954376578330994, '30-39': 46.95074260234833, '40-49': 3.8625843822956085, '50-59': 0.029603129951283336, '60-69': 0.0002938888655990013, '70+': 8.505009674308894e-06}","{'male': 99.84298944473267, 'female': 0.15701340744271874}","{'white': 62.419337034225464, 'black': 0.00022849640117783565, 'latino hispanic': 1.5881428495049477, 'asian': 0.01277758419746533, 'indian': 0.9548035450279713, 'middle eastern': 35.02470850944519}",,
15,20-29,female,white,138.29316685939332,43.84307861328125
