Image_No,age,gender,race,emotion,center_dist,space
0,24,female,white,happy,11.0,83.59375
0,24,"{'male': 0.4043220076709986, 'female': 99.59567189216614}","{'asian': 0.0018756729332380928, 'indian': 0.002189392216678243, 'black': 2.10764923735951e-05, 'white': 97.36077189445496, 'middle eastern': 1.3860061764717102, 'latino hispanic': 1.249135285615921}","{'angry': 1.4644003223988856e-14, 'disgust': 1.387228907190705e-28, 'fear': 8.881576165709407e-12, 'happy': 99.99995231628418, 'sad': 1.0602174088800394e-15, 'surprise': 3.7498938354474376e-05, 'neutral': 9.293187730463615e-06}",,
1,40,male,white,happy,44.14748010928823,65.7958984375
1,40,"{'male': 99.98476505279541, 'female': 0.015238250489346683}","{'asian': 1.2289859796510427e-05, 'indian': 8.47133421189028e-06, 'black': 1.3916807706237933e-07, 'white': 99.67018961906433, 'middle eastern': 0.15097777359187603, 'latino hispanic': 0.17881309613585472}","{'angry': 8.541300999809209e-08, 'disgust': 7.891891375966562e-17, 'fear': 4.828875840856561e-09, 'happy': 100.0, 'sad': 3.5318570984488318e-09, 'surprise': 4.330033510566156e-11, 'neutral': 2.2465420634887323e-07}",,
2,39,male,white,sad,14.0356688476182,93.3837890625
2,39,"{'male': 98.6253559589386, 'female': 1.3746503740549088}","{'asian': 0.32970102764504816, 'indian': 0.41371346176106194, 'black': 0.14654194819054625, 'white': 76.95084488977851, 'middle eastern': 11.474160227279636, 'latino hispanic': 10.685032077427854}","{'angry': 8.667725059152818e-07, 'disgust': 1.7427496602758554e-09, 'fear': 8.369984225036594, 'happy': 2.607919471460972e-05, 'sad': 91.39974219802114, 'surprise': 2.455672261452378e-07, 'neutral': 0.23024139975113872}",,
3,32,female,white,happy,9.433981132056603,90.65399169921875
3,32,"{'male': 0.0003430677452342934, 'female': 99.9996542930603}","{'asian': 5.684841430480868e-06, 'indian': 9.340844849863773e-06, 'black': 1.680078514757425e-08, 'white': 99.87848402518225, 'middle eastern': 0.03604367818814627, 'latino hispanic': 0.08545454038476463}","{'angry': 4.3229601839918455e-19, 'disgust': 1.898800453125219e-31, 'fear': 1.5102822809812966e-20, 'happy': 100.0, 'sad': 1.843267305028146e-17, 'surprise': 6.358426883835066e-13, 'neutral': 1.3671739296228225e-06}",,
4,32,male,white,happy,13.601470508735444,92.50030517578125
4,32,"{'male': 100.0, 'female': 1.4553796390259777e-06}","{'asian': 7.775782621954885e-10, 'indian': 6.682540371755197e-10, 'black': 1.5841670753714994e-13, 'white': 99.99834299087524, 'middle eastern': 0.0009148867320618592, 'latino hispanic': 0.0007455873401340796}","{'angry': 1.2949149308383312e-06, 'disgust': 5.259635679736669e-18, 'fear': 1.6292397525497979e-12, 'happy': 99.96906518936157, 'sad': 6.09762067227404e-10, 'surprise': 7.418957448379615e-07, 'neutral': 0.030937872361391783}",,
5,32,male,middle eastern,happy,66.03029607687671,73.05755615234375
