Image_No,age,gender,race,center_dist,space
0,20-29,female,white,11.0,83.59375
0,"{'0-2': 4.166363964941411e-06, '3-9': 0.0014646516319771763, '10-19': 0.9592875838279724, '20-29': 72.6190447807312, '30-39': 26.171404123306274, '40-49': 0.24732188321650028, '50-59': 0.0014627699783886783, '60-69': 1.0097531344399613e-05, '70+': 7.372780164160986e-08}","{'male': 0.01345768105238676, 'female': 99.98654127120972}","{'white': 65.72641730308533, 'black': 0.3958504181355238, 'latino hispanic': 29.83892560005188, 'asian': 0.10681909043341875, 'indian': 0.3844497259706259, 'middle eastern': 3.547533228993416}",,
1,40-49,male,white,44.14748010928823,65.7958984375
1,"{'0-2': 3.420559266942291e-05, '3-9': 0.00012124494332965696, '10-19': 0.03700891975313425, '20-29': 4.760557413101196, '30-39': 28.408801555633545, '40-49': 49.31868314743042, '50-59': 17.199090123176575, '60-69': 0.2704398240894079, '70+': 0.005275462899589911}","{'male': 99.9996542930603, 'female': 0.000345436274074018}","{'white': 99.98445510864258, 'black': 3.830998629439364e-07, 'latino hispanic': 6.231854854377161e-05, 'asian': 2.4192990721871865e-06, 'indian': 1.0479002554575345e-05, 'middle eastern': 0.015465896285604686}",,
2,10-19,male,asian,14.0356688476182,93.3837890625
2,"{'0-2': 0.09312454494647682, '3-9': 4.173263907432556, '10-19': 32.80434608459473, '20-29': 20.746828615665436, '30-39': 11.178889125585556, '40-49': 11.258646845817566, '50-59': 9.547179937362671, '60-69': 8.016829192638397, '70+': 2.1808937191963196}","{'male': 98.00493717193604, 'female': 1.9950687885284424}","{'white': 28.28775942325592, 'black': 13.642412424087524, 'latino hispanic': 22.91673719882965, 'asian': 28.674280643463135, 'indian': 1.6848169267177582, 'middle eastern': 4.793982580304146}",,
3,30-39,female,white,9.433981132056603,90.65399169921875
3,"{'0-2': 4.175205248202474e-06, '3-9': 0.0004108480425202288, '10-19': 0.22812585812062025, '20-29': 47.54383862018585, '30-39': 50.58708190917969, '40-49': 1.6255388036370277, '50-59': 0.014860891678836197, '60-69': 0.00013400011766862008, '70+': 1.017344875009485e-06}","{'male': 0.007582582475151867, 'female': 99.99241828918457}","{'white': 96.68471217155457, 'black': 0.004397064913064241, 'latino hispanic': 2.6391495019197464, 'asian': 0.0048299403715645894, 'indian': 0.010063364607049152, 'middle eastern': 0.656856456771493}",,
4,30-39,male,white,13.601470508735444,92.50030517578125
4,"{'0-2': 6.510652639235559e-06, '3-9': 0.0004548374818114098, '10-19': 0.016856285219546407, '20-29': 12.62802928686142, '30-39': 83.30985903739929, '40-49': 4.0383003652095795, '50-59': 0.006482617754954845, '60-69': 1.9214671453937626e-05, '70+': 3.7948262310294467e-07}","{'male': 99.99779462814331, 'female': 0.0022062353309593163}","{'white': 96.07788324356079, 'black': 0.0003304423898953246, 'latino hispanic': 0.11356654576957226, 'asian': 0.00011085514870501356, 'indian': 0.023449475702363998, 'middle eastern': 3.784671425819397}",,
5,30-39,male,middle eastern,66.03029607687671,73.05755615234375
5,"{'0-2': 1.9227505276830925e-05, '3-9': 0.0009008008419186808, '10-19': 0.05425315466709435, '20-29': 23.576228320598602, '30-39': 72.98471927642822, '40-49': 3.3781100064516068, '50-59': 0.005748570038122125, '60-69': 2.0992767701955017e-05, '70+': 2.3794413106514867e-07}","{'male': 99.9994158744812, 'female': 0.0005804441116197268}","{'white': 5.359229072928429, 'black': 0.005991532452753745, 'latino hispanic': 3.906562551856041, 'asian': 0.0018746321075013839, 'indian': 17.070430517196655, 'middle eastern': 73.65591526031494}",,
6,30-39,male,white,10.0,95.53070068359375
6,"{'0-2': 7.663334713470249e-05, '3-9': 0.0014643051144958008, '10-19': 0.025186920538544655, '20-29': 10.600047558546066, '30-39': 78.72388362884521, '40-49': 10.616765916347504, '50-59': 0.03247758140787482, '60-69': 0.00010644022268024855, '70+': 1.3641125562458e-06}","{'male': 99.99821782112122, 'female': 0.0017777154425857589}","{'white': 33.153036236763, 'black': 0.004090491711394861, 'latino hispanic': 15.847356617450714, 'asian': 0.005507390596903861, 'indian': 19.65021938085556, 'middle eastern': 31.33978545665741}",,
7,30-39,male,white,51.419840528729765,76.1383056640625
7,"{'0-2': 1.3507722940175881e-05, '3-9': 6.41878784790606e-05, '10-19': 0.0054789088608231395, '20-29': 2.5534790009260178, '30-39': 56.339895725250244, '40-49': 39.341214299201965, '50-59': 1.7505811527371407, '60-69': 0.009112750558415428, '70+': 0.00017111476608988596}","{'male': 99.98443722724915, 'female': 0.015564014029223472}","{'white': 99.77468252182007, 'black': 0.0022215215722098947, 'latino hispanic': 0.06659759092144668, 'asian': 0.0002374680661887396, 'indian': 0.007980634836712852, 'middle eastern': 0.14827779959887266}",,
8,30-39,male,white,62.26556030423239,42.737579345703125
