Image_No,age,gender,race,emotion,center_dist,space
0,31,female,white,happy,20.591260281974,82.63664245605469
0,31,"{'male': 4.4096228890566636e-06, 'female': 100.0}","{'asian': 0.19531284924600711, 'indian': 0.417082433948807, 'black': 0.061627182074151285, 'white': 56.50180059692867, 'middle eastern': 3.6879782304737843, 'latino hispanic': 39.136202828431465}","{'angry': 4.381100722076023e-18, 'disgust': 2.3514899324357656e-28, 'fear': 2.571202979285598e-21, 'happy': 100.0, 'sad': 3.926137735657775e-14, 'surprise': 5.58466313355121e-13, 'neutral': 1.1408077149610563e-06}",,
1,31,female,white,happy,135.00370365289984,47.36824035644531
1,31,"{'male': 2.3909316837489314e-05, 'female': 99.99997615814209}","{'asian': 6.241846301054479e-08, 'indian': 3.928484993874695e-08, 'black': 4.165967136176321e-12, 'white': 99.98812079358821, 'middle eastern': 0.003428317927208121, 'latino hispanic': 0.008454522825628016}","{'angry': 3.4916914891333717e-26, 'disgust': 0.0, 'fear': 5.303827572174284e-31, 'happy': 100.0, 'sad': 2.6147723587266334e-22, 'surprise': 7.741234613537534e-15, 'neutral': 1.814857569781836e-08}",,
2,32,female,white,happy,32.28002478313795,82.38563537597656
2,32,"{'male': 6.330857615921559e-06, 'female': 99.99998807907104}","{'asian': 0.11611751979216933, 'indian': 0.292978691868484, 'black': 0.11038468219339848, 'white': 82.3522686958313, 'middle eastern': 9.883508831262589, 'latino hispanic': 7.244741916656494}","{'angry': 2.3982080231557958e-15, 'disgust': 5.450313651761223e-34, 'fear': 2.3691277856179734e-16, 'happy': 99.99974966049194, 'sad': 3.63214504046222e-12, 'surprise': 2.0668884381791486e-07, 'neutral': 0.00025003521386679495}",,
3,32,female,white,happy,16.76305461424021,51.7852783203125
3,32,"{'male': 0.011418900248827413, 'female': 99.98857975006104}","{'asian': 3.6174503772583446e-06, 'indian': 8.068179139405573e-06, 'black': 7.657536173056693e-08, 'white': 99.82118009455085, 'middle eastern': 0.04368025080350791, 'latino hispanic': 0.13513153758684024}","{'angry': 3.2432766956287394e-17, 'disgust': 1.4948187472316599e-34, 'fear': 4.46902799131325e-25, 'happy': 100.0, 'sad': 4.126353004099272e-18, 'surprise': 8.05725657634232e-12, 'neutral': 8.713775360991161e-10}",,
4,29,female,latino hispanic,happy,138.91724155050014,41.50581359863281
4,29,"{'male': 9.828902420849772e-05, 'female': 99.99990463256836}","{'asian': 5.269932688470643, 'indian': 5.529349254330948, 'black': 0.5729254676655213, 'white': 18.000769197986674, 'middle eastern': 4.4082439338114225, 'latino hispanic': 66.2187794577348}","{'angry': 9.190509004545639e-18, 'disgust': 2.4656189199589897e-28, 'fear': 3.573513840163441e-18, 'happy': 99.99999403953517, 'sad': 5.844593858868617e-15, 'surprise': 1.1440236376426009e-10, 'neutral': 7.399603149397437e-06}",,
5,27,male,black,happy,107.56393447619887,55.141448974609375
5,27,"{'male': 94.28587555885315, 'female': 5.714116618037224}","{'asian': 0.0002074100289908744, 'indian': 0.026766419027047992, 'black': 99.97169971297382, 'white': 2.521642600705372e-06, 'middle eastern': 4.401105520338071e-07, 'latino hispanic': 0.001328672339764917}","{'angry': 1.8825693238407558e-07, 'disgust': 7.387207876783739e-12, 'fear': 5.471038948239489e-08, 'happy': 99.92537498029321, 'sad': 7.507116371913416e-05, 'surprise': 8.855399430874475e-06, 'neutral': 0.07454122395314121}",,
6,28,female,asian,happy,25.80697580112788,59.72900390625
6,28,"{'male': 0.08293631253764033, 'female': 99.91706609725952}","{'asian': 27.248644828796387, 'indian': 6.568460911512375, 'black': 3.7929221987724304, 'white': 24.339531362056732, 'middle eastern': 11.34442314505577, 'latino hispanic': 26.706019043922424}","{'angry': 1.046138121198496e-12, 'disgust': 2.2119840970494237e-17, 'fear': 2.32997181390162e-12, 'happy': 100.0, 'sad': 4.2164800297117555e-10, 'surprise': 1.8813660698779877e-09, 'neutral': 2.2427242285516513e-06}",,
7,26,female,white,happy,55.78530272392541,73.57826232910156
7,26,"{'male': 0.09744527633301914, 'female': 99.90255832672119}","{'asian': 0.016444747850730888, 'indian': 0.017771857860403976, 'black': 0.0007388441176052657, 'white': 94.22590698158187, 'middle eastern': 1.397729655219892, 'latino hispanic': 4.341406633937754}","{'angry': 2.925526068363245e-14, 'disgust': 3.409838748034767e-29, 'fear': 7.987770256391592e-20, 'happy': 100.0, 'sad': 5.715343437864969e-17, 'surprise': 2.085252602846712e-13, 'neutral': 5.920851364749069e-06}",,
8,30,female,white,happy,20.39607805437114,65.65971374511719
8,30,"{'male': 3.473934384601307e-05, 'female': 99.99996423721313}","{'asian': 0.00037610011499791395, 'indian': 0.002447424740598242, 'black': 1.5247852956493526e-05, 'white': 97.06969243703439, 'middle eastern': 1.5923322196204792, 'latino hispanic': 1.335136020042659}","{'angry': 6.385263319831738e-20, 'disgust': 2.7381486899381e-36, 'fear': 1.7632578123785235e-25, 'happy': 100.0, 'sad': 2.8516631565110817e-18, 'surprise': 4.916532535383096e-17, 'neutral': 3.732991415983378e-08}",,
9,32,female,latino hispanic,happy,20.09975124224178,49.12376403808594
9,32,"{'male': 0.00027395569759391947, 'female': 99.99972581863403}","{'asian': 1.699085347354412, 'indian': 24.391518533229828, 'black': 0.796261616051197, 'white': 15.617866814136505, 'middle eastern': 14.51466679573059, 'latino hispanic': 42.98059940338135}","{'angry': 1.7701313556874457e-16, 'disgust': 7.600280976653985e-29, 'fear': 2.0016908504150555e-19, 'happy': 99.9998927116394, 'sad': 1.7577998298335664e-13, 'surprise': 4.1078232937592773e-11, 'neutral': 0.000107287269202061}",,
10,27,female,latino hispanic,happy,49.36598018878994,38.41209411621094
10,27,"{'male': 0.7292666472494602, 'female': 99.27073121070862}","{'asian': 2.477875499598712, 'indian': 4.850203460467068, 'black': 0.475604627689995, 'white': 7.9664548019441845, 'middle eastern': 3.1880212985289873, 'latino hispanic': 81.0418415690566}","{'angry': 3.0025745344913757e-10, 'disgust': 1.9686973678320236e-21, 'fear': 6.681033251961378e-14, 'happy': 99.98668432235718, 'sad': 3.167330763984011e-10, 'surprise': 1.2669372217999353e-07, 'neutral': 0.01331688545178622}",,
11,27,female,white,happy,74.95331880577405,34.70306396484375
11,27,"{'male': 38.57259452342987, 'female': 61.42740845680237}","{'asian': 3.1180230900645256, 'indian': 5.937482044100761, 'black': 1.5913935378193855, 'white': 39.40885365009308, 'middle eastern': 17.224308848381042, 'latino hispanic': 32.71993696689606}","{'angry': 3.0932645843276452e-15, 'disgust': 1.4538671103192168e-28, 'fear': 5.907481166346938e-21, 'happy': 99.99975562094185, 'sad': 1.5177617018314304e-15, 'surprise': 1.8789738071095493e-12, 'neutral': 0.0002445517711993897}",,
12,29,female,white,happy,73.60027173862879,31.637954711914062
12,29,"{'male': 0.016613917250651866, 'female': 99.98338222503662}","{'asian': 1.0164508729929474e-07, 'indian': 1.3547244134617532e-07, 'black': 1.1064142449725561e-09, 'white': 99.98974204002273, 'middle eastern': 0.002677082534724178, 'latino hispanic': 0.007583269777548747}","{'angry': 1.8542060942206007e-08, 'disgust': 3.9700577928128745e-19, 'fear': 3.690350095278926e-12, 'happy': 99.99995231628418, 'sad': 5.891682107461715e-10, 'surprise': 6.524213808090096e-09, 'neutral': 4.7444888195968815e-05}",,
13,30,female,white,happy,12.806248474865697,90.27099609375
