Image_No,age,gender,race,center_dist,space
0,20-29,female,white,20.591260281974,82.63664245605469
0,"{'0-2': 1.3340435423003782e-06, '3-9': 0.0021118576114531606, '10-19': 3.201659396290779, '20-29': 91.88870191574097, '30-39': 4.889526218175888, '40-49': 0.017971826309803873, '50-59': 3.497670491015015e-05, '60-69': 4.0849710281065654e-07, '70+': 5.178598522226352e-09}","{'male': 0.00729749008314684, 'female': 99.99270439147949}","{'white': 65.34438729286194, 'black': 0.12069189688190818, 'latino hispanic': 31.813207268714905, 'asian': 0.02097238175338134, 'indian': 0.6244874093681574, 'middle eastern': 2.0762579515576363}",,
1,20-29,female,white,135.00370365289984,47.36824035644531
1,"{'0-2': 3.0469696099544308e-06, '3-9': 0.0005969017365714535, '10-19': 0.5768594797700644, '20-29': 76.45646333694458, '30-39': 22.725051641464233, '40-49': 0.23995386436581612, '50-59': 0.0010612694495648611, '60-69': 8.33030497915388e-06, '70+': 1.0580289977468738e-07}","{'male': 0.0029685563276871108, 'female': 99.99702572822571}","{'white': 99.28286671638489, 'black': 0.004333026299718767, 'latino hispanic': 0.5837623961269855, 'asian': 0.0004802036073670024, 'indian': 0.0048151134251384065, 'middle eastern': 0.1237410819157958}",,
2,20-29,female,latino hispanic,32.28002478313795,82.38563537597656
2,"{'0-2': 0.0001925801370816771, '3-9': 0.04557395295705646, '10-19': 4.474841058254242, '20-29': 74.38990473747253, '30-39': 20.419873297214508, '40-49': 0.6611037999391556, '50-59': 0.008356808393727988, '60-69': 0.0001509500179963652, '70+': 3.097257916806484e-06}","{'male': 0.029291657847352326, 'female': 99.9707043170929}","{'white': 25.323906540870667, 'black': 1.3941762037575245, 'latino hispanic': 50.673460960388184, 'asian': 0.1568650477565825, 'indian': 3.1579259783029556, 'middle eastern': 19.293656945228577}",,
3,20-29,female,white,16.76305461424021,51.7852783203125
3,"{'0-2': 1.1611063399641353e-05, '3-9': 0.056335481349378824, '10-19': 11.488068848848343, '20-29': 86.18176579475403, '30-39': 2.261505648493767, '40-49': 0.01227127795573324, '50-59': 4.005219409464189e-05, '60-69': 6.327474988410131e-07, '70+': 1.3340624438473725e-08}","{'male': 0.007028518302831799, 'female': 99.99297857284546}","{'white': 80.66577315330505, 'black': 0.07066018297336996, 'latino hispanic': 17.58463829755783, 'asian': 0.006262237729970366, 'indian': 0.6817250046879053, 'middle eastern': 0.9909425862133503}",,
4,20-29,female,latino hispanic,138.91724155050014,41.50581359863281
4,"{'0-2': 9.299315095745442e-07, '3-9': 0.0010485337952559348, '10-19': 2.8386829420924187, '20-29': 91.5107250213623, '30-39': 5.620614066720009, '40-49': 0.028873395058326423, '50-59': 5.686444524144463e-05, '60-69': 7.678885083350906e-07, '70+': 8.245534810491506e-09}","{'male': 0.004919047933071852, 'female': 99.99508261680603}","{'white': 19.583860039711, 'black': 1.0606931522488594, 'latino hispanic': 72.70519137382507, 'asian': 0.2772430656477809, 'indian': 5.56781031191349, 'middle eastern': 0.8051993325352669}",,
5,20-29,female,black,107.56393447619887,55.141448974609375
5,"{'0-2': 1.990451004019178e-06, '3-9': 0.008356940816156566, '10-19': 7.321082055568695, '20-29': 89.30405974388123, '30-39': 3.3500690013170242, '40-49': 0.016385639901272953, '50-59': 4.6948574095040385e-05, '60-69': 2.676997734596398e-07, '70+': 6.446793793246641e-09}","{'male': 0.755922356620431, 'female': 99.24407601356506}","{'white': 0.0002590557187431841, 'black': 99.81909394264221, 'latino hispanic': 0.01352393883280456, 'asian': 3.6537710457196226e-05, 'indian': 0.16702451976016164, 'middle eastern': 5.9335945934435586e-05}",,
6,20-29,female,latino hispanic,25.80697580112788,59.72900390625
6,"{'0-2': 6.81021532500381e-06, '3-9': 0.004213960710330866, '10-19': 2.364070899784565, '20-29': 80.33673167228699, '30-39': 17.11111068725586, '40-49': 0.18290607258677483, '50-59': 0.0009518791557638906, '60-69': 1.2982489749902015e-05, '70+': 1.0127911842516824e-07}","{'male': 0.0017755304725142196, 'female': 99.99822974205017}","{'white': 37.9077672958374, 'black': 0.14181446749716997, 'latino hispanic': 55.565446615219116, 'asian': 0.47179912216961384, 'indian': 1.8639329820871353, 'middle eastern': 4.049229994416237}",,
7,20-29,female,latino hispanic,55.78530272392541,73.57826232910156
7,"{'0-2': 2.9058591977104697e-06, '3-9': 0.001199307826027507, '10-19': 2.5920867919921875, '20-29': 74.67183470726013, '30-39': 22.384914755821228, '40-49': 0.348143232986331, '50-59': 0.0017986283637583256, '60-69': 1.3902518958275323e-05, '70+': 1.2339547161843711e-07}","{'male': 0.013813970144838095, 'female': 99.98618364334106}","{'white': 37.09811270236969, 'black': 0.23833569139242172, 'latino hispanic': 61.98588013648987, 'asian': 0.011953565262956545, 'indian': 0.4739021882414818, 'middle eastern': 0.19182044779881835}",,
8,20-29,female,white,20.39607805437114,65.65971374511719
8,"{'0-2': 1.3315172298078437e-07, '3-9': 0.0005662449439114425, '10-19': 2.3957068100571632, '20-29': 94.73735094070435, '30-39': 2.8606632724404335, '40-49': 0.005710162076866254, '50-59': 5.62635946721457e-06, '60-69': 4.076512183370795e-08, '70+': 4.862214797451969e-10}","{'male': 0.0002821188672896824, 'female': 99.99971985816956}","{'white': 98.24885725975037, 'black': 0.004005743903690018, 'latino hispanic': 1.3594333082437515, 'asian': 0.004028851253679022, 'indian': 0.02322926593478769, 'middle eastern': 0.36045757587999105}",,
9,20-29,female,latino hispanic,20.09975124224178,49.12376403808594
9,"{'0-2': 2.5756309085522844e-06, '3-9': 0.004507148332777433, '10-19': 3.145703300833702, '20-29': 92.59191155433655, '30-39': 4.230125248432159, '40-49': 0.02769634302239865, '50-59': 6.13111978964298e-05, '60-69': 6.469774049833177e-07, '70+': 1.028571047778648e-08}","{'male': 0.003424476381042041, 'female': 99.99657273292542}","{'white': 23.43459278345108, 'black': 1.9048148766160011, 'latino hispanic': 51.45735740661621, 'asian': 0.03757946542464197, 'indian': 20.785173773765564, 'middle eastern': 2.3804793134331703}",,
10,20-29,female,latino hispanic,49.36598018878994,38.41209411621094
10,"{'0-2': 3.964498063169231e-06, '3-9': 0.0715759233571589, '10-19': 28.785842657089233, '20-29': 70.22860050201416, '30-39': 0.9105272591114044, '40-49': 0.0034454809792805463, '50-59': 3.842944451548647e-06, '60-69': 9.885071650117538e-08, '70+': 2.6077123099765842e-09}","{'male': 0.007773099787300453, 'female': 99.99222755432129}","{'white': 8.60036313533783, 'black': 0.07084904354996979, 'latino hispanic': 86.11981272697449, 'asian': 1.5091896057128906, 'indian': 1.8183134496212006, 'middle eastern': 1.8814677372574806}",,
11,20-29,female,latino hispanic,74.95331880577405,34.70306396484375
11,"{'0-2': 4.897538374848409e-06, '3-9': 0.04940241342410445, '10-19': 12.404868751764297, '20-29': 85.18975973129272, '30-39': 2.346525527536869, '40-49': 0.009408225014340132, '50-59': 2.4684368327143602e-05, '60-69': 3.2370397473613366e-07, '70+': 6.389083706537235e-09}","{'male': 0.005817553756060079, 'female': 99.99418258666992}","{'white': 3.8938894867897034, 'black': 19.117096066474915, 'latino hispanic': 49.43898618221283, 'asian': 0.29307117220014334, 'indian': 26.672491431236267, 'middle eastern': 0.5844691302627325}",,
12,20-29,female,white,73.60027173862879,31.637954711914062
12,"{'0-2': 0.00010577226703389897, '3-9': 0.20338420290499926, '10-19': 23.00591468811035, '20-29': 70.96384763717651, '30-39': 5.723004788160324, '40-49': 0.10226649465039372, '50-59': 0.0014472261682385579, '60-69': 3.256388936279109e-05, '70+': 1.8764687581551698e-06}","{'male': 0.4878589417785406, 'female': 99.5121419429779}","{'white': 99.12760853767395, 'black': 0.013252947246655822, 'latino hispanic': 0.7035214453935623, 'asian': 0.00876118429005146, 'indian': 0.009201271313941106, 'middle eastern': 0.13765005860477686}",,
13,20-29,female,white,12.806248474865697,90.27099609375
13,"{'0-2': 2.813695765269131e-06, '3-9': 0.001071053156920243, '10-19': 2.5968315079808235, '20-29': 86.99678182601929, '30-39': 10.337406396865845, '40-49': 0.06776154623366892, '50-59': 0.00013999419934407342, '60-69': 1.3687588840127773e-06, '70+': 2.4944488141720456e-08}","{'male': 0.002699198194022756, 'female': 99.99729990959167}","{'white': 96.71372771263123, 'black': 0.008733979484532028, 'latino hispanic': 2.9888495802879333, 'asian': 0.009277332719648257, 'indian': 0.014210969675332308, 'middle eastern': 0.26520215906202793}",,
14,20-29,female,latino hispanic,27.85677655436824,30.895233154296875
